2Ki 1:1	ΚΑΙ ἠθέτησεν Μωὰβ ἐν Ἰσραὴλ μετὰ τὸ ἀποθανεῖν Ἀχαάβ.
2Ki 6:28	καὶ εἶπεν αὐτῇ ὁ βασιλεύς Τί ἔστιν σοι; καὶ εἶπεν ἡ γυνή Αὕτη εἶπεν πρὸς μέ Δὸς τὸν υἱόν σου, καὶ φαγόμεθα αὐτὸν σήμερον· καὶ τὸν υἱόν μου, καὶ φαγόμεθα αὐτὸν αὔριον.
2Ki 6:29	καὶ ἡψήσαμεν τὸν υἱόν μου καὶ ἐφάγομεν αὐτόν, καὶ εἶπον πρός αὐτὴν τῇ ἡμέρᾳ τῇ δευτέρᾳ Δὸς τὸν υἱόν σου καὶ φάγωμεν αὐτόν· καὶ ἔκρυψεν τὸν υἱὸν αὐτῆς.
2Ki 6:30	καὶ ἐγένετο ὡς ἤκουσεν ὁ βασιλεὺς τοὺς λόγους τῆς γυναικός, διέρρηξεν τὰ ἱμάτια αὐτοῦ, καὶ αὐτὸς διεπορεύετο ἐπὶ τοῦ τείχους, καὶ εἶδεν ὁ λαὸς τὸν σάκκον ἐπὶ τῆς σαρκὸς αὐτοῦ ἔσωθεν.
2Ki 6:31	καὶ εἶπεν Τάδε ποιήσαι μοι ὁ θεὸς καὶ τάδε προσθείη, εἰ στήσεται ἡ κεφαλὴ Ἐλεισαῖε ἐπ᾽ αὐτῷ σήμερον.
2Ki 6:32	καὶ Ἐλεισαῖε ἐκάθητο ἐν τῷ οἴκῳ αὐτοῦ, καὶ οἱ πρεσβύτεροι ἐκάθηντο μετ᾽ αὐτοῦ· καὶ ἀπέστειλεν ἄνδρα πρὸ προσώπου αὐτοῦ πρὶν ἐλθεῖν τὸν ἄγγελον πρὸς αὐτόν· καὶ εἶπεν πρὸς τοὺς πρεσβυτέρους Εἰ ᾔδειτε ὅτι ἀπέστειλεν ὁ υἱὸς τοῦ φονευτοῦ ἀφελεῖν τὴν κεφαλήν μου; ἴδετε ὡς ἂν ἔλθῃ ὁ ἄγγελος, ἀποκλείσατε τὴν θύραν καὶ παραθλίψατε αὐτὸν ἐν τῇ θύρᾳ· οὐχὶ φωνὴ τῶν ποδῶν τοῦ κυρίου αὐτοῦ κατόπισθεν αὐτοῦ;
2Ki 6:33	ἔτι αὐτοῦ λαλοῦντος μετ᾽ αὐτῶν, καὶ ἰδοὺ ἄγγελος κατέβη πρὸς αὐτὸν καὶ εἶπεν Ἰδοὺ αὕτη ἡ κακία παρὰ Κυρίου· τί ὑπομείνω τῷ κυρίῳ ἔτι;
2Ki 7:1	καὶ εἶπεν Ἐλεισαῖε Ἄκουσον λόγον Κυρίου Τάδε λέγει Κύριος Ὡς ἡ ὥρα αὕτη αὔριον, μέτρον σεμιδάλεως σίκλου ἐν ταῖς πύλαις Σαμαρείας.
2Ki 7:2	καὶ ἀπεκρίθη ὁ τριστάτης ἐφ᾽ ὃν ὁ βασιλεὺς ἐπανεπαύετο ἐπὶ τὴν χεῖρα αὐτοῦ τῷ Ἐλεισαῖε καὶ εἶπεν Ἰδοὺ ποιήσει Κύριος καταράκτας ἐν οὐρανῷ· μὴ ἔσται τὸ ῥῆμα τοῦτο; καὶ Ἐλεισαῖε εἶπεν Ἰδοὺ ὄψῃ τοῖς ὀφθαλμοῖς, καὶ ἐκεῖθεν οὐ φάγῃ.
2Ki 7:3	Καὶ τέσσαρες ἄνδρες ἦσαν λεπροὶ παρὰ τὴν θύραν τῆς πόλεως, καὶ εἶπεν ἀνὴρ πρὸς τὸν πλησίον αὐτοῦ Τί ἡμεῖς καθήμεθα ὧδε ἕως ἀποθάνωμεν;
2Ki 7:4	ἐὰν εἴπωμεν Εἰσέλθωμεν εἰς τὴν πόλιν, καὶ ὁ λιμὸς ἐν τῇ πόλει καὶ ἀποθανούμεθα ἐκεῖ· καὶ ἐὰν καθίσωμεν ὧδε, καὶ ἀποθανούμεθα. καὶ νῦν δεῦτε καὶ ἐμπέσωμεν εἰς τὴν παρεμβολὴν Συρίας· ἐὰν ξωογονήσωσιν ἡμᾶς, καὶ ζησόμεθα· καὶ ἐὰν θανατώσωσιν ἡμᾶς, καὶ ἀποθανούμεθα.
2Ki 7:5	καὶ ἀνέστησαν ἐν τῷ σκότει εἰσελθεῖν εἰς τὴν παρεμβολὴν Συρίας· καὶ ἦλθον εἰς μέσον τῆς παρεμβολῆς Συρίας, καὶ ἰδοὺ οὐκ ἔστιν ἀνὴρ ἐκεῖ.
2Ki 7:6	καὶ Κύριος ἀκουστὴν ἐποίησεν τὴν παρεμβολὴν Συρίας φωνὴν ἅρματος καὶ φωνὴν ἵππου, φωνὴν δυνάμεως μεγάλης· καὶ εἶπεν ἀνὴρ πρὸς τὸν ἀδελφὸν αὐτοῦ Νῦν ἐμισθώσατο ἐφ᾽ ἡμᾶς βασιλεὺς Ἰσραὴλ τοὺς βασιλέας τῶν Χετταίων καὶ τοὺς βασιλέας Αἰγύπτου τοῦ ἐλθεῖν πρὸς ἡμᾶς.
2Ki 7:7	καὶ ἀνέστησαν καὶ ἀπέδρασαν ἐν τῷ σκότει· καὶ ἐνκατέλιπαν τὰς σκηνὰς αὐτῶν καὶ τοὺς ἵππους αὐτῶν καὶ τοὺς ὄνους αὐτῶν ἐν τῇ παρεμβολῇ ὡς ἔστιν, καὶ ἔφυγον πρὸς τὴν ψυχὴν ἑαυτῶν.
2Ki 7:8	καὶ εἰσῆλθον οἱ λεπροὶ οὗτοι ἕως μέρους τῆς παρεμβολῆς, καὶ εἰσῆλθον εἰς σκηνὴν μίαν καὶ ἔφαγον καὶ ἔπιον, καὶ ἦραν ἐκεῖθεν ἀργύριον καὶ χρυσίον καὶ ἱματισμόν· καὶ ἐπορεύθησαν καὶ ἐπέστρεψαν ἐκεῖθεν καὶ εἰσῆλθον εἰς σκηνὴν ἄλλην, καὶ ἔλαβον ἐκεῖθεν καὶ ἐπορεύθησαν καὶ κατέκρυψαν.
2Ki 7:9	καὶ εἶπεν ἀνὴρ πρὸς τὸν πλησίον αὐτοῦ Οὐχ οὕτως ἡμεῖς ποιοῦμεν· ἡ ἡμέρα αὕτη ἡμέρα εὐαγγελίας ἐστίν, καὶ ἡμεῖς σιωπῶμεν· καὶ μένομεν ἕως φωτὸς τοῦ πρωί, καὶ εὑρήσομεν ἀνομίαν. καὶ νῦν δεῦρο καὶ εἰσέλθωμεν καὶ ἀναγγείλωμεν εἰς τὸν οἶκον τοῦ βασιλέως.
2Ki 7:10	καὶ εἰσῆλθον καὶ ἐβόησαν πρὸς τὴν πύλην τῆς πόλεως, καὶ ἀνήγγειλαν αὐτοῖς λέγοντες Εἰσήλθομεν εἰς τὴν παρεμβολὴν Συρίας, καὶ ἰδοὺ οὐκ ἔστιν ἐκεῖ ἀνὴρ καὶ φωνὴ ἀνθρώπου, ὅτι εἰ μὴ ἵππος δεδεμένος καὶ ὄνος καὶ αἱ σκηναὶ αὐτῶν ὡς εἰσίν.
2Ki 7:11	καὶ ἐβόησαν οἱ θυρωροὶ καὶ ἀνήγγειλαν εἰς τὸν οἶκον τοῦ βασιλέως ἔσω.
2Ki 7:12	καὶ ἔστη ὁ βασιλεὺς νυκτὸς καὶ εἶπεν πρὸς τοὺς παῖδας αὐτοῦ Ἀναγγελῶ δὴ ὑμῖν ἃ ἐποίησεν ἡμῖν Συρία· ἔγνωσαν ὅτι πεινῶμεν ἡμεῖς, καὶ ἐξῆλθαν ἐκ τῆς παρεμβολῆς καὶ ἐκρύβησαν ἐν τῷ ἀγρῷ, λέγοντες ὅτι Ἐξελεύσονται ἐκ τῆς πόλεως, καὶ συλλημψόμεθα αὐτοὺς ζῶντας καὶ εἰς τὴν πόλιν εἰσελευσόμεθα.
2Ki 7:13	καὶ ἀπεκρίθη εἷς τῶν παίδων αὐτοῦ καὶ εἶπεν Λαβέτωσαν δὴ πέντε τῶν ἵππων τῶν ὑπολελιμμένων οἳ κατελείφθησαν ὧδε, ἰδού εἰσιν πρὸς πᾶν τὸ πλῆθος Ἰσραὴλ τὸ ἐκλεῖπον, καὶ ἀποστελοῦμεν ἐκεῖ καὶ ὀψόμεθα.
2Ki 7:14	καὶ ἔλαβον δύο ἐπιβάτας ἵππων, καὶ ἀπέστειλεν ὁ βασιλεὺς Ἰσραὴλ ὀπίσω τοῦ βασιλέως Συρίας λέγων Δεῦτε καὶ ἴδετε.
2Ki 7:15	καὶ ἐπορεύθησαν ὀπίσω αὐτῶν ἕως τοῦ Ἰορδάνου, καὶ ἰδοὺ πᾶσα ἡ ὁδὸς πλήρης ἱματίων καὶ σκευῶν ὧν ἔρριψεν Συρία ἐν τῷ θαμβεῖσθαι αὐτούς· καὶ ἐπέστρεψαν οἱ ἄγγελοι καὶ ἀνήγγειλαν τῷ βασιλεῖ.
2Ki 7:16	καὶ ἐξῆλθεν ὁ λαὸς καὶ διήρπασεν τὴν παρεμβολὴν Συρίας· καὶ ἐγένετο μέτρον σεμιδάλεως σίκλου, κατὰ τὸ ῥῆμα Κυρίου, καὶ δίμετρον κριθῶν σίκλου.
2Ki 7:17	Καὶ ὁ βασιλεὺς κατέστησεν τὸν τριστάτην ἐφ᾽ ὃν ὁ βασιλεὺς ἐπανεπαύετο τῇ χειρὶ αὐτοῦ ἐπὶ τῆς πύλης, καὶ συνεπάτησεν αὐτὸν ὁ λαὸς ἐν τῇ πύλῃ, καὶ ἀπέθανεν καθὰ ἐλάλησεν ὁ ἄνθρωπος τοῦ θεοῦ, ὃς ἐλάλησεν ἐν τῷ καταβῆναι τὸν ἄγγελον πρὸς αὐτόν.
2Ki 7:18	καὶ ἐγένετο καθὰ ἐλάλησεν Ἐλεισαῖε πρὸς τὸν βασιλέα λέγων Δίμετρον κριθῆς σίκλου καὶ μέτρον σεμιδάλεως σίκλου, καὶ ἔσται ὡς ἡ ὥρα αὔριον ἐν τῇ πύλῃ Σαμαρείας·
2Ki 7:19	καὶ ἀπεκρίθη ὁ τριστάτης τῷ Ἐλεισαῖε καὶ εἶπεν Ἰδοὺ Κύριος ποιεῖ καταράκτας ἐν τῷ οὐρανῷ, οὐ μὴ ἔσται τὸ ῥῆμα τοῦτο· καὶ εἶπεν Ἐλεισαῖε Ἰδοὺ ὄψῃ τοῖς ὀφθαλμοῖς σου, καὶ ἐκεῖθεν οὐ μὴ φάγῃ.
2Ki 7:20	καὶ ἐγένετο οὕτως, καὶ συνεπάτησεν αὐτὸν ὁ λαὸς ἐν τῇ πύλῃ, καὶ ἀπέθανεν.
2Ki 8:1	Καὶ Ἐλεισαῖε ἐλάλησεν πρὸς τὴν γυναῖκα ἧς ἐζωπύρησεν τὸν υἱὸν λέγων Ἀνάστηθι καὶ δεῦρο σὺ καὶ ὁ οἶκός σου καὶ παροίκει οὗ ἐὰν παροικήσῃς, ὅτι κέκληκεν Κύριος λιμὸν ἐπὶ τὴν γῆν, καὶ γε ἦλθεν ἐπὶ τὴν γῆν ἑπτὰ ἔτη.
2Ki 8:2	καὶ ἀνέστη ἡ γυνὴ καὶ ἐποίησεν κατὰ τὸ ῥῆμα Ἐλεισαῖε, καὶ ἐπορεύθη αὐτὴ καὶ ὁ οἶκος αὐτῆς· καὶ παρῴκει ἐν γῇ ἀλλοφύλων ἑπτὰ ἔτη.
2Ki 8:3	καὶ ἐγένετο μετὰ τὸ τέλος τῶν ἑπτὰ ἐτῶν καὶ ἐπέστρεψεν ἡ γυνὴ ἐκ γῆς ἀλλοφύλων εἰς τὴν πόλιν, καὶ ἦλθεν βοῆσαι πρὸς τὸν βασιλέα περὶ τοῦ οἴκου ἑαυτῆς καὶ περὶ τῶν ἀγρῶν ἑαυτῆς.
2Ki 8:4	καὶ ὁ βασιλεὺς ἐλάλει πρὸς Γιεζεὶ τὸ παιδάριον Ἐλεισαῖε τοῦ ἀνθρώπου τοῦ θεοῦ λέγων Διήγησαι δή μοι πάντα τὰ μεγάλα ἃ ἐποίησεν Ἐλεισαῖε.
2Ki 8:5	καὶ ἐγένετο αὐτοῦ ἐξηγουμένου τῷ βασιλεῖ ὡς ἐζωπύρησεν υἱὸν τεθνηκότα, καὶ ἰδοὺ ἡ γυνὴ ἧς ἐζωπύρησεν τὸν υἱὸν αὐτῆς Ἐλεισαῖε βοῶσα πρὸς τὸν βασιλέα περὶ τοῦ οἴκου ἑαυτῆς καὶ περὶ τῶν ἀγρῶν ἑαυτῆς· καὶ εἶπεν Γιεζεί Κύριε βασιλεῦ, αὕτη ἡ γυνὴ καὶ οὗτος ὁ υἱὸς αὐτῆς ὃν ἐζωπύρησεν Ἐλεισαῖε.
2Ki 8:6	καὶ ἐπηρώτησεν ὁ βασιλεὺς τὴν γυναῖκα, καὶ διηγήσατο αὐτῷ· καὶ ἔδωκεν αὐτῇ ὁ βασιλεὺς εὐνοῦχον ἕνα λέγων Ἐπίστρεψον πάντα αὐτῆς τὰ γενήματα τοῦ ἀγροῦ, ἀπὸ τῆς ἡμέρας ἧς κατέλιπεν τὴν γῆν ἕως τοῦ νῦν.
2Ki 8:7	Καὶ ἦλθεν Ἐλεισαῖε εἰς Δαμασκόν· καὶ υἱὸς Ἁδὲρ βασιλεὺς Συρίας ἠρρώστησεν· καὶ ἀνήγγειλαν αὐτῷ λέγοντες Ἥκει ὁ ἄνθρωπος τοῦ θεοῦ ἕως ὧδε.
2Ki 8:8	καὶ εἶπεν ὁ βασιλεὺς πρὸς Ἁζαήλ Λάβε ἐν τῇ χειρί σου μαανά, καὶ δεῦρο εἰς ἀπαντὴν τῷ ἀνθρώπῳ τοῦ θεοῦ, καὶ ἐπιζήτησον τὸν κύριον παρ᾽ αὐτοῦ λέγων Εἰ ζήσομαι ἐκ τῆς ἀρρωστίας μου ταύτης;
2Ki 8:9	καὶ ἐπορεύθη Ἁζαὴλ εἰς ἀπαντὴν αὐτοῦ, καὶ ἔλαβεν μαανὰ ἐν τῇ χειρὶ αὐτοῦ καὶ πάντα τὰ ἀγαθὰ Δαμασκοῦ, ἄρσιν τεσσεράκοντα καμήλων, δῶρα· καὶ ἦλθεν καὶ ἔστη ἐνώπιον αὐτοῦ καὶ εἶπεν πρὸς Ἐλεισαῖε Υἱός σου υἱὸς Ἁδὲρ βασιλεὺς Συρίας ἀπέστειλέν με πρὸς σὲ ἐπερωτῆσαι λέγων Εἰ ζήσομαι ἐκ τῆς ἀρρωστίας μου ταύτης;
2Ki 8:10	καὶ εἶπεν Ἐλεισαῖε Δεῦρο εἰπόν Ζωῇ ζήσῃ· καὶ ἔδειξέν μοι Κύριος ὅτι θανάτῳ ἀποθανῇ.
2Ki 8:11	καὶ παρέστη τῷ προσώπῳ αὐτοῦ, καὶ ἔθηκεν ἕως αἰσχύνης· καὶ ἔκλαυσεν ὁ ἄνθρωπος τοῦ θεοῦ.
2Ki 8:12	καὶ εἶπεν Ἁζαήλ Τί ὅτι ὁ κύριός μου κλαίει; καὶ εἶπεν Ὅτι οἶδα ὅσα ποιήσεις τοῖς υἱοῖς Ἰσραὴλ κακά· τὰ ὀχυρώματα αὐτῶν ἐξαποστελεῖς ἐν πυρί, καὶ τοὺς ἐκλεκτοὺς αὐτῶν ἐν ῥομφαίᾳ ἀποκτενεῖς, καὶ τὰ νήπια αὐτῶν ἐνσείσεις, καὶ τὰς ἐν γαστρὶ ἐχούσας αὐτῶν ἀναρήξεις.
2Ki 8:13	καὶ εἶπεν Ἁζαήλ Τίς ἐστιν ὁ δοῦλός σου, ὁ κύων ὁ τεθνηκώς, ὅτι ποιήσει τὸ ῥῆμα τοῦτο; καὶ εἶπεν Ἐλεισαῖε Ἔδειξέν μοι Κύριός σε βασιλεύοντα ἐπὶ Ἰσραήλ.
2Ki 8:14	καὶ ἀπῆλθεν ἀπὸ Ἐλεισαῖε, καὶ εἰσῆλθεν πρὸς τὸν κύριον αὐτοῦ· καὶ εἶπεν αὐτῷ Ὅ τι εἶπέν σοι Ἐλεισαῖε; καὶ εἶπεν Εἶπέν μοι Ζωῇ ζήσῃ.
2Ki 8:15	καὶ ἐγένετο τῇ ἐπαύριον καὶ ἔλαβεν τὸν χαββὰ καὶ ἔβαψεν τῷ ὕδατι καὶ περιέβαλεν ἐπὶ τὸ πρόσωπον αὐτοῦ, καὶ ἀπέθανεν· καὶ ἐβασίλευσεν Ἁζαὴλ ἀντ᾽ αὐτοῦ.
2Ki 8:16	Ἐν ἔτει πέμπτῳ τῷ Ἰωρὰμ υἱῷ Ἀχαὰβ βασιλεῖ Ἰσραὴλ καὶ Ἰωσαφάθ βασιλεῖ Ἰούδα ἐβασίλευσεν Ἰωρὰμ υἱὸς Ἰωσαφὰθ βασιλεὺς Ἰούδα.
2Ki 8:17	υἱὸς τριάκοντα καὶ δύο ἐτῶν ἦν ἐν τῷ βασιλεύειν αὐτόν, καὶ τεσσεράκοντα ἔτη ἐβασίλευσεν ἐν Ἰερουσαλήμ.
2Ki 8:18	καὶ ἐπορεύθη ἐν ὁδῷ βασιλέων Ἰσραὴλ καθὼς ἐποίησεν οἶκος Ἀχαάβ, ὅτι θυγάτηρ Ἀχαὰβ ἦν αὐτῷ εἰς γυναῖκα· καὶ ἐποίησεν τὸ πονηρὸν ἐνώπιον Κυρίου.
2Ki 8:19	καὶ οὐκ ἠθέλησεν Κύριος διαφθεῖραι τὸν Ἰούδαν διὰ Δαυεὶδ τὸν δοῦλον αὐτοῦ, καθὼς εἶπεν δοῦναι αὐτῷ λύχνον πάσας τὰς ἡμέρας.
2Ki 8:20	ἐν ταῖς ἡμέραις αὐτοῦ ἠθέτησεν Ἐδὼμ ὑποκάτωθεν χειρὸς Ἰούδα, καὶ ἐβασίλευσαν ἐφ᾽ ἑαυτοὺς βασιλέα.
2Ki 8:21	καὶ ἀνέβη Ἰωρὰμ εἰς Σειὼρ καὶ πάντα τὰ ἅρματα μετ᾽ αὐτοῦ· καὶ ἐγένετο αὐτοῦ ἀναστάντος, καὶ ἐπάταξεν τὸν Ἐδὼμ τὸν κυκλώσαντα ἐπ᾽ αὐτὸν καὶ τοὺς ἄρχοντας τῶν ἁρμάτων, καὶ ἔφυγεν ὁ λαὸς εἰς τὰ σκηνώματα αὐτῶν.
2Ki 8:22	καὶ ἠθέτησεν Ἐδὼμ ὑποκάτω τῆς χειρὸς Ἰούδα ἕως τῆς ἡμέρας ταύτης. τότε ἠθέτησεν Σεννὰ ἐν τῷ καιρῷ ἐκείνῳ.
2Ki 8:23	καὶ τὰ λοιπὰ τῶν λόγων Ἰωρὰμ καὶ πάντα ὅσα ἐποίησεν, οὐκ ἰδοὺ ταῦτα γέγραπται ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν τοῖς βασιλεῦσιν Ἰούδα;
2Ki 8:24	καὶ ἐκοιμήθη Ἰωρὰμ μετὰ τῶν πατέρων αὐτοῦ, καὶ ἐτάφη μετὰ τῶν πατέρων αὐτοῦ ἐν πόλει Δαυεὶδ τοῦ πατρὸς αὐτοῦ· καὶ ἐβασίλευσεν Ὀχοζείας υἱὸς αὐτοῦ ἀντ᾽ αὐτοῦ.
2Ki 8:25	Ἐν ἔτει δωδεκάτῳ τῷ Ἰωρὰμ υἱῷ Ἀχαὰβ βασιλεῖ Ἰσραήλ ἐβασίλευσεν Ὀχοζείας υἱὸς Ἰωράμ.
2Ki 8:26	υἱὸς εἴκοσι καὶ δύο ἐτῶν Ὀχοζείας ἐν τῷ βασιλεύειν αὐτόν, καὶ ἐνιαυτὸν ἕνα ἐβασίλευσεν ἐν Ἰσραήλ. καὶ ὄνομα τῆς μητρὸς αὐτοῦ Γοθολία θυγάτηρ Ἀμβρεὶ βασιλέως Ἰσραήλ.
2Ki 8:27	καὶ ἐπορεύθη ἐν ὁδῷ οἴκου Ἀχαάβ, καὶ ἐποίησεν τὸ πονηρὸν ἐνώπιον Κυρίου καθὼς ὁ οἶκος Ἀχαάβ.
2Ki 8:28	καὶ ἐπορεύθη μετὰ Ἰωρὰμ υἱοῦ Ἀχαὰβ εἰς πόλεμον μετὰ Ἁζαὴλ βασιλέως ἀλλοφύλων ἐν Ῥεμμὼθ Γαλαάδ, καὶ ἐπάταξαν οἱ Σύροι τὸν Ἰωράμ.
2Ki 8:29	καὶ ἐπέστρεψεν ὁ βασιλεὺς Ἰωρὰμ τοῦ ἰατρευθῆναι ἐν Ἰσραὴλ ἀπὸ τῶν πληγῶν ὧν ἐπάταξαν αὐτὸν ἐν Ῥεμμὼθ ἐν τῷ πολεμεῖν αὐτὸν μετὰ Ἁζαὴλ βασιλέως Συρίας· καὶ Ὀχοζεὶ υἱὸς Ἰωρὰμ κατέβη τοῦ ἰδεῖν τὸν Ἰωρὰμ υἱὸν Ἀχαὰβ ἐν Ἰσραήλ, ὅτι ἠρρώστει αὐτός.
2Ki 9:1	Καὶ Ἐλεισαῖε ὁ προφήτης ἐκάλεσεν ἕνα τῶν υἱῶν τῶν προφητῶν καὶ εἶπεν αὐτῷ Ζῶσαι τὴν ὀσφύν σου, καὶ λάβε τὸν φακὸν τοῦ ἐλαίου τούτου ἐν τῇ χειρί σου, καὶ δεῦρο εἰς Ῥεμμὼθ Γαλαάδ.
2Ki 9:2	καὶ εἰσελεύσῃ ἐκεῖ, καὶ ὄψῃ ἐκει υἱὸν Ἰωσαφὰθ Εἰοὺ υἱοῦ Ναμεσσεί, καὶ εἰσελεύσῃ καὶ ἀναστήσεις αὐτὸν ἐκ μέσου τῶν ἀδελφῶν αὐτοῦ, καὶ εἰσάξεις αὐτὸν εἰς τὸ ταμεῖον ἐν ταμείῳ.
2Ki 9:3	καὶ λήμψῃ τὸν φακὸν τοῦ ἐλαίου καὶ ἐπιχεεῖς ἐπὶ τὴν κεφαλὴν αὐτοῦ, καὶ εἰπόν Τάδε λέγει Κύριος Κέχρικά σε εἰς βασιλέα ἐπὶ Ἰσραήλ· καὶ ἀνοίξεις τὴν θύραν, καὶ φεύξῃ καὶ οὐ μενεῖς.
2Ki 9:4	καὶ ἐπορεύθη ὁ προφήτης τὸ παιδάριον εἰς Ῥεμμὰθ Γαλαάδ.
2Ki 9:5	καὶ εἰσῆλθεν καὶ ἰδοὺ οἱ ἄρχοντες τῆς δυνάμεως ἐκάθηντο, καὶ εἶπεν Λόγος μοι πρὸς σέ, ὁ ἄρχων· καὶ εἶπεν Εἰού Πρὸς τίνα ἐκ πάντων ἡμῶν; καὶ εἶπεν Πρὸς σέ, ὁ ἄρχων.
2Ki 9:6	καὶ ἀνέστη καὶ εἰσῆλθεν εἰς τὸν οἶκον, καὶ ἐπέχεεν τὸ ἔλαιον ἐπὶ τὴν κεφαλὴν αὐτοῦ καὶ εἶπεν αὐτῷ Τάδε λέγει Κύριος ὁ θεὸς Ἰσραήλ Κέχρικά σε εἰς βασιλέα ἐπὶ λαὸν Κυρίου, ἐπὶ τὸν Ἰσραήλ.
2Ki 9:7	καὶ ἐξολεθρεύσεις τὸν οἶκον Ἀχαὰβ τοῦ κυρίου σου ἐκ προσώπου σου, καὶ ἐκδικὴσεις τὰ αἵματα τῶν δούλων μου τῶν προφητῶν καὶ τὰ αἵματα πάντων τῶν δούλων Κυρίου ἐκ χειρὸς Ἰεζάβελ
2Ki 9:8	καὶ ἐκ χειρὸς ὅλου τοῦ οἴκου Ἀχαάβ, καὶ ἐξολεθρεύσεις τῷ οἴκῳ Ἀχαὰβ οὐροῦντα πρὸς τοῖχον καὶ συνεχόμενον καὶ ἐνκαταλελειμμένον ἐν Ἰσραήλ.
2Ki 9:9	καὶ δώσω τὸν οἶκον Ἀχαὰβ ὡς τὸν οἶκον Ἰεροβοὰμ υἱοῦ Ναβὰτ καὶ ὡς τὸν οἶκον Βαασὰ υἱοῦ Ἀχειά·
2Ki 9:10	καὶ τὴν Ἰεζάβελ καταφάγονται οἱ κύνες ἐν τῇ μερίδι τοῦ Ἰσραήλ, καὶ οὐκ ἔστιν ὁ θάπτων. καὶ ἤνοιξεν τὴν θύραν καὶ ἔφυγεν.
2Ki 9:11	καὶ Εἰοὺ ἐξῆλθεν πρὸς τοὺς παῖδας τοῦ κυρίου αὐτοῦ, καὶ εἶπον αὐτῷ Εἰρήνη; τί ὅτι εἰσῆλθεν ὁ ἐπίλημπτος οὗτος πρὸς σέ; καὶ εἶπεν αὐτοῖς Ὑμεῖς οἴδατε τὸν ἄνδρα καὶ τὴν ἀδολεσχίαν αὐτοῦ.
2Ki 9:12	καὶ εἶπεν Ἄδικον· ἀπάγγειλον δὴ ἡμῖν. καὶ εἶπεν Εἰοὺ πρὸς αὐτούς Οὕτως καὶ οὕτως ἐλάλησεν πρὸς μὲ λέγων· καὶ εἶπεν Τάδε λέγει Κύριος Κέχρικά σε εἰς βασιλέα ἐπὶ Ἰσραήλ.
2Ki 9:13	καὶ ἀκούσαντες ἔσπευσαν, καὶ ἔλαβεν ἕκαστος τὸ ἱμάτιον αὐτοῦ καὶ ἔθηκαν ὑποκάτω αὐτοῦ ἐπὶ τὸ γάρεμ τῶν ἀναβαθμῶν, καὶ ἐσάλπισαν ἐν κερατίνῃ καὶ εἶπον Ἐβασίλευσεν Εἰού.
2Ki 9:14	καὶ συνεστράφη Εἰοὺ υἱὸς Ιωσαφὰθ υἱοῦ Ναμεσσεὶ πρὸς Ἰωράμ· καὶ Ἰωρὰμ αὐτὸς ἐφύλασσεν ἐν Ῥεμμὼθ Γαλαὰδ καὶ πᾶς Ἰσραὴλ ἀπὸ προσώπου Ἁζαὴλ βασιλέως Συρίας.
2Ki 9:15	καὶ ἀπέστρεψεν Ἰωρὰμ ὁ βασιλεὺς ἰατρευθῆναι ἐν Ἰσραὴλ ἀπὸ τῶν πληγῶν ὧν ἔπαισαν αὐτὸν οἱ Σύροι ἐν τῷ πολεμεῖν αὐτοὺς μετὰ Ἀζαὴλ βασιλέως Συρίας. καὶ εἶπεν Εἰού Εἰ ἔστιν ἡ ψυχὴ ὑμῶν μετ᾽ ἐμοῦ, μὴ ἐξελθέτω ἐκ τῆς πόλεως διαπεφευγὼς τοῦ πορευθῆναι καὶ ἀπαγγεῖλαι ἐν Ἰσραήλ.
2Ki 9:16	καὶ ἵππευσεν καὶ ἐπορεύθη Εἰού, καὶ κατέβη ἐν Ἰσραήλ, ὅτι Ἰωρὰμ βασιλεὺς Ἰσραὴλ ἐθεραπεύετο ἐν τῷ Ἰσραὴλ ἀπὸ τῶν τοξευμάτων ὧν κατετόξευσαν αὐτὸν οἱ Ἀραμιεὶν ἐν τῇ Ῥαμμὰθ ἐν τῷ πολέμῳ μετὰ Ἁζαὴλ βασιλέως Συρίας, ὅτι δυνατὸς καὶ ἀνὴρ δυνάμεως· καὶ Ὀχοζείας βασιλεὺς Ἰούδα κατέβη ἰδεῖν τὸν Ἰωράμ.
2Ki 9:17	καὶ ὁ σκοπὸς ἀνέβη ἐπὶ τὸν πύργον Ἰσραήλ, καὶ εἶδεν τὸν κονιορτὸν Εἰοὺ ἐν τῷ παραγίνεσθαι αὐτόν, καὶ εἶπεν Κονιορτὸν ἐγὼ βλέπω· καὶ εἶπεν Ἰωράμ Λάβε ἐπιβάτην καὶ ἀπόστειλον ἔμπροσθεν αὐτῶν, καὶ εἰπάτω Ἦ εἰρήνη;
2Ki 9:18	καὶ ἐπορεύθη ἐπιβάτης ἵππου εἰς ἀπαντὴν αὐτῶν καὶ εἶπεν Τάδε λέγει ὁ βασιλεὺς Ἦ εἰρήνη; καὶ εἶπεν Εἰού Τί σοι και εἰρήνῃ; ἐπίστρεφε εἰς τὰ ὀπίσω μου. καὶ ἀπήγγειλεν ὁ σκοπὸς λέγων Ἦλθεν ὁ ἄγγελος ἕως αὐτῶν καὶ οὐκ ἀνέστρεψεν.
