Gen 1:1	ΕΝ ΑΡΧΗ ἐποίησεν ὁ θεὸς τὸν οὐρανὸν καὶ τὴν γῆν.
Gen 15:18	ἐκεῖ διέθετο ὁ θεὸς τῷ Ἀβρὰμ διαθήκην λέγων Τῷ σπέρματί σου δώσω τὴν γῆν ταύτην, ἀπὸ τοῦ ποταμοῦ Αἰγύπτου ἕως τοῦ ποταμοῦ τοῦ μεγάλου Εὐφράτου·
Gen 15:19	τοὺς Κεναίους καὶ τοὺς Κενεζαίους καὶ τοὺς Κελμωναίους
Gen 15:20	⸂⸆⸃ καὶ τοὺς χετταίους καί τοὺς Φερεζαίους καὶ τοὺς Ῥαφαεὶν
Gen 15:21	καὶ τοὺς Ἀμορραίους καὶ τοὺς Χαναναίους καὶ τοὺς Εὑαίους καὶ τοὺς Γεργεσαίους καὶ τοὺς Ἰεβουσαίους.
Gen 16:1	Σάρα δὲ ἡ γυνὴ Ἀβρὰμ οὐκ ἔτικτεν αὐτῷ· ἦν δὲ αὐτῇ παιδίσκη Αἰγυπτία ᾗ ὄνομα Ἁγάρ.
Gen 16:2	εἶπεν δὲ Σάρα πρὸς Ἀβράμ Ἰδοὺ συνέκλεισέν με Κύριος τοῦ μὴ τίκτειν· εἴσελθε οὖν πρὸς τὴν παιδίσκην μου, ἵνα τεκνοποιήσεις ἐξ αὐτῆς. ὑπήκουσεν δὲ Ἀβρὰμ τῆς φωνῆς αὐτῆς.
Gen 16:3	καὶ λαβοῦσα Σάρα ἡ γυνὴ Ἀβρὰμ Ἁγὰρ τὴν Αἰγυπτίαν τὴν ἑαυτῆς παιδίσκην, μετὰ δέκα ἔτη τοῦ οἰκῆσαι Ἀβρὰμ ἐν γῇ Χανάαν, καὶ ἔδωκεν αὐτὴν τῷ Ἀβρὰμ ἀνδρὶ αὐτῆς αὐτῷ γυναῖκα.
Gen 16:4	καὶ εἰσῆλθεν πρὸς Ἁγάρ, καὶ συνέλαβεν· καὶ ἴδεν ὅτι ἐν γαστρὶ ἔχει, καὶ ἠτιμάσθη ἡ κυρία ἐναντίον αὐτῆς.
Gen 16:5	εἶπεν δὲ Σάρα πρὸς Ἀβράμ Ἀδικοῦμαι ἐκ σοῦ· ἐγὼ δέδωκα τὴν παιδίσκην μου εἰς τὸν κόλπον σου· ἰδοῦσα δὲ ὅτι ἐν γαστρὶ ἔχει, ἠτιμάσθην ἐναντίον αὐτῆς. κρίναι ὁ θεὸς ἀνὰ μέσον ἐμοῦ καὶ σοῦ.
Gen 16:6	εἶπεν δὲ Ἀβρὰμ πρὸς Σάραν Ἰδοὺ ἡ παιδίσκη σου ἐναντίον ⸆ σου· χρῶ αὐτῇ ὡς δ᾽ ἄν σοι ἀρεστὸν ᾖ. καὶ ἐκάκωσεν αὐτὴν Σάρα, καὶ ἀπέδρα ἀπὸ προσώπου αὐτῆς.
Gen 16:7	εὗρεν δὲ αὐτὴν ἄγγελος Κυρίου τοῦ θεοῦ ἐπὶ τῆς πηγῆς τοῦ ὕδατος ἐν τῇ ἐρήμῳ, ἐπὶ τῆς πηγῆς ἐν τῇ ὁδῷ Σούρ.
Gen 16:8	καὶ εἶπεν αὐτῇ ὁ ἄγγελος Κυρίου Ἁγὰρ παιδίσκη Σάρας, πόθεν ἔρχῃ; καὶ ποῦ πορεύῃ; καὶ εἶπεν Ἀπὸ προσώπου Σάρας τῆς κυρίας μου ἐγὼ ἀποδιδράσκω.
Gen 16:9	εἶπεν δὲ αὐτῇ ὁ ἄγγελος Κυρίου Ἀποστράφηθι πρὸς τὴν κυρίαν σου καὶ ταπεινώθητι ὑπὸ τὰς χεῖρας αὐτῆς.
Gen 16:10	⸂⸆⸃ καὶ εἶπεν αὐτῇ ὁ ἄγγελος Κυρίου Πληθύνων πληθυνῶ τὸ σπέρμα σου, καὶ οὐκ ἀριθμήσεται ἀπὸ τοῦ πλήθους.
Gen 16:11	καὶ εἶπεν αὐτῇ ὁ ἄγγελος Κυρίου Ἰδοὺ σὺ ἐν γαστρὶ ἔχεις, καὶ τέξῃ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰσμαήλ, ὅτι ἐπήκουσεν Κύριος τῇ ταπεινώσει σου.
Gen 16:12	οὗτος ἔσται ἄγροικος ἄνθρωπος· αἱ χεῖρες αὐτοῦ ἐπὶ πάντας καὶ αἱ χεῖρες πάντων ἐπ᾽ αὐτόν, καὶ κατὰ πρόσωπον πάντων τῶν ἀδελφῶν αὐτοῦ κατοικήσει.
Gen 16:13	καὶ ἐκάλεσεν Ἁγὰρ τὸ ὄνομα Κυρίου τοῦ λαλοῦντος πρὸς αὐτήν Σὺ ὁ θεὸς ὁ ἐφιδών με· ὅτι εἶπεν Καὶ γὰρ ἐνώπιον ἴδον ὀφθέντα μοι.
Gen 16:14	ἕνεκεν τούτου ἐκάλεσεν τὸ φρέαρ Φρέαρ οὗ ἐνώπιον ἴδον· ἰδοὺ ἀνὰ μέσον Καδὴς καὶ ἀνὰ μέσον Βάραδ.
Gen 16:15	καὶ ἔτεκεν Ἁγὰρ τῷ Ἀβρὰμ υἱόν, καὶ ἐκάλεσεν Ἀβρὰμ τὸ ὄνομα τοῦ υἱοῦ αὐτοῦ, ὃν ἔτεκεν αὐτῷ Ἁγάρ, Ἰσμαήλ.
Gen 16:16	Ἀβρὰμ δὲ ἦν ὀγδοήκοντα ἓξ ἐτῶν ἡνίκα ἔτεκεν Ἁγὰρ τὸν Ἰσμαὴλ τῷ Ἀβράμ.
Gen 17:1	Ἐγένετο δὲ Ἀβρὰμ ἐτῶν ἐνενήκοντα ἐννέα, καὶ ὤφθη Κύριος τῷ Ἀβρὰμ καὶ εἶπεν αὐτῷ Ἐγώ εἰμι ὁ θεός σου· εὐαρέστει ἐναντίον ἐμοῦ, καὶ γίνου ἄμεμπτος·
Gen 17:2	καὶ θήσομαι τὴν διαθήκην μου ἀνὰ μέσον ἐμοῦ καὶ ἀνὰ μέσον σοῦ, καὶ πληθυνῶ σε σφόδρα.
Gen 17:3	καὶ ἔπεσεν Ἀβρὰμ ἐπὶ πρόσωπον αὐτοῦ, καὶ ἐλάλησεν αὐτῷ ὁ θεὸς λέγων
Gen 17:4	Καὶ ἐγώ, ἰδοὺ ἡ διαθήκη μου μετὰ σοῦ· καὶ ἔσῃ πατὴρ πλήθους ἐθνῶν.
Gen 17:5	καὶ οὐ κληθήσεται ἔτι τὸ ὄνομά σου Ἀβράμ, ἀλλ᾽ ἔσται Ἀβραὰμ τὸ ὄνομά σου· ὅτι πατέρα πολλῶν ἐθνῶν τέθεικά σε.
Gen 17:6	καὶ αὐξανῶ σε σφόδρα, καὶ θήσω σε εἰς ἔθνη, καὶ βασιλεῖς ἐκ σοῦ ἐξελεύσονται.
Gen 17:7	καὶ στήσω τὴν διαθήκην μου ἀνὰ μέσον ἐμοῦ καὶ ἀνὰ μέσον σοῦ καὶ ἀνὰ μέσον τοῦ σπέρματός σου μετὰ σὲ εἰς γενεὰς αὐτῶν εἰς διαθήκην αἰώνιον, εἶναί σου θεὸς καὶ τοῦ σπέρματός σου μετὰ σέ.
Gen 17:8	καὶ δώσω σοι καὶ τῷ σπέρματί σου μετὰ σὲ τὴν γῆν ἣν παροικεῖς, πᾶσαν τὴν γῆν Χανάαν, εἰς κατάσχεσιν αἰώνιον· καὶ ἔσομαι αὐτοῖς θεός.
Gen 17:9	καὶ εἶπεν ὁ θεὸς πρὸς Ἀβραάμ Σὺ δὲ τὴν διαθήκην μου διατηρήσεις, σὺ καὶ τὸ σπέρμα σου μετὰ σὲ εἰς τὰς γενεὰς αὐτῶν.
Gen 17:10	καὶ αὕτη ἡ διαθήκη ἣν διατηρήσεις ἀνὰ μέσον ἐμοῦ καὶ ὑμῶν, καὶ ἀνὰ μέσον τοῦ σπέρματός σου μετὰ σὲ ⸆ εἰς τὰς γενεὰς αὐτῶν· περιτμηθήσεται ὑμῶν πᾶν ἀρσενικόν.
Gen 17:11	καὶ περιτμηθήσεσθε τὴν σάρκα τῆς ἀκροβυστίας ὑμῶν, καὶ ἔσται ἐν σημείῳ διαθήκης ἀνὰ μέσον ἐμοῦ καὶ ὑμῶν.
Gen 17:12	καὶ παιδίον ὀκτὼ ἡμερῶν περιτμηθήσεται ὑμῖν πᾶν ἀρσενικὸν εἰς τὰς γενεὰς ὑμῶν· ὁ οἰκογενὴς τῆς οἰκίας σου καὶ ὁ ἀργυρώνητος ἀπὸ παντὸς υἱοῦ ἀλλοτρίου, ὃς οὐκ ἔστιν ἐκ τοῦ σπέρματός σου,
Gen 17:13	περιτομῇ περιτμηθήσεται, ὁ οἰκογενὴς τῆς οἰκίας σου καὶ ὁ ἀργυρώνητος. καὶ ἔσται ἡ διαθήκη μου ἐπὶ τῆς σαρκὸς ὑμῶν εἰς διαθήκην αἰώνιον.
Gen 17:14	καὶ ἀπερίτμητος ἄρσην, ὃς οὐ περιτμηθήσεται τὴν σάρκα τῆς ἀκροβυστίας αὐτοῦ τῇ ἡμέρᾳ τῇ ὀγδόῃ, ἐξολεθρευθήσεται ἡ ψυχὴ ἐκείνη ἐκ τοῦ γένους αὐτῆς· ὅτι τὴν διαθήκην μου διεσκέδασεν.
Gen 17:15	Εἶπεν δὲ ὁ θεὸς τῷ Ἀβραάμ Σάρα ἡ γυνή σου, οὐ κληθήσεται τὸ ὄνομα αὐτῆς Σάρα, ἀλλὰ Σάρρα ἔσται τὸ ὄνομα αὐτῆς·
Gen 17:16	εὐλογήσω δὲ αὐτήν, καὶ δώσω σοι ἐξ αὐτῆς τέκνον. καὶ εὐλογήσω αὐτόν, καὶ ἔσται εἰς ἔθνη, καὶ βασιλεῖς ἐθνῶν ἐξ αὐτοῦ ἔσονται.
Gen 17:17	καὶ ἔπεσεν Ἀβραὰμ ἐπὶ πρόσωπον καὶ ἐγέλασεν καὶ εἶπεν ἐν τῇ διανοίᾳ αὐτοῦ λέγων Εἰ τῷ ἑκατονταετεῖ γενήσεται υἱός, καὶ εἰ Σάρρᾳ ἐνενήκοντα ἐτῶν γενήσεται;
Gen 17:18	εἶπεν δὲ Ἀβραὰμ πρὸς τὸν θεόν Ἰσμαὴλ οὗτος ζήτω ἐναντίον σου.
Gen 17:19	εἶπεν δὲ ὁ θεὸς πρὸς Ἀβραάμ Ναί· ἰδοὺ Σάρρα ἡ γυνή σου τέξεταί σοι υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰσαάκ· καὶ στήσω τὴν διαθήκην μου πρὸς αὐτὸν εἰς διαθήκην αἰώνιον, καὶ τῷ σπέρματι αὐτοῦ μετ᾽ αὐτόν.
Gen 17:20	περὶ δὲ Ἰσμαὴλ ἰδοὺ ἐπήκουσά σου· καὶ εὐλόγησα αὐτόν, καὶ αὐξανῶ αὐτὸν καὶ πληθυνῶ αὐτὸν σφόδρα· δώδεκα ἔθνη γεννήσει, καὶ δώσω αὐτὸν εἰς ἔθνος μέγα.
Gen 17:21	τὴν δὲ διαθήκην μου στήσω πρὸς Ἰσαάκ, ὃν τέξεταί σοι Σάρρα εἰς τὸν καιρὸν τοῦτον ἐν τῷ ἐνιαυτῷ τῷ ἑτέρῳ.
Gen 17:22	συνετέλεσεν δὲ λαλῶν πρὸς αὐτόν, καὶ ἀνέβη ὁ θεὸς ἀπὸ Ἀβραάμ.
Gen 17:23	Καὶ ἔλαβεν Ἀβραὰμ Ἰσμαὴλ τὸν υἱὸν αὐτοῦ καὶ πάντας τοὺς οἰκογενεῖς αὐτοῦ καὶ πάντας τοὺς ἀργυρωνήτους καὶ πᾶν ἄρσεν τῶν ἀνδρῶν τῶν ἐν τῷ οἴκῳ Ἀβραάμ, καὶ περιέτεμεν τὰς ἀκροβυστίας αὐτῶν ἐν τῷ καιρῷ τῆς ἡμέρας ἐκείνης, καθὰ ἐλάλησεν αὐτῷ ὁ θεός.
Gen 17:24	Ἀβραὰμ δὲ ἦν ἐνενήκοντα ἐννέα ἐτῶν, ἡνίκα περιέτεμεν τὴν σάρκα τῆς ἀκροβυστίας αὐτοῦ·
Gen 17:25	Ἰσμαὴλ δὲ ὁ υἱὸς αὐτοῦ ἐτῶν δέκα τριῶν ἦν, ἡνίκα περιετμήθη τὴν σάρκα τῆς ἀκροβυστίας αὐτοῦ.
Gen 17:26	ἐν τῷ καιρῷ τῆς ἡμέρας ἐκείνης περιετμήθη Ἀβραὰμ καὶ Ἰσμαὴλ ὁ υἱὸς αὐτοῦ·
Gen 17:27	καὶ πάντες οἱ ἄνδρες τοῦ οἴκου αὐτοῦ καὶ οἱ οἰκογενεῖς καὶ οἱ ἀργυρώνητοι ἐξ ἀλλογενῶν ἐθνῶν, περιέτεμεν αὐτούς.
Gen 18:1	Ὤφθη δὲ αὐτῷ ὁ θεὸς πρὸς τῇ δρυὶ τῇ Μαμβρή, καθημένου αὐτοῦ ἐπὶ τῆς θύρας τῆς σκηνῆς αὐτοῦ μεσημβρίας.
Gen 18:2	ἀναβλέψας δὲ τοῖς ὀφθαλμοῖς αὐτοῦ ἴδεν, καὶ ἰδοὺ τρεῖς ἄνδρες ἱστήκεισαν ἐπάνω αὐτοῦ. καὶ ἰδὼν προσέδραμεν εἰς συνάντησιν αὐτοῖς ἀπὸ τῆς θύρας τῆς σκηνῆς αὐτοῦ, καὶ ⸂⸆⸃ προσεκύνησεν ἐπὶ τὴν γῆν·
Gen 18:3	καὶ εἶπεν Κύριε, εἰ ἄρα εὗρον χάριν ἐναντίον σου, μὴ παρέλθῃς τὸν παῖδά σου.
Gen 18:4	λημφθήτω δὴ ὕδωρ, καὶ νιψάτω τοὺς πόδας ὑμῶν· καὶ καταψύξατε ὑπὸ τὸ δένδρον.
Gen 18:5	καὶ λήμψομαι ἄρτον, καὶ φάγεσθε· καὶ μετὰ τοῦτο παρελεύσεσθε εἰς τὴν ὁδὸν ὑμῶν, οὗ εἵνεκεν ἐξεκλίνατε πρὸς τὸν παῖδα ὑμῶν. καὶ εἶπεν Οὕτως ποίησον καθὼς εἴρηκας.
Gen 18:6	καὶ ἔσπευσεν Ἀβραὰμ ἐπὶ τὴν σκηνὴν πρὸς Σάρραν καὶ εἶπεν αὐτῇ Σπεῦσον καὶ φύρασον τρία μέτρα σεμιδάλεως καὶ ποίησον ἐγκρυφίας.
Gen 18:7	καὶ εἰς τὰς βόας ἔδραμεν Ἀβραάμ, καὶ ἔλαβον μοσχάριον ἁπαλὸν καὶ καλόν, καὶ ἔδωκεν τῷ παιδί, καὶ ἐτάχυνεν τοῦ ποιῆσαι αὐτό.
Gen 18:8	ἔλαβεν δὲ βούτυρον καὶ γάλα καὶ τὸ μοσχάριον ὃ ἐποίησεν, καὶ παρέθηκεν αὐτοῖς, καὶ ἐφάγοσαν· αὐτὸς δὲ παριστήκει αὐτοῖς ὑπὸ τὸ δένδρον.
Gen 18:9	εἶπεν δὲ πρὸς αὐτόν Ποῦ Σάρρα ἡ γυνή σου; ὁ δὲ ἀποκριθεὶς εἶπεν Ἰδοὺ ἐν τῇ σκηνῇ.
Gen 18:10	εἶπεν δέ Ἐπαναστρέφων ἣξω πρὸς σὲ κατὰ τὸν καιρὸν τοῦτον εἰς ὣρας, καὶ ἕξει υἱὸν Σάρρα ἡ γυνή σου. Σάρρα δὲ ἤκουσεν πρὸς τῇ θύρᾳ τῆς σκηνῆς, οὖσα ὄπισθεν αὐτοῦ.
Gen 18:11	Ἀβραὰμ δὲ καὶ Σάρρα πρεσβύτεροι προβεβηκότες ἡμερῶν· ἐξέλειπεν δὲ Σάρρᾳ γίνεσθαι τὰ γυναίκια.
Gen 18:12	ἐγέλασεν δὲ Σάρρα ἐν ἑαυτῇ λέγουσα Οὔπω μέν μοι γέγονεν ἕως τοῦ νῦν· ὁ δὲ κύριός μου πρεσβύτερος.
Gen 18:13	καὶ εἶπεν Κύριος πρὸς Ἀβραάμ Ὅτι ἐγέλασεν Σάρρα ἐν ἑαυτῇ λέγουσα Ἆρά γε ἀληθῶς τέξομαι; ἐγὼ δὲ γεγήρακα.
Gen 18:14	μὴ ἀδυνατεῖ παρὰ τῷ θεῷ ῥῆμα; εἰς τὸν καιρὸν τοῦτον ἀναστρέψω πρὸς σὲ εἰς ὥρας, καὶ ἔσται τῇ Σάρρᾳ υἱός.
Gen 18:15	ἠρνήσατο δὲ Σάρρα λέγουσα Οὐκ ἐγέλασα· ἐφοβήθη γάρ. καὶ εἶπεν Οὐχί, ἀλλὰ ἐγέλασας.
Gen 18:16	Ἐξαναστάντες δὲ ἐκεῖθεν οἱ ἄνδρες κατέβλεψαν ἐπὶ πρόσωπον Σοδόμων καὶ Γομόρρας· Ἀβραὰμ δὲ συνεπορεύετο μετ᾽ αὐτῶν συνπροπέμπων αὐτούς.
Gen 18:17	ὁ δὲ κύριος εἶπεν Μὴ κρύψω ἐγὼ ἀπὸ Ἀβραὰμ τοῦ παιδός μου ἃ ἐγὼ ποιῶ;
Gen 18:18	Ἀβραὰμ δὲ γινόμενος ἔσται εἰς ἔθνος μέγα καὶ πολύ, καὶ ἐνευλογηθήσονται ἐν αὐτῷ πάντα τὰ ἔθνη τῆς γῆς.
Gen 18:19	ᾔδειν γὰρ ὅτι συντάξει τοῖς υἱοῖς αὐτοῦ καὶ τῷ οἴκῳ αὐτοῦ μεθ᾽ ἑαυτόν, καὶ φυλάξουσιν τὰς ὁδοὺς Κυρίου ποιεῖν δικαιοσύνην καὶ κρίσιν, ὅπως ἂν ἐπαγάγῃ Κύριος ἐπὶ Ἀβραὰμ πάντα ὅσα ἐλάλησεν ἐπ᾽ αὐτόν.
Gen 18:20	εἶπεν δὲ Κύριος Κραυγὴ Σοδόμων καὶ Γομόρρας πεπλήθυνται, καὶ αἱ ἁμαρτίαι αὐτῶν μεγάλαι σφόδρα.
Gen 18:21	καταβὰς οὖν ὄψομαι εἰ κατὰ τὴν κραυγὴν αὐτῶν τὴν ἐρχομένην πρὸς μὲ συντελοῦνται· εἰ δὲ μή, ἵνα γνῶ.
Gen 18:22	Καὶ ἀποστρέψαντες ἐκεῖθεν οἱ ἄνδρες ἦλθον εἰς Σόδομα· Ἀβραὰμ δὲ ἦν ἑστηκὼς ἐναντίον Κυρίου.
Gen 18:23	καὶ ἐγγίσας Ἀβραὰμ εἶπεν Μὴ συναπολέσῃς δίκαιον μετὰ ἀσεβοῦς, καὶ ἔσται ὁ δίκαιος ὡς ὁ ἀσεβής.
Gen 18:24	⸂⸆⸃ ἐὰν ὦσιν πεντήκοντα ἐν τῇ πόλει δίκαιοι, ἀπολεῖς αὐτούς; οὐκ ἀνήσεις τὸν τόπον ἕνεκεν τῶν πεντήκοντα ⸂⸆⸆⸃ δικαίων, ἐὰν ὦσιν ἐν αὐτῇ;
Gen 18:25	μηδαμῶς σὺ ποιήσεις ὡς τὸ ῥῆμα τοῦτο, τοῦ ἀποκτεῖναι δίκαιον μετὰ ἀσεβοῦς, καὶ ἔσται ὁ δίκαιος ὡς ὁ ἀσεβής· μηδαμῶς. ὁ κρίνων πᾶσαν τὴν γῆν, οὐ ποιήσεις κρίσιν;
Gen 18:26	εἶπεν δὲ Κύριος Ἐὰν εὕρω ἐν Σοδόμοις ⸆ πεντήκοντα δικαίους ἐν τῇ πόλει, ἀφήσω πάντα τὸν τόπον δι᾽ αὐτούς.
Gen 18:27	καὶ ἀποκριθεὶς Ἀβραὰμ εἶπεν Νῦν ἠρξάμην λαλῆσαι πρὸς τὸν κύριον, ἐγὼ δέ εἰμι γῆ καὶ σποδός·
Gen 18:28	ἐὰν δὲ ἐλαττονωθῶσιν οἱ πεντήκοντα δίκαιοι πέντε, ἀπολεῖς ἕνεκεν τῶν πέντε πᾶσαν τὴν πόλιν; καὶ εἶπεν ὅτι Οὐ μὴ ἀπολέσω ἐὰν εὕρω ἐκεῖ τεσσεράκοντα πέντε.
Gen 18:29	καὶ προσέθηκεν ἔτι λαλῆσαι πρὸς αὐτὸν καὶ εἶπεν Ἐὰν δὲ εὑρεθῶσιν ἐκεῖ τεσσεράκοντα; καὶ εἶπεν Οὐ μὴ ἀπολέσω ἕνεκεν τῶν τεσσεράκοντα.
Gen 18:30	καὶ εἶπεν Μή τι, κύριε, ἐὰν λαλήσω· ἐὰν δὲ εὑρεθῶσιν ἐκεῖ τριάκοντα; καὶ εἶπεν Οὐ μὴ ἀπολέσω ἐὰν εὑρεθῶσιν ἐκεῖ τριάκοντα.
Gen 18:31	καὶ εἶπεν Ἐπειδὴ ἔχω λαλῆσαι πρὸς τὸν κύριον, ἐὰν δὲ εὑρεθῶσιν ἐκεῖ εἴκοσι; καὶ εἶπεν Οὐ μὴ ἀπολέσω ἕνεκεν τῶν εἴκοσι.
Gen 18:32	καὶ εἶπεν Μή τι, κύριε, ἐὰν λαλήσω ἔτι ἅπαξ· ἐὰν δὲ εὑρεθῶσιν ἐκεῖ δέκα; καὶ εἶπεν Οὐ μὴ ἀπολέσω ἕνεκεν τῶν δέκα.
Gen 18:33	ἀπῆλθεν δὲ Κύριος ὡς ἐπαύσατο λαλῶν τῷ Ἀβραάμ, καὶ Ἀβραὰμ ἀπέστρεψεν εἰς τὸν τὸπον αὐτοῦ.
Gen 19:1	Ἦλθον δὲ οἱ δύο ἄγγελοι εἰς Σόδομα ἑσπέρας· Λὼτ δὲ ἐκάθητο παρὰ τὴν πύλην Σοδόμων. ἰδὼν δὲ Λὼτ ἀνέστη εἰς συνάντησιν αὐτοῖς, καὶ προσεκύνησεν τῷ προσώπῳ ἐπὶ τὴν γῆν·
Gen 19:2	καὶ εἶπεν Ἰδού, κύριοι, ἐκκλίνατε πρὸς τὸν οἶκον τοῦ παιδὸς ὑμῶν καὶ καταλύσατε, καὶ νίψατε τοὺς πόδας ὑμῶν, καὶ ὀρθρίσαντες ἀπελεύσεσθε εἰς τὴν ὁδὸν ὑμῶν. εἶπαν δέ Οὐχί, ἀλλ᾽ ἢ ἐν τῇ πλατείᾳ καταλύσομεν.
Gen 19:3	καὶ παρεβιάζετο αὐτούς, καὶ ἐξέκλιναν πρὸς αὐτόν. καὶ εἰσῆλθον εἰς τὴν οἰκίαν αὐτοῦ· καὶ ἐποίησεν αὐτοῖς πότον καὶ ἀζύμους ἔπεψεν αὐτοῖς, καὶ ἔφαγον
Gen 19:4	πρὸ τοῦ κοιμηθῆναι. καὶ οἱ ἄνδρες τῆς πόλεως οἱ Σοδομεῖται περιεκύκλωσαν τὴν οἰκίαν ἀπὸ νεανίσκου ἕως πρεσβυτέρου, ἅπας ὁ λαὸς ἅμα.
Gen 19:5	καὶ ἐξεκαλοῦντο τὸν Λώτ, καὶ ἔλεγον πρὸς αὐτόν Ποῦ εἰσιν οἱ ἄνδρες οἱ εἰσελθόντες πρὸς σὲ τὴν νύκτα; ἐξάγαγε αὐτοὺς πρὸς ἡμᾶς, ἵνα συγγενώμεθα αὐτοῖς.
Gen 19:6	ἐξῆλθεν δὲ Λὼτ πρὸς αὐτούς, καὶ τὴν θύραν προσέῳξεν ὀπίσω αὐτοῦ.
Gen 19:7	εἶπεν δὲ πρὸς αὐτούς Μηδαμῶς, ἀδελφοί, μὴ πονηρεύσησθε.
Gen 19:8	εἰσὶν δέ μοι δύο θυγατέρες, αἳ οὐκ ἔγνωσαν ἄνδρα· ἐξάξω αὐτὰς πρὸς ὑμᾶς, καὶ χρήσασθε αὐταῖς καθὰ ἀρέσκῃ ὑμῖν· μόνον εἰς τοὺς ἄνδρας τούτους μὴ ποιήσητε μηδὲν ἄδικον, οὗ εἵνεκεν εἰσῆλθον ὑπὸ τὴν στέγην τῶν δοκῶν μου.
Gen 19:9	εἶπαν δέ Ἀπόστα ἐκεῖ· εἰσῆλθες παροικεῖν, μὴ καὶ κρίσιν κρῖναι; νῦν οὖν σὲ κακώσομεν μᾶλλον ἢ ἐκείνους. καὶ παρεβιάζοντο τὸν ἄνδρα τὸν Λὼτ σφόδρα, καὶ ἤγγισαν συντρίψαι τὴν θύραν.
Gen 19:10	ἐκτείναντες δὲ οἱ ἄνδρες τὰς χεῖρας εἰσεσπάσαντο τὸν Λὼτ πρὸς ἑαυτοὺς εἰς τὸν οἶκον, καὶ τὴν θύραν τοῦ οἴκου ἀπέκλεισαν·
Gen 19:11	τοὺς δὲ ἄνδρας τοὺς ὄντας ἐπὶ τῆς θύρας τοῦ οἴκου ἐπάταξαν ἀορασίᾳ, ἀπὸ μικροῦ ἕως μεγάλου· καὶ παρελύθησαν ζητοῦντες τὴν θύραν.
Gen 19:12	εἶπαν δὲ οἱ ἄνδρες πρὸς Λώτ Ἔστιν τίς σοι ὧδε, γαμβροὶ ἢ υἱοὶ ἢ θυγατέρες, ἢ εἴ τίς σοι ἄλλος ἐστὶν ἐν τῇ πόλει, ἐξάγαγε ἐκ τοῦ τόπου τούτου·
Gen 19:13	ὅτι ἀπόλλυμεν ἡμεῖς τὸν τόπον τοῦτον, ὅτι ὑψώθη ἡ κραυγὴ αὐτῶν ἐναντίον Κυρίου, καὶ ἀπέστειλεν ἡμᾶς Κύριος ἐκτρίψαι αὐτήν.
Gen 19:14	ἐξῆλθεν δὲ Λὼτ καὶ ἐλάλησεν πρὸς τοὺς γαμβροὺς αὐτοῦ τοὺς εἰληφότας τὰς θυγατέρας αὐτοῦ, καὶ εἶπεν Ἀνάστητε καὶ ἐξέλθατε ἐκ τοῦ τόπου τούτου, ὅτι ἐκτρίβει Κύριος τὴν πόλιν. ἔδοξεν δὲ γελοιάζειν ἐναντίον τῶν γαμβρῶν αὐτοῦ.
Gen 19:15	ἡνίκα δὲ ὄρθρος ἐγίνετο, ἐπεσπούδαζον οἱ ἄγγελοι τὸν Λὼτ λέγοντες Ἀναστὰς λάβε τὴν γυναῖκά σου καὶ τὰς δύο θυγατέρας σου ἃς ἔχεις καὶ ἔξελθε, ἵνα μὴ συναπόλῃ ταῖς ἀνομίαις τῆς πόλεως.
Gen 19:16	καὶ ἐταράχθησαν· καὶ ἐκράτησαν οἱ ἄγγελοι τῆς χειρὸς αὐτῶν καὶ τῆς χειρὸς τῆς γυναικὸς αὐτοῦ καὶ τῶν χειρῶν τῶν δύο θυγατέρων αὐτοῦ, ἐν τῷ φείσασθαι Κύριον αὐτοῦ.
Gen 19:17	καὶ ἐγένετο ἡνίκα ἐξήγαγον αὐτοὺς ἔξω καὶ εἶπαν Σώζων σῶζε τὴν σεαυτοῦ ψυχήν· μὴ περιβλέψῃς εἰς τὰ ὀπίσω μηδὲ στῇς ἐν πάσῃ τῇ περιχώρῳ· εἰς τὸ ὄρος σώζου, μή ποτε συνπαραλημφθῇς.
Gen 19:18	εἶπεν δὲ Λὼτ πρὸς αὐτούς Δέομαι, κύριε,
Gen 19:19	ἐπειδὴ εὗρεν ὁ παῖς σου ἔλεος ἐναντίον σου καὶ ἐμεγάλυνας τὴν δικαιοσύνην σου, ὃ ποιεῖς ἐπ᾽ ἐμέ, τοῦ ζῇν τὴν ψυχήν μου· ἐγὼ δὲ οὐ δυνήσομαι διασωθῆναι εἰς τὸ ὄρος, μὴ καταλάβῃ με τὰ κακὰ καὶ ἀποθάνω·
Gen 19:20	ἰδοὺ ἡ πόλις αὕτη ἐγγὺς τοῦ καταφυγεῖν με ἐκεῖ, ἥ ἐστιν μικρά· ἐκεῖ σωθήσομαι· οὐ μικρά ἐστιν; καὶ ζήσεται ἡ ψυχή μου ἕνεκεν σοῦ.
Gen 19:21	καὶ εἶπεν αὐτῷ Ἰδοὺ ἐθαύμασά σου τὸ πρόσωπον καὶ ἐπὶ τῷ ῥήματι τούτῳ τοῦ μὴ καταστρέψαι τὴν πόλιν περὶ ἧς ἐλάλησας·
