Jos 1:1	ΚΑΙ ἐγένετο μετὰ τὴν τελευτὴν Μωυσῆ εἶπεν Κύριος τῷ Ἰησοῖ υἱῷ Ναυὴ τῷ ὑπουργῷ Μωυσῆ λέγων
Jos 8:6	καὶ ὡς ἂν ἐξέλθωσιν ὀπίσω ἡμῶν, ἀποσπάσομεν αὐτοὺς ἀπὸ τῆς πόλεως· καὶ ἐροῦσιν Φεύγουσιν οὗτοι ἀπὸ προσώπου ἡμῶν ὃν τρόπον καὶ ἔμπροσθεν.
Jos 8:7	ὑμεῖς δὲ ἐξαναστήσεσθε ἐκ τῆς ἐνέδρας, καὶ πορεύσεσθε εἰς τὴν πόλιν.
Jos 8:8	κατὰ τὸ ῥῆμα τοῦτο ποιήσετε· ἰδοὺ ἐντέταλμαι ὑμῖν.
Jos 8:9	καὶ ἀπέστειλεν αὐτοὺς Ἰησοῦς, καὶ ἐπορεύθησαν εἰς τὴν ἐνέδραν· καὶ ἐνεκάθισαν ἀνὰ μέσον Βαιθὴλ καὶ ἀνὰ μέσον Γαί, ἀπὸ θαλάσσης τῆς Γαί.
Jos 8:10	Καὶ ὀρθρίσας Ἰησοῦς τὸ πρωὶ ἐπεσκέψατο τὸν λαόν· καὶ ἀνέβησαν αὐτοὶ καὶ οἱ πρεσβύτεροι κατὰ πρόσωπον τοῦ λαοῦ ἐπὶ Γαί.
Jos 8:11	καὶ πᾶς ὁ λαὸς ὁ πολεμιστὴς μετ᾽ αὐτοῦ ἀνέβησαν, καὶ πορευόμενοι ἦλθον ἐξ ἐναντίας τῆς πόλεως ἀπ᾽ ἀνατολῶν,
Jos 8:12	καὶ τὰ ἔνεδρα τῆς πόλεως ἀπὸ θαλάσσης.
Jos 8:13	
Jos 8:14	καὶ ἐγένετο ὡς ἴδεν βασιλεὺς Γαί, ἔσπευσεν καὶ ἐξῆλθεν εἰς συνάντησιν αὐτοῖς ἐπ᾽ εὐθείας εἰς τὸν πόλεμον, αὐτὸς καὶ πᾶς ὁ λαὸς ὁ μετ᾽ αὐτοῦ· καὶ αὐτὸς οὐκ ᾔδει ὅτι ἔνεδρα αὐτῷ ἐστιν ὀπίσω τῆς πόλεως.
Jos 8:15	καὶ ἴδεν καὶ ἀνεχώρησεν Ἰησοῦς καὶ Ἰσραὴλ ἀπὸ προσώπου αὐτῶν.
Jos 8:16	καὶ κατεδίωξαν ὀπίσω τῶν υἱῶν Ἰσραήλ, καὶ αὐτοὶ ἀπέστησαν ἀπὸ τῆς πόλεως·
Jos 8:17	οὐ κατελείφθη οὐθεὶς ἐν τῇ Γαὶ ὃς οὐ κατεδίωξεν ὀπίσω Ἰσραήλ· καὶ κατέλιπον τὴν πόλιν ἀνεῳγμένην, καὶ κατεδίωξαν ὀπίσω Ἰσραήλ.
Jos 8:18	καὶ εἶπεν Κύριος πρὸς Ἰησοῦν Ἔκτεινον τὴν χεῖρά σου ἐν τῷ γαίσῳ τῷ ἐν τῇ χειρί σου ἐπὶ τὴν πόλιν, εἰς γὰρ τὰς χεῖράς σου παραδέδωκα αὐτήν· καὶ τὰ ἔνεδρα ἐξαναστήσονται ἐν τάχει ἐκ τοῦ τόπου αὐτῶν. καὶ ἐξέτεινεν Ἰησοῦς τὴν χεῖρα αὐτοῦ, τὸν γαῖσον, ἐπὶ τὴν πόλιν·
Jos 8:19	καὶ τὰ ἔνεδρα ἐξανέστησαν ἐν τάχει ἐκ τοῦ τόπου αὐτῶν καὶ ἐξήλθοσαν ὅτε ἐξέτεινεν τὴν χεῖρα, καὶ ἤλθοσαν ἐπὶ τὴν πόλιν καὶ κατελάβοντο αὐτήν· καὶ σπεύσαντες ἐνέπρησαν τὴν πόλιν ἐν πυρί.
Jos 8:20	καὶ περιβλέψαντες οἱ κάτοικοι Γαὶ εἰς τὰ ὀπίσω αὐτῶν, καὶ ἐθεώρουν καπνὸν ἀναβαίνοντα ἐκ τῆς πόλεως εἰς τὸν οὐρανόν· καὶ οὐκέτι εἶχον ποῦ φύγωσιν ὧδε ἢ ὧδε.
Jos 8:21	καὶ Ἰησοῦς καὶ πᾶς Ἰσραὴλ εἶδον ὅτι ἔλαβον τὰ ἔνεδρα τὴν πόλιν, καὶ ὅτι ἀνέβη ὁ καπνὸς τῆς πόλεως εἰς τὸν οὐρανόν· καὶ μεταβαλόμενοι ἐπάταξαν τοὺς ἄνδρας τῆς Γαί.
Jos 8:22	καὶ οὗτοι ἐξήλθοσαν ἐκ τῆς πόλεως εἰς συνάντησιν, καὶ ἐγενήθησαν ἀνὰ μέσον τῆς παρεμβολῆς, οὗτοι ἐντεῦθεν καὶ οὗτοι ἐντεῦθεν· καὶ ἐπάταξαν ἕως τοῦ μὴ καταλειφθῆναι αὐτῶν σεσωσμένον καὶ διαπεφευγότα.
Jos 8:23	καὶ τὸν βασιλέα τῆς Γαὶ συνέλαβον ζῶντα, καὶ προσήγαγον αὐτὸν πρὸς Ἰησοῦν.
Jos 8:24	καὶ ὡς ἐπαύσαντο οἱ υἱοὶ Ἰσραὴλ ἀποκτέννοντες πάντας τοὺς ἐν τῇ Γαὶ τοὺς ἐν τοῖς πεδίοις καὶ ἐν τῷ ὄρει ἐπὶ τῆς καταβάσεως οὗ κατεδίωξαν αὐτοὺς ἀπ᾽ αὐτῆς εἰς τέλος, καὶ ἀπέστρεψεν Ἰησοῦς εἰς Γαί, καὶ ἐπάταξεν αὐτὴν ἐν στόματι ῥομφαίας.
Jos 8:25	καὶ ἐγενήθησαν οἱ πεσόντες ἐν τῇ ἡμέρᾳ ἐκείνῃ ἀπὸ ἀνδρὸς καὶ ἕως γυναικὸς δώδεκα χιλιάδες, πάντας τοὺς κατοικοῦντας Γαί.
Jos 8:26	
Jos 8:27	πλὴν τῶν σκύλων τῶν ἐν τῇ πόλει πάντα ἃ ἐπρονόμευσαν ἑαυτοῖς οἱ υἱοὶ Ἰσραὴλ κατὰ πρόσταγμα Κυρίου, ὃν τρόπον συνέταξεν Κύριος τῷ Ἰησοῖ.
Jos 8:28	καὶ ἐνεπύρισεν Ἰησοῦς τὴν πόλιν ἐν πυρί· χῶμα ἀοίκητον εἰς τὸν αἰῶνα ἔθηκεν αὐτὴν ἕως τῆς ἡμέρας ταύτης.
Jos 8:29	καὶ τὸν βασιλέα τῆς Γαὶ ἐκρέμασεν ἐπὶ ξύλου διδύμου, καὶ ἦν ἐπὶ τοῦ ξύλου ἕως ἑσπέρας· καὶ ἐπιδύνοντος τοῦ ἡλίου συνέταξεν Ἰησοῦς καὶ καθείλοσαν αὐτοῦ τὸ σῶμα ἀπὸ τοῦ ξύλου καὶ ἔριψαν αὐτὸν εἰς τὸν βόθρον, καὶ ἐπέστησαν αὐτῷ σωρὸν λίθων ἕως τῆς ἡμέρας ταύτης.
Jos 9:1	Ὡς δ᾽ ἤκουσαν οἱ βασιλεῖς τῶν Ἀμορραίων οἱ ἐν τῷ πέραν τοῦ Ἰορδάνου, οἱ ἐν τῇ ὀρεινῇ καὶ οἱ ἐν τῇ πεδινῇ καὶ οἱ ἐν πάσῃ τῇ παραλίᾳ τῆς θαλάσσης τῆς μεγάλης καὶ οἱ πρὸς τῷ Ἀντιλιβάνῳ, καὶ οἱ Χετταῖοι καὶ οἱ Φερεζαῖοι καὶ οἱ Εὐαῖοι καὶ οἱ Ἀμορραῖοι καὶ οἱ Γεργεσαῖοι καὶ οἱ Ἰεβουσαῖοι,
Jos 9:2	συνήλθοσαν ἐπὶ τὸ αὐτὸ ἐκπολεμῆσαι Ἰησοῦν καὶ Ἰσραὴλ ἅμα πάντες.
Jos 9:3	Τότε οἰκοδόμησεν Ἰησοῦς θυσιαστήριον Κυρίῳ τῷ θεῷ Ἰσραὴλ ἐν ὄρει Γαιβάλ,
Jos 9:4	καθότι ἐνετείλατο Μωυσῆς ὁ θεράπων Κυρίου τοῖς υἱοῖς Ἰσραήλ, καθὰ γέγραπται ἐν τῷ νόμῳ Μωυσῆ, θυσιαστήριον λίθων ὁλοκλήρων ἐφ᾽ οὓς οὐκ ἐπεβλήθη σίδηρος· καὶ ἀνεβίβασεν ἐκεῖ ὁλοκαυτώματα Κυρίῳ, θυσίαν σωτηρίου.
Jos 9:5	καὶ ἔγραψεν Ἰησοῦς ἐπὶ τῶν λίθων τὸ δευτερονόμιον, νόμον Μωυσῆ, ἐνώπιον υἱῶν Ἰσραήλ.
Jos 9:6	καὶ πᾶς Ἰσραὴλ καὶ οἱ πρεσβύτεροι αὐτῶν καὶ οἱ δικασταὶ καὶ οἱ γραμματεῖς αὐτῶν παρεπορεύοντο ἔνθεν καὶ ἔνθεν τῆς κιβωτοῦ ἀπέναντι, καὶ οἱ ἱερεῖς καὶ οἱ Λευεῖται ἦραν τὴν κιβωτὸν τῆς διαθήκης Κυρίου, καὶ ὁ προσήλυτος καὶ ὁ αὐτόχθων, οἳ ἦσαν ἥμισυ πλησίον ὄρους Γαριζείν, καὶ οἳ ἦσαν ἥμισυ πλησίον ὄρους Γαιβάλ· καθότι ἐνετείλατο Μωυσῆς ὁ θεράπων Κυρίου εὐλογῆσαι τὸν λαὸν ἐν πρώτοις.
Jos 9:7	καὶ μετὰ ταῦτα οὕτως ἀνέγνω Ἰησοῦς πάντα τὰ ῥήματα τοῦ νόμου τούτου, τὰς εὐλογίας καὶ τὰς κατάρας κατὰ πάντα τὰ γεγραμμένα ἐν τῷ νόμῳ Μωυσῆ·
Jos 9:8	οὐκ ἦν ῥῆμα ἀπὸ πάντων ὧν ἐνετείλατο Μωυσῆς τῷ Ἰησοῖ ὃ οὐκ ἀνέγνω Ἰησοῦς εἰς τὰ ὦτα πάσης ἐκκλησίας υἱῶν Ἰσραήλ, τοῖς ἀνδράσιν καὶ ταῖς γυναιξὶν καὶ τοῖς παιδίοις, καὶ τοῖς προσηλύτοις τοῖς προσπορευομένοις τῷ Ἰσραήλ.
Jos 9:9	Καὶ οἱ κατοικοῦντες Γαβαὼν ἤκουσαν πάντα ὅσα ἐποίησεν Κύριος τῇ Ἰερειχὼ καὶ τῇ Γαί.
Jos 9:10	καὶ ἐποίησαν καί γε αὐτοὶ μετὰ πανουργίας, καὶ ἐλθόντες ἐπεσιτίσαντο καὶ ἡτοιμάσαντο· καὶ λαβόντες σάκκους παλαιοὺς ἐπὶ τῶν ὤμων αὐτῶν καὶ ἀσκοὺς οἴνου παλαιοὺς καὶ κατερρωγότας ἀποδεδεμένους,
Jos 9:11	καὶ τὰ κοῖλα τῶν ὑποδημάτων αὐτῶν καὶ τὰ σανδάλια αὐτῶν παλαιὰ καὶ καταπεπελματωμένα ἐν τοῖς ποσὶν αὐτῶν, καὶ τὰ ἱμάτια αὐτῶν πεπαλαιωμένα ἐπάνω αὐτῶν· καὶ ὁ ἄρτος αὐτῶν τοῦ ἐπισιτισμοῦ ξηρὸς καὶ εὐρωτιῶν καὶ βεβρωμένος.
Jos 9:12	καὶ ἤλθοσαν πρὸς Ἰησοῦν εἰς τὴν παρεμβολὴν Ἰσραὴλ εἰς Γάλγαλα, καὶ εἶπαν πρὸς Ἰησοῦν καὶ Ἰσραήλ Ἐκ γῆς μακρόθεν ἥκαμεν, καὶ νῦν διάθεσθε ἡμῖν διαθήκην.
Jos 9:13	καὶ εἶπαν οἱ υἱοὶ Ἰσραὴλ πρὸς τὸν Χορραῖον Ὅρα μὴ ἐν ἐμοὶ κατοικεῖς, καὶ πῶς σοι διαθῶμαι διαθήκην;
Jos 9:14	καὶ εἶπαν πρὸς Ἰησοῦν Οἰκέται σού ἐσμεν. καὶ εἶπεν πρὸς αὐτοὺς Ἰησοῦς Πόθεν ἐστέ, καὶ πόθεν παραγεγόνατε;
Jos 9:15	καὶ εἶπαν Ἐκ γῆς μακρόθεν σφόδρα ἥκασιν οἱ παῖδές σου ἐν ὀνόματι Κυρίου τοῦ θεοῦ σου· ἀκηκόαμεν γὰρ τὸ ὄνομα αὐτοῦ, καὶ ὅσα ἐποίησεν ἐν Αἰγύπτῳ,
Jos 9:16	καὶ ὅσα ἐποίησεν τοῖς βασιλεῦσιν τῶν, Ἀμορραίων οἳ ἦσαν πέραν τοῦ Ἰορδάνου, τῷ Σηὼν βασιλεῖ τῶν Ἀμορραίων καὶ τῷ Ὢγ βασιλεῖ τῆς Βασάν, ὃς κατῴκει ἐν Ἀσταρὼθ καὶ ἐν Ἐδράειν.
Jos 9:17	καὶ ἀκούσαντες εἶπαν πρὸς ἡμᾶς οἱ πρεσβύτεροι ἡμῶν καὶ πάντες οἱ κατοικοῦντες τὴν γῆν ἡμῶν λέγοντες Λάβετε ἑαυτοῖς ἐπισιτισμὸν εἰς τὴν ὁδὸν καὶ πορεύθητε εἰς συνάντησιν αὐτῶν, καὶ ἐρεῖτε πρὸς αὐτούς Οἰκέται σού ἐσμεν, καὶ νῦν διάθεσθε ἡμῖν διαθήκην.
Jos 9:18	οὗτοι οἱ ἄρτοι, θερμοὺς ἐφωδιάσθημεν αὐτοὺς ἐν τῇ ἡμέρᾳ ᾗ ἐξήλθομεν παραγενέσθαι πρὸς ὑμᾶς, νῦν δὲ ἐξηράνθησαν καὶ γεγόνασιν βεβρωμένοι·
Jos 9:19	καὶ οὗτοι οἱ ἀσκοὶ τοῦ οἴνου οὓς ἐπλήσαμεν καινούς, καὶ οὗτοι ἐρρώγασιν· καὶ τὰ ἱμάτια ἡμῶν καὶ τὰ ὑποδήματα ἡμῶν πεπαλαίωται ἀπὸ τῆς πολλῆς ὁδοῦ σφόδρα.
Jos 9:20	καὶ ἔλαβον οἱ ἄρχοντες τοῦ ἐπισιτισμοῦ αὐτῶν, καὶ Κύριον οὐκ ἐπηρώτησαν.
Jos 9:21	καὶ ἐποίησεν Ἰησοῦς πρὸς αὐτοὺς εἰρήνην· καὶ διέθεντο πρὸς αὐτοὺς διαθήκην τοῦ διασῶσαι αὐτούς, καὶ ὤμοσαν αὐτοῖς οἱ ἄρχοντες τῆς συναγωγῆς.
Jos 9:22	Καὶ ἐγένετο μετὰ τρεῖς ἡμέρας μετὰ τὸ διαθέσθαι πρὸς αὐτοὺς διαθήκην, ἤκουσαν ὅτι ἐγγύθεν αὐτῶν εἰσιν, καὶ ὅτι ἐν αὐτοῖς κατοικοῦσιν.
Jos 9:23	καὶ ἀπῆραν οἱ υἱοὶ Ἰσραὴλ καὶ ἦλθον εἰς τὰς πόλεις αὐτῶν· αἱ δὲ πόλεις αὐτῶν Γαβαὼν καὶ Κεφειρὰ καὶ Βειρών, καὶ πόλεις Ἰαρείν.
Jos 9:24	καὶ οὐκ ἐμαχέσαντο αὐτοῖς οἱ υἱοὶ Ἰσραήλ, ὅτι ὤμοσαν αὐτοῖς πάντες οἱ ἄρχοντες Κύριον τὸν θεὸν Ἰσραήλ· καὶ διεγόγγυσαν πᾶσα ἡ συναγωγὴ ἐπὶ τοῖς ἄρχουσιν.
Jos 9:25	καὶ εἶπαν οἱ ἄρχοντες πάσῃ τῇ συναγωγῇ Ἡμεῖς ὠμόσαμεν αὐτοῖς Κύριον τὸν θεὸν Ἰσραήλ, καὶ νῦν οὐ δυνησόμεθα ἅψασθαι αὐτῶν.
Jos 9:26	τοῦτο ποιήσομεν, ζωγρῆσαι αὐτούς, καὶ περιποιησόμεθα αὐτούς· καὶ οὐκ ἔσται καθ᾽ ἡμῶν ὀργὴ διὰ τὸν ὅρκον ὃν ὠμόσαμεν αὐτοῖς.
Jos 9:27	ζήσονται, καὶ ἔσονται ξυλοκόποι καὶ ὑδροφόροι πάσῃ τῇ συναγωγῇ, καθάπερ εἶπαν αὐτοῖς οἱ ἄρχοντες.
Jos 9:28	καὶ συνεκάλεσεν αὐτοὺς Ἰησοῦς καὶ εἶπεν αὐτοῖς Διὰ τί παρελογίσασθέ με λέγοντες Μακρὰν ἀπὸ σοῦ ἐσμεν σφόδρα, ὑμεῖς δὲ ἐνχώριοί ἐστε, τῶν κατοικούντων ἐν ἡμῖν;
Jos 9:29	καὶ νῦν ἐπικατάρατοί ἐστε· οὐ μὴ ἐκλίπῃ ἐξ ὑμῶν δοῦλος οὐδὲ ξυλοκόπος ἐμοὶ καὶ τῷ θεῷ μου.
Jos 9:30	καὶ ἀπεκρίθησαν τῷ Ἰησοῖ λέγοντες Ἀνηγγέλη ἡμῖν ὅσα συνέταξεν Κύριος ὁ θεός σου Μωυσῇ τῷ παιδὶ αὐτοῦ, δοῦναι ὑμῖν τὴν γῆν ταύτην, καὶ ἐξολεθρεῦσαι ἡμᾶς καὶ πάντας τοὺς κατοικοῦντας ἐπ᾽ αὐτῆς ἀπὸ προσώπου ὑμῶν· καὶ ἐφοβήθημεν σφόδρα περὶ τῶν ψυχῶν ἡμῶν ἀπὸ προσώπου ὑμῶν, καὶ ἐποιήσαμεν τὸ πρᾶγμα τοῦτο.
Jos 9:31	καὶ νῦν ἰδοὺ ἡμεῖς ὑποχείριοι ὑμῖν· ὡς ἀρέσκει ὑμῖν καὶ ὡς δοκεῖ ὑμῖν, ποιήσατε ἡμῖν.
Jos 9:32	καὶ ἐποίησαν αὐτοῖς οὕτως· καὶ ἐξείλατο αὐτοὺς Ἰησοῦς ἐν τῇ ἡμέρᾳ ἐκείνῃ ἐκ χειρῶν υἱῶν Ἰσραήλ, καὶ οὐκ ἀνεῖλον αὐτούς.
Jos 9:33	καὶ κατέστησεν αὐτοὺς Ἰησοῦς ἐν τῇ ἡμέρᾳ ἐκείνῃ ξυλοκόπους καὶ ὑδροφόρους πάσῃ τῇ συναγωγῇ καὶ τῷ θυσιαστηρίῳ τοῦ θεοῦ· διὰ τοῦτο ἐγένοντο οἱ κατοικοῦντες Γαβαὼν ξυλοκόποι καὶ ὑδροφόροι τοῦ θυσιαστηρίου τοῦ θεοῦ ἕως τῆς σήμερον ἡμέρας ⸆ καὶ εἰς τὸν τόπον ὃν ἐὰν ἐκλέξηται Κύριος.
Jos 10:1	Ὡς δὲ ἤκουσεν Ἀδωνιβέζεκ βασιλεὺς Ἰερουσαλὴμ ὅτι ἔλαβεν Ἰησοῦς τὴν Γαὶ καὶ ἐξωλέθρευσεν αὐτήν· ὃν τρόπον ἐποίησαν τὴν Ἰερειχὼ καὶ τὸν βασιλέα αὐτῆς, οὕτως ἐποίησαν τὴν Γαὶ καὶ τὸν βασιλέα αὐτῆς, καὶ ὅτι αὐτομόλησαν οἱ κατοικοῦντες Γαβαὼν πρὸς Ἰησοῦν καὶ πρὸς Ἰσραήλ·
Jos 10:2	καὶ ἐφοβήθησαν ἀπ᾽ αὐτῶν σφόδρα· ᾔδει γὰρ ὅτι μεγάλη πόλις Γαβαὼν ὡσεὶ μία τῶν μητροπόλεων, καὶ πάντες οἱ ἄνδρες αὐτῆς ἰσχυροί.
Jos 10:3	καὶ ἀπέστειλεν Ἀδωνιβέζεκ βασιλεὺς Ἰερουσαλὴμ πρὸς Αἰλὰμ βασιλέα Χεβρὼν καὶ πρὸς Φειδὼν βασιλέα Ἰερειμοὺθ καὶ πρὸς Ἰέφθα βασιλέα Λαχεὶς καὶ πρὸς Δαβεὶν βασιλέα Ὀδολλὰμ λέγων
Jos 10:4	Δεῦτε ἀνάβητε πρὸς μὲ καὶ βοηθήσατέ μοι, καὶ ἐκπολεμήσωμεν Γαβαών· αὐτομόλησαν γὰρ πρὸς Ἰησοῦν καὶ πρὸς τοὺς υἱοὺς Ἰσραήλ.
Jos 10:5	καὶ ἀνέβησαν οἱ πέντε βασιλεῖς τῶν Ἰεβουσαίων, βασιλεὺς Ἰερουσαλὴμ καὶ βασιλεὺς Χεβρὼν καὶ βασιλεὺς Ἰερειμοὺθ καὶ βασιλεὺς Λαχεὶς καὶ βασιλεὺς Ὀδολλάμ, αὐτοὶ καὶ πᾶς ὁ λαὸς αὐτῶν, καὶ περιεκάθισαν τὴν Γαβαὼν καὶ ἐξεπολιόρκουν αὐτήν.
Jos 10:6	καὶ ἀπέστειλαν οἱ κατοικοῦντες Γαβαὼν πρὸς Ἰησοῦν εἰς τὴν παρεμβολὴν Ἰσραὴλ εἰς Γάλγαλα λέγοντες Μὴ ἐκλύσῃς τὰς χεῖράς σου ἀπὸ τῶν παίδων σου· ἀνάβηθι πρὸς ἡμᾶς τὸ τάχος καὶ ἐξελοῦ ἡμᾶς καὶ βοήθησον ἡμῖν· ὅτι συνηγμένοι εἰσὶν ἐφ᾽ ἡμᾶς πάντες οἱ βασιλεῖς τῶν Ἀμορραίων οἱ κατοικοῦντες τὴν ὀρεινήν.
Jos 10:7	καὶ ἀνέβη Ἰησοῦς ἐκ Γαλγάλων, αὐτὸς καὶ πᾶς ὁ λαὸς ὁ πολεμιστὴς μετ᾽ αὐτοῦ, πᾶς δυνατὸς ἐν ἰσχύι.
Jos 10:8	καὶ εἶπεν Κύριος πρὸς Ἰησοῦν Μὴ φοβηθῇς αὐτούς, εἰς γὰρ τὰς χεῖράς σου παραδέδωκα αὐτούς· οὐχ ὑπολειφθήσεται ἐξ αὐτῶν οὐθεὶς ἐνώπιον ὑμῶν.
Jos 10:9	καὶ ἐπεὶ παρεγένετο ἐπ᾽ αὐτοὺς Ἰησοῦς ἄφνω, ὅλην τὴν νύκτα εἰσεπορεύθη ἐκ Γαλγάλων.
Jos 10:10	καὶ ἐξέστησεν αὐτοὺς Κύριος ἀπὸ προσώπου τῶν υἱῶν Ἰσραήλ, καὶ συνέτριψεν αὐτοὺς Κύριος συντρίψει μεγάλῃ ἐν Γαβαών· καὶ κατεδίωξαν αὐτοὺς ὁδὸν ἀναβάσεως Ὡρωνείν, καὶ κατέκοπτον αὐτοὺς ἕως Ἀζηκὰ καὶ ἕως Μακηδά.
Jos 10:11	ἐν τῷ δὲ φεύγειν αὐτοὺς ἀπὸ προσώπου τῶν υἱῶν Ἰσραὴλ ἐπὶ τῆς καταβάσεως Ὡρωνείν, καὶ Κύριος ἐπέρριψεν αὐτοῖς λίθους χαλάζης ἐκ τοῦ οὐρανοῦ ἕως Ἁζηκά· καὶ ἐγένοντο πλείους οἱ ἀποθανόντες διὰ τοὺς λίθους τῆς χαλάζης ἢ οὓς ἀπέκτειναν οἱ υἱοὶ Ἰσραὴλ μαχαίρᾳ ἐν τῷ πολέμῳ.
Jos 10:12	Τότε ἐλάλησεν Ἰησοῦς πρὸς Κύριον, ᾗ ἡμέρᾳ παρέδωκεν ὁ θεὸς τὸν Ἀμορραῖον ὑποχείριον Ἰσραήλ, ἡνίκα συνέτριψεν αὐτοὺς ἐν Γαβαὼν καὶ συνετρίβησαν ἀπὸ προσώπου υἱῶν Ἰσραήλ· καὶ εἶπεν Ἰησοῦς Στήτω ὁ ἥλιος κατὰ Γαβαών, καὶ ἡ σελήνη κατὰ φάραγγα Αἰλών.
Jos 10:13	καὶ ἔστη ὁ ἥλιος καὶ ἡ σελήνη ἐν στάσει, ἕως ἠμύνατο ὁ θεὸς τοὺς ἐχθροὺς αὐτῶν. καὶ ἔστη ὁ ἥλιος κατὰ μέσον τοῦ οὐρανοῦ, οὐ προεπορεύετο εἰς δυσμὰς εἰς τέλος ἡμέρας μιᾶς.
Jos 10:14	καὶ οὐκ ἐγένετο ἡμέρα τοιαύτη οὐδὲ τὸ πρότερον οὐδὲ τὸ ἔσχατον ὥστε ἐπακοῦσαι θεὸν ἀνθρώπου· ὅτι Κύριος συνεπολέμησεν τῷ Ἰσραήλ.
Jos 10:15	
Jos 10:16	Καὶ ἔφυγον οἱ πέντε βασιλεῖς οὗτοι, καὶ κατεκρύβησαν εἰς τὸ σπήλαιον τὸ ἐν Μακηδά.
Jos 10:17	καὶ ἀπηγγέλη τῷ Ἰησοῦ λέγοντες Εὕρηνται οἱ πέντε βασιλεῖς κεκρυμμένοι ἐν τῷ σπηλαίῳ τῷ ἐν Μακηδά.
Jos 10:18	καὶ εἶπεν Ἰησοῦς Κυλίσατε λίθους ἐπὶ τὸ στόμα τοῦ σπηλαίου, καὶ καταστήσατε ἄνδρας φυλάσσειν ἐπ᾽ αὐτούς·
Jos 10:19	ὑμεῖς δὲ μὴ ἑστήκατε καταδιώκοντες ὀπίσω τῶν ἐχθρῶν ὑμῶν, καὶ καταλάβετε τὴν οὐραγίαν αὐτῶν καὶ μὴ ἀφῆτε εἰσελθεῖν εἰς τὰς πόλεις αὐτῶν· παρέδωκεν γὰρ αὐτοὺς Κύριος ὁ θεὸς ἡμῶν εἰς τὰς χεῖρας ἡμῶν.
Jos 10:20	καὶ ἐγένετο ὡς κατέπαυσεν Ἰησοῦς καὶ πᾶς υἱὸς Ἰσραὴλ κόπτοντες αὐτοὺς κοπὴν μεγάλην σφόδρα ἕως εἰς τέλος, καὶ οἱ διασωζόμενοι διεσώθησαν εἰς τὰς πόλεις τὰς ὀχυράς.
Jos 10:21	καὶ ἀπεστράφη πᾶς ὁ λαὸς πρὸς Ἰησοῦν εἰς Μακηδὰ ὑγιεῖς, καὶ οὐκ ἔγρυξεν οὐθεὶς τῶν υἱῶν Ἰσραὴλ τῇ γλώσσῃ αὐτοῦ.
Jos 10:22	καὶ εἶπεν Ἰησοῦς Ἀνοίξατε τὸ σπήλαιον, καὶ ἐξαγάγετε τοὺς πέντε βασιλεῖς τούτους ἐκ τοῦ σπηλαίου·
Jos 10:23	καὶ ἐξηγάγοσαν τοὺς πέντε βασιλεῖς ἐκ τοῦ σπηλαίου, τὸν βασιλέα Ἰερουσαλὴμ καὶ τὸν βασιλέα Χεβρὼν καὶ τὸν βασιλέα Ἰερειμοὺθ καὶ τὸν βασιλέα Λαχεὶς καὶ τὸν βασιλέα Ὀδολλάμ.
Jos 10:24	καὶ ἐπεὶ ἐξήγαγον αὐτοὺς πρὸς Ἰησοῦν, καὶ συνεκάλεσεν Ἰησοῦς πάντα Ἰσραὴλ καὶ τοὺς ἐναρχομένους τοῦ πολέμου τοὺς συνπορευομένους αὐτῷ λέγων αὐτοῖς Προπορεύεσθε καὶ ἐπίθετε τοὺς πόδας ὑμῶν ἐπὶ τοὺς τραχήλους αὐτῶν. καὶ προσελθόντες ἐπέθηκαν τοὺς πόδας αὐτῶν ἐπὶ τοὺς τραχήλους αὐτῶν.
Jos 10:25	καὶ εἶπεν πρὸς αὐτοὺς Ἰησοῦς Μὴ φοβηθῆτε αὐτοὺς μηδὲ δειλιάσητε· ἀνδρίζεσθε καὶ ἰσχύετε, ὅτι οὕτως ποιήσει Κύριος πᾶσι τοῖς ἐχθροῖς ὑμῶν οὓς ὑμεῖς καταπολεμεῖτε αὐτούς.
Jos 10:26	καὶ ἀπέκτεινεν αὐτοὺς Ἰησοῦς, καὶ ἐκρέμασεν αὐτοὺς ἐπὶ πέντε ξύλων· καὶ ἦσαν κρεμάμενοι ἐπὶ τῶν ξύλων ἕως ἑσπέρας.
Jos 10:27	καὶ ἐγενήθη πρὸς ἡλίου δυσμὰς ἐνετείλατο Ἰησοῦς, καὶ καθεῖλον αὐτοὺς ἀπὸ τῶν ξύλων, καὶ ἔρριψαν αὐτοὺς εἰς τὸ σπήλαιον εἰς ὃ κατεφύγοσαν ἐκεῖ, καὶ ἐκύλισαν λίθους ἐπὶ τὸ σπήλαιον ἕως τῆς σήμερον ἡμέρας.
Jos 10:28	Καὶ τὴν Μακηδὰν ἐλάβοσαν ἐν τῇ ἡμέρᾳ ἐκείνῃ, καὶ ἐφόνευσαν αὐτὴν ἐν στόματι μαχαίρας καὶ ἐξωλέθρευσαν πᾶν ἔνπνεον ἐν αὐτῇ, καὶ οὐ κατελείφθη ἐν αὐτῇ οὐδεὶς διασεσωσμένος καὶ διαπεφευγώς· καὶ ἐποίησαν τῷ βασιλεῖ Μακηδὰν ὃν τρόπον ἐποίησαν τῷ βασιλεῖ Ἰερειχώ.
