Ecc 1:1	ΡΗΜΑΤΑ Ἐκκλησιαστοῦ υἱοῦ Δαυεὶδ βασιλέως Ἰσραὴλ ἐν Ἰερουσαλήμ.
Ecc 6:3	ἐὰν γεννήσῃ ἀνὴρ ἑκατόν, καὶ ἔτη πολλὰ ζήσεται, καὶ πλῆθος ὅ τι ἔσονται ἡμέραι ἐτῶν αὐτοῦ, καὶ ψυχὴ αὐτοῦ οὐ πλησθήσεται ἀπὸ τῆς ἀγαθωσύνης, καί γε ταφὴ οὐκ ἐγένετο αὐτῷ, εἶπα Ἀγαθὸν ὑπὲρ αὐτὸν τὸ ἔκτρωμα·
Ecc 6:4	ὅτι ἐν ματαιότητι ἦλθεν καὶ ἐν σκότει πορεύεται, καὶ ἐν σκότει ὄνομα αὐτοῦ καλυφθήσεται,
Ecc 6:5	καί γε ἥλιον οὐκ εἶδεν, καὶ οὐκ ἔγνω ἀναπαύσεις τούτῳ ὑπὲρ τοῦτον.
Ecc 6:6	καὶ εἰ ἔζησεν χιλίων ἐτῶν καθόδους, καὶ ἀγαθωσύνην οὐκ εἶδεν, μὴ οὐκ εἰς τόπον ἕνα πορεύεται;
Ecc 6:7	πᾶς μόχθος ἀνθρώπου εἰς στόμα αὐτοῦ, καί γε ἡ ψυχὴ οὐ πληρωθήσεται.
Ecc 6:8	ὅτι περισσεία τῷ σοφῷ ὑπὲρ τὸν ἄφρονα, διότι ὁ πένης οἶδεν πορευθῆναι κατέναντι τῆς ζωῆς.
Ecc 6:9	ἀγαθὸν ὅραμα ὀφθαλμῶν ὑπὲρ πορευόμενον ψυχῇ· καί γε τοῦτο ματαιότης καὶ προαίρεσις πνεύματος.
Ecc 6:10	Εἴ τι ἐγένετο, ἤδη κέκληται ὄνομα αὐτοῦ, καὶ ἐγνώσθη ὅ ἐστιν ἄνθρωπος, καὶ οὐ δυνήσεται κριθῆναι μετὰ τοῦ ἰσχυροῦ ὑπὲρ αὐτόν·
Ecc 6:11	ὅτι εἰσὶν λόγοι πολλοὶ πληθύνοντες ματαιότητα.
Ecc 7:1	τί περισσὸν τῷ ἀνθρώπῳ; ὅτι τίς οἶδεν ἀγαθὸν τῷ ἀνθρώπῳ ἐν τῇ ζωῇ, ἀριθμὸν ἡμερῶν ζωῆς ματαιότητος αὐτοῦ; καὶ ἐποίησεν αὐτὰ ἐν σκιᾷ· ὅτι τίς ἀπαγγελεῖ τῷ ἀνθρώπῳ τί ἔσται ὀπίσω αὐτοῦ ὑπὸ τὸν ἥλιον;
Ecc 7:2	Ἀγαθὸν ὄνομα ὑπὲρ ἔλαιον ἀγαθόν, καὶ ἡμέρα τοῦ θανάτου ὑπὲρ ἡμέραν γεννήσεως.
Ecc 7:3	ἀγαθὸν πορευθῆναι εἰς οἶκον πένθους ἢ ὅτι πορευθῆναι εἰς οἶκον πότου, καθότι τοῦτο τέλος παντὸς ἀνθρώπου, καὶ ὁ ζῶν δώσει ἀγαθὸν εἰς καρδίαν αὐτοῦ.
Ecc 7:4	ἀγαθὸν θυμὸς ὑπὲρ γέλωτα, ὅτι ἐν κακίᾳ προσώπου ἀγαθυνθήσεται·
Ecc 7:5	καρδία σοφῶν ἐν οἴκῳ πένθους, καὶ καρδία ἀφρόνων ἐν οἴκῳ εὐφροσύνης.
Ecc 7:6	ἀγαθὸν τὸ ἀκοῦσαι ἐπιτίμησιν σοφοῦ ὑπὲρ ἄνδρα ἀκούοντα ᾆσμα ἀφρόνων.
Ecc 7:7	ὡς φωνὴ ἀκανθῶν ὑπὸ τὸν λέβητα, οὕτως γέλως τῶν ἀφρόνων· καί γε τοῦτο ματαιότης.
Ecc 7:8	ὅτι ἡ συκοφαντία περιφέρει σοφὸν καὶ ἀπόλλυσι τὴν καρδίαν εὐγενείας αὐτοῦ.
Ecc 7:9	ἀγαθὴ ἐσχάτη λόγων ὑπὲρ ἀρχὴν αὐτοῦ, ἀγαθὸν μακρόθυμος ὑπὲρ ὑψηλὸν πνεύματι.
Ecc 7:10	μὴ σπεύσῃς ἐν πνεύματί σου τοῦ θυμοῦσθαι, ὅτι θυμὸς ἐν κόλπῳ ἀφρόνων ἀναπαύσεται.
Ecc 7:11	μὴ εἴπῃς Τί ἐγένετο ὅτι αἱ ἡμέραι αἱ πρότεραι ἦσαν ἀγαθαὶ ὑπὲρ ταύτας; ὅτι οὐκ ἐν σοφίᾳ ἐπηρώτησας περὶ τούτου.
Ecc 7:12	ἀγαθὴ σοφία μετὰ κληρονομίας καὶ περισσεία τοῖς θεωροῦσιν τὸν ἥλιον·
Ecc 7:13	ὅτι ἐν σκιᾷ αὐτῆς ἡ σοφία ὡς σκιὰ ἀργυρίου, καὶ περισσεία γνώσεως τῆς σοφίας ζωοποιήσει τὸν παρ᾽ αὐτῆς.
Ecc 7:14	ἴδε τὰ ποιήματα τοῦ θεοῦ· ὅτι τίς δυνήσεται κοσμῆσαι ὃν ἂν ὁ θεὸς διαστρέψῃ αὐτόν;
Ecc 7:15	ἐν ἡμέρᾳ ἀγαθωσύνης ζῆθι ἐν ἀγαθῷ, καὶ ἴδε ἐν ἡμέρᾳ κακίας. ἴδε καί γε σὺν τούτῳ συμφώνως τοῦτο ἐποίησεν ὁ θεὸς περὶ λαλιᾶς, ἵνα μὴ εὕρῃ ὁ ἄνθρωπος ὀπίσω αὐτοῦ οὐδέν.
Ecc 7:16	Τὰ πάντα εἶδον ἐν ἡμέραις ματαιότητός μου· ἔστιν δίκαιος ἀπολλύμενος ἐν δικαίῳ αὐτοῦ, καὶ ἔστιν ἀσεβὴς μένων ἐν κακίᾳ αὐτοῦ.
Ecc 7:17	μὴ γίνου δίκαιος πολὺ μηδὲ σοφίζου περισσά, μή ποτε ἐκπλαγῇς.
Ecc 7:18	μὴ ἀσεβήσῃς πολὺ καὶ μὴ γίνου σκληρός, ἵνα μὴ ἀποθάνῃς ἐν οὐ καιρῷ σου.
Ecc 7:19	ἀγαθὸν τὸ ἀντέχεσθαί σε ἐν τούτῳ, καί γε ἀπὸ τούτου μὴ μιάνῃς τὴν χεῖρά σου, ὅτι φοβουμένοις τὸν θεὸν ἐξελεύσεται τὰ πάντα.
Ecc 7:20	Ἡ σοφία βοηθήσει τῷ σοφῷ ὑπὲρ δέκα ἐξουσιάζοντας τοὺς ὄντας ἐν τῇ πόλει·
Ecc 7:21	ὅτι ἄνθρωπος οὐκ ἔστιν δίκαιος ἐν τῇ γῇ, ὃς ποιήσει ἀγαθὸν καὶ οὐχ ἁμαρτήσεται.
Ecc 7:22	καί γε εἰς πάντας λόγους οὓς λαλήσουσιν ἀσεβεῖς μὴ θῇς καρδίαν σου, ὅπως μὴ ἀκούσῃς τοῦ δούλου σου καταρωμένου σε·
Ecc 7:23	ὅτι πλειστάκις πονηρεύσεταί σε καὶ καθόδους πολλὰς κακώσει καρδία σου, ὅτι ὡς καί γε σὺ κατηράσω ἑτέρους.
Ecc 7:24	Πάντα ταῦτα ἐπείρασα ἐν σοφίᾳ. εἶπα Σοφισθήσομαι·
Ecc 7:25	καὶ αὕτη ἐμακρύνθη ἀπ᾽ ἐμοῦ· μακρὰν ὑπὲρ ὃ ἦν, καὶ βαθὺ βάθος, τίς εὑρήσει αὐτό;
Ecc 7:26	ἐκύκλωσα ἐγώ, καὶ ἡ καρδία μου τοῦ γνῶναι καὶ τοῦ κατασκέψασθαι καὶ ζητῆσαι σοφίαν καὶ ψῆφον, καὶ τοῦ γνῶναι ἀσεβοῦς ἀφροσύνην καὶ ὀχληρίαν καὶ περιφοράν·
Ecc 7:27	καὶ εὑρίσκω ἐγὼ αὐτήν, καὶ ἐρῶ πικρότερον ὑπὲρ θάνατον· σὺν τὴν γυναῖκα ἥτις ἐστὶν θήρευμα, καὶ σαγῆναι καρδία αὐτῆς, δεσμὸς εἰς χεῖρας αὐτῆς· ἀγαθὸς πρὸ προσώπου τοῦ θεοῦ ἐξαιρεθήσεται ἀπ᾽ αὐτῆς, καὶ ἁμαρτάνων συλλημφθήσεται ἐν αὐτῇ.
Ecc 7:28	ἴδε τοῦτο εὗρον, εἶπεν ὁ ἐκκλησιαστής, μία τῇ μιᾷ, τοῦ εὑρεῖν λογισμὸν
Ecc 7:29	ὃν ἐπεζήτησεν ἡ ψυχή μου, καὶ οὐχ εὗρον· καὶ ἄνθρωπον ἕνα ἀπὸ χιλίων εὗρον, καὶ γυναῖκα ἐν πᾶσι τούτοις οὐχ εὗρον.
Ecc 7:30	πλὴν ἴδε τοῦτο εὗρον ὃ ἐποίησεν ὁ θεὸς σὺν τὸν ἄνθρωπον εὐθῆ· καὶ αὐτοὶ ἐζήτησαν λογισμοὺς πολλούς. Τίς οἶδεν σοφούς; καὶ τίς οἶδεν λύσιν ῥήματος;
Ecc 8:1	σοφία ἀνθρώπου φωτιεῖ πρόσωπον αὐτοῦ, καὶ ἀναιδὴς προσώπῳ αὐτοῦ μισηθήσεται.
Ecc 8:2	στόμα βασιλέως φύλαξον, καὶ περὶ λόγου ὅρκου θεοῦ μὴ σπουδάσῃς·
Ecc 8:3	ἀπὸ προσώπου αὐτοῦ πορεύσῃ, μὴ στῇς ἐν λόγῳ πονηρῷ· ὅτι πᾶν ὃ ἐὰν θελήσει ποιήσει,
Ecc 8:4	καθὼς βασιλεὺς ἐξουσιάζων, καὶ τίς ἐρεῖ αὐτῷ Τί ποιεῖς;
Ecc 8:5	ὁ φυλάσσων ἐντολὴν οὐ γνώσεται ῥῆμα πονηρόν, καὶ καιρὸν κρίσεως γινώσκει καρδία σοφοῦ·
Ecc 8:6	ὅτι παντὶ πράγματί ἐστιν καιρὸς καὶ κρίσις, ὅτι γνῶσις τοῦ ἀνθρώπου πολλὴ ἐπ᾽ αὐτόν·
Ecc 8:7	ὅτι οὐκ ἔστιν γινώσκων τί τὸ ἐσόμενον, ὅτι καθὼς ἔσται τίς ἀναγγελεῖ αὐτῷ;
Ecc 8:8	οὐκ ἔστιν ἄνθρωπος ἐξουσιάζων ἐν πνεύματι τοῦ κωλῦσαι σὺν τὸ πνεῦμα· καὶ οὐκ ἔστιν ἐξουσία ἐν ἡμέρᾳ θανάτου, καὶ οὐκ ἔστιν ἀποστολὴ ἐν ἡμέρᾳ πολέμου, καὶ οὐ διασώσει ἀσέβεια τὸν παρ᾽ αὐτῆς.
Ecc 8:9	καὶ σύμπαν τοῦτο εἶδον, καὶ ἔδωκα τὴν καρδίαν μου εἰς πᾶν τὸ ποίημα ὃ πεποίηται ὑπὸ τὸν ἥλιον, τὰ ὅσα ἐξουσιάσατο ὁ ἄνθρωπος ἐν ἀνθρώπῳ τοῦ κακῶσαι αὐτόν·
Ecc 8:10	καὶ τότε ἴδον ἀσεβεῖς εἰς τάφους εἰσαχθέντας, καὶ ἐκ τοῦ ἁγίου· καὶ ἐπορεύθησαν καὶ ἐπῃνέθησαν ἐν τῇ πόλει, ὅτι οὕτως ἐποίησαν. καί γε τοῦτο ματαιότης.
Ecc 8:11	ὅτι οὐκ ἔστιν γινομένη ἀντίρρησις ἀπὸ τῶν ποιούντων τὸ πονηρὸν ταχύ, διὰ τοῦτο ἐπληροφορήθη καρδία υἱῶν τοῦ ἀνθρώπου ἐν αὐτοῖς τοῦ ποιῆσαι τὸ πονηρόν.
Ecc 8:12	ὃς ἥμαρτεν, ἐποίησεν τὸ πονηρὸν ἀπὸ τότε καὶ ἀπὸ μακρότητος αὐτῶν· ὅτι καί γε γινώσκω ἐγὼ ὅτι ἐστὶν ἀγαθὸν τοῖς φοβουμένοις τὸν θεόν, ὅπως φοβῶνται ἀπὸ προσώπου αὐτοῦ·
Ecc 8:13	καὶ ἀγαθὸν οὐκ ἔσται τῷ ἀσεβεῖ, καὶ οὐ μακρυνεῖ ἡμέρας ἐν σκιᾷ ὃς οὐκ ἔστιν φοβούμενος ἀπὸ προσώπου τοῦ θεοῦ.
Ecc 8:14	ἔστιν ματαιότης ἣ πεποίηται ἐπὶ τῆς γῆς, ὅτι εἰσὶ δίκαιοι ὅτι φθάνει ἐπ᾽ αὐτοὺς ὡς ποίημα τῶν ἀσεβῶν· καί εἰσιν ἀσεβεῖς ὅτι φθάνει πρὸς αὐτοὺς ὡς ποίημα τῶν δικαίων· εἶπα ὅτι καί γε τοῦτο ματαιότης.
Ecc 8:15	καὶ ἐπῄνεσα ἐγὼ σὺν τὴν εὐφροσύνην, ὡς δ᾽ οὐκ ἔστιν ἀγαθὸν τῷ ἀνθρώπῳ ὑπὸ τὸν ἥλιον, ὅτι εἰ μὴ τοῦ φαγεῖν καὶ τοῦ πιεῖν καὶ τοῦ εὐφρανθῆναι· καὶ αὐτὸ συμπροσέσται αὐτῷ ἐν μόχθῳ αὐτοῦ ἡμέρας ζωῆς αὐτοῦ ὅσας ἔδωκεν αὐτῷ ὁ θεὸς ὑπὸ τὸν ἥλιον.
Ecc 8:16	Ἐν οἷς ἔδωκα τὴν καρδίαν μου γνῶναι τὴν σοφίαν καὶ τοῦ ἰδεῖν τὸν περισπασμὸν τὸν πεποιημένον ἐπὶ τῆς γῆς· ὅτι καὶ ἐν ἡμέρᾳ καὶ ἐν νυκτὶ ὕπνον ὀφθαλμοῖς αὐτοῦ οὐκ ἔστιν βλέπων·
Ecc 8:17	καὶ ἴδον σύμπαντα τὰ ποιήματα τοῦ θεοῦ, ὅτι οὐ δυνήσεται ἄνθρωπος τοῦ εὑρεῖν σὺν τὸ ποίημα τὸ πεποιημένον ὑπὸ τὸν ἥλιον· ὅσα ἂν μοχθήσῃ ἄνθρωπος τοῦ ζητῆσαι, καὶ οὐχ εὑρήσει· καί γε ὅσα ἂν εἴπῃ σοφὸς τοῦ γνῶναι, οὐ δυνήσεται τοῦ εὑρεῖν· ὅτι σύμπαν τοῦτο ἔδωκα εἰς καρδίαν μου, καὶ καρδίᾳ μου σύμπαν ἴδον τοῦτο·
Ecc 9:1	ὡς οἱ δίκαιοι καὶ οἱ σοφοὶ καὶ ἐργασίαι αὐτῶν ἐν χειρὶ τοῦ θεοῦ, καί γε ἀγάπην καί γε μῖσος οὐκ ἔστιν εἰδὼς ὁ ἄνθρωπος· τὰ πάντα πρὸ προσώπου αὐτῶν, ματαιότης ἐν τοῖς πᾶσιν.
Ecc 9:2	συνάντημα ἓν τῷ δικαίῳ καὶ τῷ ἀσεβεῖ, τῷ ἀγαθῷ καὶ τῷ κακῷ, καὶ τῷ καθαρῷ καὶ τῷ ἀκαθάρτῳ, καὶ τῷ θυσιάζοντι καὶ τῷ μὴ θυσιάζοντι. ὡς ὁ ἀγαθός, ὣς ὁ ἁμαρτάνων, ὣς ὁ ὀμνύων καθὼς ὁ τὸν ὅρκον φοβούμενος.
Ecc 9:3	τοῦτο πονηρὸν ἐν παντὶ πεποιημένῳ ὑπὸ τὸν ἥλιον ὅτι συνάντημα ἓν τοῖς πᾶσιν· καί γε καρδία υἱῶν τοῦ ἀνθρώπου ἐπληρώθη πονηροῦ, καὶ περιφέρεια ἐν καρδίᾳ αὐτῶν ἐν ζωῇ αὐτῶν, καὶ ὀπίσω αὐτῶν πρὸς τοὺς νεκρούς.
Ecc 9:4	ὅτι τίς ὃς κοινωνεῖ πρὸς πάντας τοὺς ζῶντας; ἔστιν ἐλπίς· ὅτι ὁ κύων ὁ ζῶν αὐτὸς ἀγαθὸς ὑπὲρ τὸν λέοντα τὸν νεκρόν.
Ecc 9:5	ὅτι οἱ ζῶντες γνώσονται ὅτι ἀποθανοῦνται, καὶ οἱ νεκροὶ οὐκ εἰσὶν γινώσκοντες οὐδέν· καὶ οὐκ ἔστιν αὐτοῖς ἔτι μισθός, ὅτι ἐπελήσθη ἡ μνήμη αὐτῶν·
Ecc 9:6	καί γε ἀγάπη αὐτῶν καί γε μῖσος αὐτῶν καί γε ζῆλος αὐτῶν ἤδη ἀπώλετο, καί γε μερὶς οὐκ ἔστιν αὐτοῖς ἔτι εἰς αἰῶνα ἐν παντὶ τῷ πεποιημένῳ ὑπὸ τὸν ἥλιον.
Ecc 9:7	Δεῦρο φάγε ἐν εὐφροσύνῃ ἄρτον σου, καὶ πίε ἐν καρδίᾳ ἀγαθῇ οἶνόν σου, ὅτι ἤδη εὐδόκησεν ὁ θεὸς τὰ ποιήματά σου.
Ecc 9:8	ἐν παντὶ καιρῷ ἔστωσαν ἱμάτιά σου λευκά, καὶ ἔλαιον ἐπὶ κεφαλήν σου μὴ ὑστερησάτω·
Ecc 9:9	καὶ ἴδε ζωὴν μετὰ γυναικὸς ἧς ἠγάπησας πάσας ἡμέρας ζωῆς ματαιότητός σου τὰς δοθείσας σοι ὑπὸ τὸν ἥλιον. πᾶσαι ἡμέραι ἡμέραι ἀτμοῦ σου· ὅτι αὐτὸ μερίς σου ἐν τῇ ζωῇ σου καὶ ἐν τῷ μόχθῳ σου ᾧ σὺ μοχθεῖς ὑπὸ τὸν ἥλιον.
Ecc 9:10	πάντα ὅσα ἂν εὕρῃ ἡ χείρ σου τοῦ ποιῆσαι, ὡς ἡ δύναμίς σου ποίησον, ὅτι οὐκ ἔστιν ποίημα καὶ λογισμὸς καὶ γνῶσις καὶ σοφία ἐν ᾅδῃ, ὅπου σὺ πορεύῃ ἐκεῖ.
Ecc 9:11	Ἐπέστρεψα καὶ ἴδον ὑπὸ τὸν ἥλιον ὅτι οὐ τοῖς κούφοις δρόμος καὶ οὐ τοῖς δυνατοῖς πόλεμος, καί γε οὐ τῷ σοφῷ ἄρτος καὶ οὐ τοῖς συνετοῖς πλοῦτος, καί γε οὐ τοῖς γινώσκουσιν χάρις· ὅτι καιρὸς καὶ ἀπάντημα συνατήσεται σύμπασιν αὐτοῖς.
Ecc 9:12	ὅτι καί γε καὶ οὐκ ἔγνω ὁ ἄνθρωπος τὸν καιρὸν αὐτοῦ· ὡς οἱ ἰχθύες οἱ θηρευόμενοι ἐν ἀμφιβλήστρῳ καλῷ, καὶ ὡς ὄρνεα τὰ θηρευόμενα ἐν παγίδι, ὡς αὐτὰ παγιδεύονται οἱ υἱοὶ τοῦ ἀνθρώπου εἰς καιρὸν πονηρόν, ὅταν ἐπιπέσῃ ἐπ᾽ αὐτοὺς ἄφνω.
Ecc 9:13	Καί γε τοῦτο ἴδον σοφίαν ὑπὸ τὸν ἥλιον, καὶ μεγάλη ἐστὶν πρὸς μέ.
Ecc 9:14	πόλις μικρὰ καὶ ἄνδρες ἐν αὐτῇ ὀλίγοι, καὶ ἔλθῃ ἐπ᾽ αὐτὴν βασιλεὺς μέγας καὶ κυκλώσῃ αὐτὴν καὶ οἰκοδομήσῃ ἐπ᾽ αὐτὴν χάρακας μεγάλους,
Ecc 9:15	καὶ εὕρῃ ἐν αὐτῇ ἄνδρα πένητα σοφόν, καὶ διασώσῃ αὐτὸς τὴν πόλιν ἐν τῇ σοφίᾳ αὐτοῦ, καὶ ἄνθρωπος οὐκ ἐμνήσθη σὺν τοῦ ἀνδρὸς τοῦ πένητος ἐκείνου.
Ecc 9:16	καὶ εἶπα ἐγώ Ἀγαθὴ σοφία ὑπὲρ δύναμιν· καὶ σοφία τοῦ πένητος ἐξουδενωμένη, καὶ οἱ λόγοι αὐτοῦ οὐκ εἰσακουόμενοι,
Ecc 9:17	Λόγοι σοφῶν ἐν ἀναπαύσει ἀκούονται ὑπὲρ κραυγὴν ἐξουσιαζόντων ἐν ἀφροσύναις.
Ecc 9:18	ἀγαθὴ σοφία ὑπὲρ σκεύη πολέμου, καὶ ἁμαρτάνων εἷς ἀπολέσει ἀγαθωσύνην πολλήν.
Ecc 10:1	μυῖαι θανατοῦσαι σαπριοῦσιν σκευασίαν, ἔλαιον ἡδύσματος· τίμιον ὁ λόγος σοφίας ὑπὲρ δόξαν ἀφροσύνης μεγάλης.
Ecc 10:2	καρδία σοφοῦ εἰς δεξιὸν αὐτοῦ. καὶ καρδία ἄφρονος εἰς ἀριστερὸν αὐτοῦ.
Ecc 10:3	καί γε ἐν ὁδῷ ὅταν ἄφρων πορεύηται, καρδία αὐτοῦ ὑστερήσει καὶ ἃ λογιεῖται πάντα ἀφροσύνη ἐστίν.
Ecc 10:4	ἐὰν πνεῦμα τοῦ ἐξουσιάζοντος ἀναβῇ ἐπὶ σέ, τόπον σου μὴ ἀφῇς, ὅτι ἴαμα καταπαύσει ἁμαρτίας μεγάλας.
Ecc 10:5	ἔστιν πονηρία ἣν ἴδον ὑπὸ τὸν ἥλιον, ὡς ἀκούσιον ἐξῆλθεν ἀπὸ προσώπου ἐξουσιάζοντος.
Ecc 10:6	ἐδόθη ὁ ἄφρων ἐν ὕψεσι μεγάλοις, καὶ πλούσιοι ἐν ταπεινῷ καθήσονται·
Ecc 10:7	ἴδον δούλους ἐφ᾽ ἵππους καὶ ἄρχοντας πορευομένους ὡς δούλους ἐπὶ τῆς γῆς.
Ecc 10:8	ὁ ὀρύσσων βόθρον εἰς αὐτὸν ἐμπεσεῖται, καὶ καθαιροῦντα φραγμόν, δήξεται αὐτὸν ὄφις·
Ecc 10:9	ἐξαίρων λίθους διαπονηθήσεται ἐν αὐτοῖς, σχίζων ξύλα κινδυνεύσει ἐν αὐτοῖς.
Ecc 10:10	ἐὰν ἐκπέσῃ τὸ σιδήριον, καὶ αὐτὸς πρόσωπον ἐτάραξεν· καὶ δυνάμεις δυναμώσει, καὶ περισσεία τῷ ἀνδρὶ οὐ σοφία·
Ecc 10:11	ἐὰν δάκῃ ὄφις ἐν οὐ ψιθυρισμῷ, καὶ οὐκ ἔστιν περισσεία τῷ ἐπᾴδοντι.
Ecc 10:12	λόγοι στόματος σοφοῦ χάρις, καὶ χείλη ἄφρονος καταποντιοῦσιν αὐτόν·
Ecc 10:13	ἀρχὴ λόγων στόματος αὐτοῦ ἀφροσύνη, καὶ ἐσχάτη αὐτοῦ περιφέρεια πονηρά·
Ecc 10:14	καὶ ὁ ἄφρων πληθύνει λόγους. οὐκ ἔγνω ἄνθρωπος τί τὸ γενόμενον καὶ τί τὸ ἐσόμενον· τί ὀπίσω αὐτοῦ τίς ἀναγγελεῖ αὐτῷ;
Ecc 10:15	μόχθος τῶν ἀφρόνων κακώσει αὐτούς, ὃς οὐκ ἔγνω τοῦ πορευθῆναι εἰς πόλιν.
Ecc 10:16	οὐαί σοι, πόλις, ἧς ὁ βασιλεύς σου νεώτερος, καὶ οἱ ἄρχοντές σου πρωὶ ἐσθίουσιν.
Ecc 10:17	μακαρία, γῆ, ἧς ὁ βασιλεύς σου υἱὸς ἐλευθέρων, καὶ οἱ ἄρχοντές σου πρὸς καιρὸν φάγονται ἐν δυνάμει καὶ οὐκ αἰσχυνθήσονται.
Ecc 10:18	ἐν ὀκνηρίαις ταπεινωθήσεται ἡ δόκωσις, καὶ ἐν ἀργείᾳ χειρῶν στάξει ἡ οἰκία.
Ecc 10:19	εἰς γέλωτα ποιοῦσιν ἄρτον, καὶ οἶνον καὶ ἔλαιον τοῦ εὐφρανθῆναι ζῶντας, καὶ τοῦ ἀργυρίου ταπεινώσει ἐπακούσεται τὰ πάντα.
Ecc 10:20	καί γε ἐν συνειδήσει σου βασιλέα μὴ καταράσῃ, καὶ ἐν ταμείοις κοιτώνων σου μὴ καταράσῃ πλούσιον· ὅτι πετεινὸν τοῦ οὐρανοῦ ἀποίσει σου τὴν φωνήν, καὶ ὁ τὰς πτέρυγας ἀπαγγελεῖ λόγον σου.
Ecc 11:1	Ἀπόστειλον τὸν ἄρτον σου ἐπὶ πρόσωπον τοῦ ὕδατος, ὅτι ἐν πλήθει ἡμερῶν εὑρήσεις αὐτόν.
Ecc 11:2	δὸς μερίδα τοῖς ἑπτὰ καί γε τοῖς η᾽, ὅτι οὐ γινώσκεις τί ἔσται πονηρὸν ἐπὶ τὴν γῆν.
Ecc 11:3	ἐὰν πλησθῶσιν τὰ νέφη ὑετοῦ, ἐπὶ τὴν γῆν ἐκχέουσιν· καὶ ἐὰν πέσῃ ξύλον ἐν τῷ νότῳ καὶ ἐὰν ἐν τῷ βορρᾷ, τόπῳ οὗ πεσεῖται τὸ ξύλον ἐκεῖ ἔσται.
Ecc 11:4	τηρῶν ἄνεμον οὐ σπερεῖ, καὶ βλέπων ἐν ταῖς νεφέλαις οὐ θερίσει.
Ecc 11:5	ἐν οἷς οὐκ ἔστιν γινώσκων τίς ἡ ὁδὸς τοῦ πνεύματος ὡς ὀστᾶ ἐν γαστρὶ κυοφορούσης, οὕτως οὐ γνώσῃ τὰ ποιήματα τοῦ θεοῦ ὅσα ποιήσει τὰ σύμπαντα.
Ecc 11:6	ἐν τῷ πρωὶ σπεῖρον τὸ σπέρμα σου, καὶ ἐν ἑσπέρᾳ μὴ ἀφέτω ἡ χείρ σου, ὅτι οὐ γινώσκεις ποῖον στοιχήσει, ἢ τοῦτο ἢ τοῦτο, καὶ ἐὰν τὰ δύο ἐπὶ τὸ αὐτὸ ἀγαθά.
Ecc 11:7	καὶ γλυκὺ τὸ φῶς, καὶ ἀγαθὸν τοῖς ὀφθαλμοῖς τοῦ βλέπειν σὺν τὸν ἥλιον.
Ecc 11:8	ὅτι καὶ ἐὰν ἔτη πολλὰ ζήσεται ὁ ἄνθρωπος, ἐν πᾶσιν αὐτοῖς εὐφρανθήσεται, καὶ μνησθήσεται τὰς ἡμέρας τοῦ σκότους, ὅτι πολλαὶ ἔσονται· πᾶν τὸ ἐρχόμενον ματαιότης.
Ecc 11:9	Εὐφραίνου, νεανίσκε, ἐν νεότητί σου, καὶ ἀγαθυνάτω σε ἡ καρδία σου ἐν ἡμέραις νεότητός σου, καὶ περιπάτει ἐν ὁδοῖς ἄμωμος καὶ μὴ ἐν ὁράσει ὀφθαλμῶν σου· καὶ γνῶθι ὅτι ἐπὶ πᾶσι τούτοις ἄξει σε ὁ θεὸς ἐν κρίσει.
Ecc 11:10	καὶ ἀπόστησον θυμὸν ἀπὸ καρδίας σου, καὶ πάραγε πονηρίαν ἀπὸ σαρκός σου, ὅτι ἡ νεότης καὶ ἡ ἄνοια ματαιότης.
Ecc 12:1	καὶ μνήσθητι τοῦ κτίσαντός σε ἐν ἡμέραις νεότητός σου, ἕως ὅτου μὴ ἔλθωσιν αἱ ἡμέραι τῆς κακίας, καὶ φθάσουσιν ἔτη ἐν οἷς ἐρεῖς· Οὐκ ἔστιν μοι ἐν αὐτοῖς θέλημα·
Ecc 12:2	ἕως οὗ μὴ σκοτισθῇ ὁ ἥλιος καὶ τὸ φῶς καὶ ἡ σελήνη καὶ οἱ ἀστέρες, καὶ ἐπιστρέψουσιν τὰ νέφη ὀπίσω τοῦ ὑετοῦ·
Ecc 12:3	ἐν ἡμέρᾳ ᾗ ἐὰν σαλευθῶσιν φύλακες τῆς οἰκίας, καὶ διαστραφῶσιν ἄνδρες τῆς δυνάμεως, καὶ ἤργησαν αἱ ἀλήθουσαι ὅτι ὠλιγώθησαν, καὶ σκοτάσουσιν αἱ βλέπουσαι ἐν ταῖς ὀπαῖς·
Ecc 12:4	καὶ κλείσουσιν θύρας ἐν ἀγορᾷ ἐν ἀσθενείᾳ φωνῆς τῆς ἀληθούσης, καὶ ἀναστήσεται εἰς φωνὴν τοῦ στρουθίου, καὶ ταπεινωθήσονται πᾶσαι αἱ θυγατέρες τοῦ ᾄσματος,
Ecc 12:5	καὶ εἰς τὸ ὕψος ὄψονται, καὶ θάμβοι ἐν τῇ ὁδῷ· καὶ ἀνθήσῃ τὸ ἀμύγδαλον, καὶ παχυνθῇ ἡ ἀκρίς, καὶ διασκεδασθῇ ἡ κάππαρις, ὅτι ἐπορεύθη ὁ ἄνθρωπος εἰς οἶκον αἰῶνος αὐτοῦ, καὶ ἐκύκλωσαν ἐν ἀγορᾷ οἱ κοπτόμενοι·
