1Ch 1:1	ΑΔΑΜ, Σήθ, Ἐνώς,
1Ch 6:72	καὶ ἐκ φυλῆς Ἰσσαχὰρ τὴν Κέδες καὶ τὰ περισπόρια αὐτῆς, καὶ τὴν Δεβερεὶ καὶ τὰ περισπόρια αὐτῆς, καὶ τὴν Δαβὼρ καὶ τὰ περισπόρια αὐτῆς·
1Ch 6:73	
1Ch 6:74	καὶ ἐκ φυλῆς Ἀσὴρ τὴν Μαασὰ καὶ τὰ περισπόρια αὐτῆς, καὶ τὴν Ἀβαρὰν καὶ τὰ περισπόρια αὐτῆς,
1Ch 6:75	καὶ τὴν Ἱκὰκ καὶ τὰ περισπόρια αὐτῆς, καὶ τὴν Ῥοὼβ καὶ τὰ περισπόρια αὐτῆς·
1Ch 6:76	καὶ ἀπὸ φυλῆς Νεφθαλεὶ τὴν Κέδες ἐν τῇ Γαλειλαίᾳ καὶ τὰ περισπόρια αὐτῆς, καὶ τὴν Χαμὼθ καὶ τὰ περισπόρια αὐτῆς, καὶ τὴν Καριαθάιμ καὶ τὰ περισπόρια αὐτῆς.
1Ch 6:77	τοῖς υἱοῖς Μεραρεὶ τοῖς καταλοίποις ἐκ φυλῆς Ζαβουλὼν τὴν Ῥεμμὼν καὶ τὰ περισπόρια αὐτῆς, καὶ τὴν Θαχχειὰ καὶ τὰ περισπόρια αὐτῆς
1Ch 6:78	ἐκ τοῦ πέραν τοῦ Ἰορδάνου, καὶ τὴν Ἰερειχὼ κατὰ δυσμὰς τοῦ Ἰορδάνου ἐκ φυλῆς Ῥουβὴν τὴν Βόσορ ἐν τῇ ἐρήμῳ καὶ τὰ περισπόρια αὐτῆς,
1Ch 6:79	καὶ τὴν Καδαμὼς καὶ τὰ περισπόρια αὐτῆς, καὶ τὴν Μαέφλα καὶ τὰ περισπόρια αὐτῆς·
1Ch 6:80	καὶ ἐκ φυλῆς Γὰδ τὴν Ῥαμμὼν Γαλαὰδ καὶ τὰ περισπόρια αὐτῆς, καὶ τὴν Μαανάιθ καὶ τὰ περισπόρια αὐτῆς,
1Ch 6:81	καὶ τὴν Ἑσεβὼν καὶ τὰ περισπόρια αὐτῆς, καὶ τὴν Γαζὲρ καὶ τὰ περισπόρια αὐτῆς.
1Ch 7:1	Καὶ τοῖς υἱοῖς Ἰσσαχάρ· Θολάεκ καὶ Φοὺτ καὶ Ἰασσοὺρ καὶ Σεμερών, τέσσαρες.
1Ch 7:2	καὶ υἱοὶ Θολέ· Ὀζεί, Ῥαφαρὰ καὶ Ῥειὴλ καὶ Εἰικάν, Βασὰν καὶ Ἰσαμουήλ, ἄρχοντες οἴκων πατριῶν αὐτῶν τῷ Θωλαεὶ ἰσχυροὶ δυνάμει κατὰ γενέσεις αὐτῶν. ὁ ἀριθμὸς αὐτῶν ἡμέραις Δαυεὶδ εἴκοσι καὶ δύο χιλιάδες καὶ ἑξακόσιοι.
1Ch 7:3	καὶ υἱοὶ Ζειρρεί· Ζαρειά, Μειχαήλ· καὶ υἱοὶ Ζαρειὰ Μειβδειὰ καὶ Ῥαήλ, Εἰσιά, πέντε, ἄρχοντες πάντες.
1Ch 7:4	καὶ ἐπ᾽ αὐτῶν κατὰ γενέσεις αὐτῶν κατ᾽ οἴκους πατρικοὺς αὐτῶν ἰσχυροὶ παρατάξασθαι εἰς πόλεμον τριάκοντα καὶ ἓξ χιλιάδες, ὅτι ἐπλήθυναν γυναῖκας καὶ υἱούς.
1Ch 7:5	καὶ ἀδελφοὶ αὐτῶν εἰς πάσας πατριὰς Ἰσσχὰρ καὶ ἰσχυροὶ δυνάμει ὀγδοήκοντα καὶ ἑπτὰ χιλιάδες, ὁ ἀριθμὸς αὐτῶν τῶν πάντων.
1Ch 7:6	Βενιαμεὶν καὶ Ἀβειρὰ καὶ Ἀδειήλ, τρεῖς.
1Ch 7:7	καὶ υἱοὶ Βάδεε· Ἀσεβὼν καὶ Ὀζεὶ καὶ Ὀζειὴλ καὶ Ἀρειμώθ, Οὐρεί, πέντε, ἄρχοντες οἴκων πατρικῶν ἰσχυροὶ δυνάει, καὶ ὁ ἀριθμὸς αὐτῶν εἴκοσι καὶ δύο χιλιάδες καὶ τριάκοντα τέσσαρες.
1Ch 7:8	καὶ υἱοὶ Ἀβαχεί· Ἀμαρίας καὶ Ἰωὰς καὶ Ἐλιέζερ καὶ Ἐλειθαινὰν καὶ Ἀμαρειὰ καὶ Αὐρημὼθ καὶ Ἀβιοὺδ καὶ Ἀναθὼθ καὶ Γεμέεθ. πάντες οὗτοι υἱοὶ Ἀμαχείρ,
1Ch 7:9	καὶ ὁ ἀριθμὸς αὐτῶν κατὰ γενέσεις αὐτῶν, ἄρχοντες οἴκων πατριῶν αὐτῶν ἰσχυροὶ δυνάμει, εἴκοσι χιλιάδες καὶ διακόσιοι.
1Ch 7:10	καὶ υἱοὶ Ἀριήλ· Βαλαάν. καὶ υἱοὶ Βαλαάν· Ἰαοὺς καὶ Βενιαμεὶν καὶ Ἀὼθ καὶ Χανάαν καὶ Ζαιθὰν καὶ Ῥαμεσσαὶ καὶ Ἀχεισάδαρ.
1Ch 7:11	πάντες οὗτοι υἱοὶ Ἀριήλ, ἄρχοντες τῶν πατριῶν ἰσχυροὶ δυνάμει, ἑπτὰ καὶ δέκα χιλιάδες καὶ διακόσιοι, ἐκπορευόμενοι δυνάμει τοῦ πολεμεῖν·
1Ch 7:12	καὶ Σαπφεὶν καὶ Ἁπφείν, καὶ υἱοὶ Ῥαώμ, υἱὸς αὐτοῦ Ἀέρ.
1Ch 7:13	Υἱοὶ Νεφθαλεί· Ἰεισιήλ, Γωνεὶ καὶ Ἰσσειὴρ καὶ Σαλωμών, υἱοὶ Βαλάμ.
1Ch 7:14	Υἱοὶ Μανασσή· Ἀσερειήλ, ὃν ἔτεκεν ἡ παλλακὴ αὐτοῦ ἡ Σύρα· ἔτεκεν τὸν Μαχεὶρ πατέρα Γαλαάδ.
1Ch 7:15	καὶ Μαχεὶρ ἔλαβεν γυναῖκα τῷ Ἁμφεὶν καὶ Μαμφείν· καὶ ὄνομα ἀδελφῆς αὐτοῦ Μοωχά, καὶ ὄνομα τῇ δευτέρᾳ Σαπφαάδ.
1Ch 7:16	καὶ ἔτεκεν Μοωχὰ γυνὴ Μαχεὶρ υἱόν, καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Σοῦρος· υἱὸς αὐτοῦ Οὐλάμ,
1Ch 7:17	Βαδάμ. οὗτοι υἱοὶ Γαλαὰδ υἱοῦ Μαχεὶρ υἱοῦ Μανασσή.
1Ch 7:18	καὶ ἀδελφὴ αὐτοῦ ἡ Μαλέχεθ ἔτεκεν τὸν Ἰσαδὲκ καὶ τὸν Ἀβιέζερ καὶ τὸν Μαελά.
1Ch 7:19	καὶ ἦσαν υἱοὶ Σεμειρά· Ἰααὶμ καὶ Σύχεμ καὶ Λακεεὶμ καὶ Ἀλιαλείμ.
1Ch 7:20	Καὶ υἱοὶ Ἐφράιμ· Σωθάλαθ. υἱοὶ Λααδά· υἱὸς αὐτοῦ Νοομέ,
1Ch 7:21	υἱὸς αὐτοῦ Ζαβέδ, υἱοὶ αὐτοῦ Ὄζαρ καὶ Ἐλαάδ· καὶ ἀπέκτειναν αὐτὸν ἄνδρες Γὲθ οἱ τεχθέντες ἐν γῇ, ὅτι κατέβησαν τοῦ λαβεῖν τὰ κτήνη αὐτῶν.
1Ch 7:22	καὶ ἐπένθησεν Ἐφράιμ πατὴρ αὐτῶν ἡμέρας πολλάς, καὶ ἦλθον ἀδελφοὶ αὐτῶν τοῦ παρακαλέσαι αὐτόν.
1Ch 7:23	καὶ εἰσῆλθεν πρὸς τὴν γυναῖκα αὐτοῦ, καὶ ἔλαβεν ἐν γαστρὶ καὶ ἔτεκεν υἱόν, καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Βαργαά, ὅτι Ἐν κακοῖς ἐγένετο ἐν οἴκῳ μου
1Ch 7:24	καὶ ἐν ἐκείνοις τοῖς καταλοίποις· καὶ ᾠκοδόμησεν Βαιθωρὼν τὴν κάτω καὶ τὴν ἄνω. καὶ υἱοὶ Ὀζάν· Σεηρὰ
1Ch 7:25	καὶ Ῥάφη υἱοὶ αὐτοῦ, Σάραφ καὶ Θάλεες υἱοὶ αὐτοῦ, Θάεν υἱὸς αὐτοῦ.
1Ch 7:26	τῷ Λαδδὰν υἱῷ αὐτοῦ υἱοὶ Ἀμιουείδ, υἱοὶ Ἐλειμασαί,
1Ch 7:27	υἱοὶ Νούμ, υἱοὶ Ἰησοῦε, υἱοὶ αὐτοῦ.
1Ch 7:28	καὶ κατάσχεσις αὐτῶν καὶ κατοικία αὐτῶν· Βαιθὴλ καὶ αἱ κῶμαι αὐτῆς, κατ᾽ ἀνατολὰς Νααρνάν, πρὸς δυσμαῖς Γάζερ καὶ αἱ κῶμαι αὐτῆς, καὶ Συχὲμ καὶ αἱ κῶμαι αὐτῆς ἕως Γαιὰν καὶ αἱ κῶμαι αὐτῆς·
1Ch 7:29	καὶ ἕως ὁρίων υἱῶν Μανασσή, Βαιθσαὰν καὶ αἱ κῶμαι αὐτῆς, Θαλμὴ καὶ αἱ κῶμαι αὐτῆς· καὶ Βαλὰδ καὶ αἱ κῶμαι αὐτῆς, Μαγεδδεὶ καὶ αἱ κῶμαι αὐτῆς, Δὼρ καὶ αἱ κῶμαι αὐτῆς· ἐν ταύτῃ κατῴκησαν οἱ υἱοὶ Ἰωσὴφ υἱοῦ Ἰσραήλ.
1Ch 7:30	Υἱοὶ Ἀσήρ· Ἰνινὰ καὶ Ἰσουὰ καὶ Ἰσουὶ καὶ βεριγὰ καὶ Σορέ, καὶ ἀδελφὴ αὐτῶν.
1Ch 7:31	υἱοὶ Βεριχά· Γάβερ καὶ Μελλειή, οὗτος πατὴρ Βηζαίθ.
1Ch 7:32	καὶ Χάβερ ἐγέννησεν τὸν Ἰφαμὴλ καὶ τὸν Σαμὴρ καὶ τὸν Χωθὰν καὶ τὴν Σωλὰ ἀδελφὴν αὐτῶν.
1Ch 7:33	καὶ υἱοὶ Ἀφαλήχ· Βαισηχί, Ἰμαβαὴλ καὶ Ἀσείθ· οὗτοι υἱοὶ Ἰαφαλήλ.
1Ch 7:34	καὶ υἱοὶ Σέμμηρ· Ἀχιουιὰ καὶ Ὡβάβ, Ἀκαρὰν
1Ch 7:35	καὶ Βαλαάμ· ἀδελφοὶ αὐτοῦ Σωχὰθ καὶ Ἰμανὰ καὶ Ζέμη καὶ Ἀμαά.
1Ch 7:36	υἱοὶ Σωφάς· Χουχί, Ἁναρφὰρ καὶ Σουλὰ καὶ Σαβρεὶ καὶ Ἰμαρή,
1Ch 7:37	Σόβαλ καὶ Ὣδ καὶ Σεμὰ καὶ Σαλεισὰ καὶ Θερὰ καὶ Βαιαιλά.
1Ch 7:38	καὶ υἱοὶ Ἰέθηρ· Ἰφινὰ καὶ Φασφαὶ καὶ Ἀρά·
1Ch 7:39	καὶ υἱοὶ Ὠλά· Ὀρέχ, Ἁνειὴλ καὶ Ῥασειά.
1Ch 7:40	πάντες οὗτοι υἱοὶ Ἀσήρ, πάντες ἄρχοντες πατριῶν ἐκλεκτοὶ ἰσχυροὶ δυνάμει, ἄρχοντες ἡγούμενοι· ἀριθμὸς αὐτῶν εἰς παράταξιν τοῦ πολεμεῖν, ἀριθμὸς αὐτῶν ἄνδρες εἴκοσι ἓξ χιλιάδες.
1Ch 8:1	Καὶ Βενιαμεὶν ἐγέννησεν Βελελεὴλ πρωτότοκον αὐτοῦ καὶ Σαβὰ τὸν δεύτερον, Ἰαφαὴλ τὸν τρίτον,
1Ch 8:2	Ἰωὰ τὸν τέταρτον, καὶ Ῥαφὴ τὸν πέμπτον.
1Ch 8:3	καὶ ἦσαν υἱοὶ τῷ Βάλε· Ἀλεὶ καὶ Γηρὰ καὶ Ἀβιοὺδ
1Ch 8:4	καὶ Ἀβεισάμας καὶ Νοομὰ καὶ Ἀχιὰ
1Ch 8:5	καὶ Γερὰ καὶ Σωφαρφὰκ καὶ Ὡίμ.
1Ch 8:6	οὗτοι υἱοὶ Ἀώδ· οὗτοί εἰσιν ἄρχοντες πατριῶν τοῖς κατοικοῦσιν Γάβερ, καὶ μετῴκισαν αὐτοὺς εἰς Μαχαναθεί·
1Ch 8:7	καὶ Νοομὰ καὶ Ἀχειὰ καὶ Γηρά· οὗτος Ἱγαάμ, ἐγέννησεν τὸν Ναανὰ καὶ τὸν Ἰαχειχώλ.
1Ch 8:8	καὶ Σααρὴλ ἐγέννησεν ἐν τῷ πεδίῳ Μωὰβ μετὰ τὸ ἀποστεῖλαι αὐτὸν Σωσὶν καὶ τὴν Ἰβααδὰ γυναῖκα αὐτοῦ.
1Ch 8:9	καὶ ἐγέννησεν ἐκ τῆς Ἅδα γυναικὸς αὐτοῦ τὸν Ἰωβὰβ καὶ τὸν Ἰεβιὰ καὶ τὸν Μισὰ καὶ τὸν Μελχὰς
1Ch 8:10	καὶ τὸν Ἰδὼς καὶ τὸν Σαβιὰ καὶ τὸν Ἰμαμά· οὗτοι ἄρχοντες πατριῶν.
1Ch 8:11	καὶ ἐκ τῆς Ὡσιμὲν ἐγέννησεν τὸν Ἀβιτὼβ καὶ τὸν Ἀλφάαδ.
1Ch 8:12	καὶ υἱοὶ Ἀλφάαδ· Ὠβήδ, Μεσσαάμ, Σήμηρ· οὗτος ᾠκοδόμησεν τὴν Ὠνὰν καὶ τὰς κώμας αὐτῆς·
1Ch 8:13	καὶ Βεριγὰ καὶ Σάμα· οὗτοι ἄρχοντες τῶν πατριῶν τοῖς κατοικοῦσιν Αἰλάμ, καὶ οὗτοι ἐξεδίωξαν τοὺς κατοικοῦντας Γέθ.
1Ch 8:14	καὶ ἀδελφὸς αὐτοῦ Σωκὴλ καὶ Ἰαρειμὼθ
1Ch 8:15	καὶ Ἀζαβαβιὰ καὶ Ὠρὴρ καὶ Ὤδηδ
1Ch 8:16	καὶ Μειχαὴλ καὶ Σαφὰν καὶ Ἰωαχάν, υἱοὶ Βαρειγά·
1Ch 8:17	καὶ Ζαβαδιὰ καὶ Μοσολλὰμ καὶ Ἁζακεὶ καὶ Ἅβαρ
1Ch 8:18	καὶ Σαμαρεὶ καὶ Ζαρειὰ καὶ Ἰωάβ, υἱοὶ Ἐλχάαδ·
1Ch 8:19	καὶ Ἰακεὶμ καὶ Ζαχρεὶ καὶ Ζαβδεὶ
1Ch 8:20	καὶ Ἐλιωλιαὰ καὶ Σαλθεὶ καὶ Ἐλιηλεὶ
1Ch 8:21	καὶ Ἀβιὰ καὶ Βεριγὰ καὶ Βαραιὰ καὶ Σαμαράθ, υἱοὶ Σαμαείθ·
1Ch 8:22	καὶ Ἰσφὰν καὶ Ὤβδη καὶ Ἐλεὴλ
1Ch 8:23	καὶ Ἀβαδὼν καὶ Ζεχρεὶ καὶ Ἁνὰν
1Ch 8:24	καὶ Ἁνανιὰ καὶ Ἀμβρεὶ καὶ Αἰλὰμ καὶ Ἀνωθαὶθ
1Ch 8:25	καὶ Ἀθεὶν καὶ Ἰεφερειὰ καὶ Φελιήλ, υἱοὶ Σωιήκ·
1Ch 8:26	καὶ Ἰσμασαριὰ καὶ Σαραιὰ καὶ Ὀγοθολιὰ
1Ch 8:27	καὶ Ἰασαραιὰ καὶ Σαραιὰ καὶ Ἠλιὰ καὶ Ζαχρεὶ υἱοὶ Ἰραάμ.
1Ch 8:28	οὗτοι ἄρχοντες πατριῶν, κατὰ γενέσεις αὐτῶν ἄρχοντες· οὗτοι κατῴκησαν ἐν Ἰερουσαλήμ.
1Ch 8:29	καὶ ἐν Γαβαὼν κατῴκησεν πατὴρ Γαβαών, καὶ ὄνομα γυναικὶ αὐτοῦ Μολχά·
1Ch 8:30	καὶ υἱὸς αὐτῆς ὁ πρωτότοκος Ἀβαλών, καὶ Σοὺρ καὶ Κεὶς καὶ Βααλακαὶμ καὶ Ἀδὰδ
1Ch 8:31	καὶ Δοὺρ καὶ ἀδελφὸς αὐτοῦ καὶ Ζάχουρ καὶ Μακαλώθ.
1Ch 8:32	καὶ Μακαλὼθ ἐγέννησεν τὸν Σεμαά. καὶ γὰρ οὗτοι κατέναντι τῶν ἀδελφῶν αὐτῶν κατῴκησαν ἐν Ἰερουσαλὴμ μετὰ τῶν ἀδελφῶν αὐτῶν.
1Ch 8:33	καὶ Νὴρ ἐγέννησεν τὸν Κείς, καὶ Κεὶς ἐγέννησεν τὸν Σαούλ, καὶ Σαοὺλ ἐγέννησεν τὸν Ἰωναθὰν καὶ τὸν Μελχεσοῦε καὶ τὸν Ἀμειναδὰβ καὶ τὸν Ἀσαβάλ.
1Ch 8:34	καὶ υἱοὶ Ἰωναθὰν Μεριβάαλ· καὶ Μεριβάαλ ἐγέννησεν τὸν Μιχιά.
1Ch 8:35	καὶ υἱοὶ Μιχιά· Φιθὼν καὶ Μελχὴλ καὶ Θερέε καὶ Ζάκ.
1Ch 8:36	καὶ Ζὰκ ἐγέννησεν τὸν Ἰὰδ καὶ Ἰαδά, καὶ Ἰαδὰ ἐγέννησεν τὸν Σαλαιμὰθ καὶ τὸν Σαλμὼ καὶ τὸν Ζαμβρεί, καὶ ἐγέννησεν Ζαμβρεὶ τὸν Μαισά·
1Ch 8:37	καὶ Μαισὰ ἐγέννησεν τὸν Βανά· Ῥαφαὶ υἱὸς αὐτοῦ, Σαλασὰθ υἱὸς αὐτοῦ, Ἐσὴλ υἱὸς αὐτοῦ.
1Ch 8:38	καὶ τῷ Ἐσὴλ ἕξ υἱοί, καὶ ταῦτα τὰ ὀνόματα αὐτῶν· Ἐζρεικαὶ πρωτότοκος αὐτοῦ, καὶ Ἰσμαὴλ καὶ Σαραιὰ καὶ Ἀβδειὰ καὶ Ἁνάν· πάντες οὗτοι υἱοὶ Ἐσήλ.
1Ch 8:39	καὶ υἱοὶ Ἄσηλ ἀδελφοῦ αὐτοῦ· Αἰλὰμ πρωτότοκος αὐτοῦ, καὶ Γὰγ ὁ δεύτερος· Ἐλιφάλεις ὁ τρίτος.
1Ch 8:40	καὶ ἦσαν υἱοὶ Αἰλεὶμ ἰσχυροὶ ἄνδρες δυνάμει, τείνοντες τόξον καὶ πληθύνοντες υἱοὺς καὶ υἱοὺς τῶν υἱῶν, ἑκατὸν πεντήκοντα. πάντες οὗτοι ἐξ υἱῶν Βενιαμείν.
1Ch 9:1	Καὶ πᾶς Ἰσραὴλ ὁ συνλοχισμὸς αὐτῶν, καὶ οὗτοι καταγεγραμμένοι ἐν βιβλίῳ τῶν βασιλέων Ἰσραὴλ καὶ Ἰούδα μετὰ τῶν κατοικισθέντων εἰς Βαβυλῶνα ἐν ταῖς ἀνομίαις αὐτῶν.
1Ch 9:2	Καὶ οἱ κατοικοῦντες πρότερον ἐν ταῖς κατασχέσεσιν αὐτῶν ἐν ταῖς πόλεσιν Ἰσραήλ, υἱοὶ Λευεῖται, οἱ ἱερεῖς καὶ οἱ δεδομένοι.
1Ch 9:3	καὶ ἐν Ἰερουσαλὴμ κατῴκησαν ἀπὸ τῶν υἱῶν Ἰούδα καὶ ἀπὸ τῶν υἱῶν Βενιαμεὶν καὶ τῶν υἱῶν Ἐφράιμ καὶ Μανασσή.
1Ch 9:4	καὶ Γωθεὶ καὶ υἱὸς Σαμμιοὺ υἱοῦ Ἀμρεί, υἱοὶ υἱῶν Φάρες καὶ υἱοῦ Ἰούδα.
1Ch 9:5	καὶ ἐκ τῶν Σηλωνεὶ Ἀσαιὰ πρωτότοκος αὐτοῦ.
1Ch 9:6	ἐκ τῶν υἱῶν Ζάρα Ἐπειὴλ καὶ ἀδελφοὶ αὐτῶν ἑξακόσιοι καὶ ἐνενήκοντα.
1Ch 9:7	καὶ ἐκ τῶν υἱῶν Βενιαμεὶν Σαλὼμ υἱὸς Μοολλὰμ υἱὸς Ὁδυιὰ υἱὸς Ἁανά,
1Ch 9:8	καὶ Βαναὰμ υἱὸς Ἰραάμ· καὶ οὗτοι υἱοὶ Ὀζεὶ υἱοῦ Μαχείρ· καὶ Μασεαλὴμ υἱὸς Σαφατιὰ υἱοῦ Ῥαγουὴλ υἱοῦ Βαναιά,
1Ch 9:9	καὶ ἀδελφοὶ αὐτῶν κατὰ γενέσεις αὐτῶν ἐννακόσιοι πεντήκοντα ἕξ, πάντες οἱ ἄνδρες ἄρχοντες πατριῶν κατ᾽ οἴκους πατριῶν αὐτῶν.
1Ch 9:10	Καὶ ἀπὸ τῶν ἱερέων Ἰωδᾶε καὶ Ἰωαρεὶμ καὶ Ἰαχεὶν
1Ch 9:11	καὶ Ἀζαριὰ υἱοὶ Χελκειὰ υἱοῦ Μοσολλὸμ υἱοῦ Σαδὼκ υἱοῦ Μαρμὼθ υἱοῦ Ἀχειτὼβ ἡγούμενος οἴκου τοῦ θεοῦ,
1Ch 9:12	καὶ Ἀδαιὰ υἱὸς Ἰραὰμ υἱοῦ Πασχὼρ υἱοῦ Μαλχειά, καὶ Μαασαιὰ υἱὸς Ἀδιὴλ υἱοῦ Ἰεδειοὺ υἱοῦ Μοσολλὰμ υἱοῦ Μασελμὼθ υἱοῦ Ἐμήρ,
1Ch 9:13	καὶ ἀδελφοὶ αὐτῶν, ἄρχοντες οἴκων πατριῶν, χίλιοι ἑπτακόσιοι ἑξήκοντα, ἰσχυροὶ δυνάμει εἰς ἐργασίαν λειτουργίας οἴκου τοῦ θεοῦ.
1Ch 9:14	Καὶ ἐκ τῶν Λευειτῶν Σαμαιὰ υἱὸς Ἁσὼβ υἱοῦ Ἐσρεικὰν υἱοῦ Ἁσαβιὰ ἐκ τῶν υἱῶν Μεραρεί,
1Ch 9:15	καὶ Βακὰρ καὶ Ῥαραιήλ, Γαλαὰδ καὶ Μανθανίας υἱὸς Μειχὰ υἱοῦ Ζεχρεὶ υἱοῦ Ἀσάφ,
1Ch 9:16	καὶ Ἀβδειὰ υἱὸς Σαμειὰ υἱοῦ Γαλαὰδ υἱοῦ Ἰωθών, καὶ Βαραχεὶ υἱὸς Ὀσσὰ υἱοῦ Ἠλκανὰ ὁ κατοικῶν ἐν ταῖς κώμαις Νωτεφατεί.
1Ch 9:17	οἱ πυλωροί· Σαλώμ, Ἀκούμ, Ταμμὰμ καὶ Αἰμὰμ καὶ ἀδελφοὶ αὐτῶν, Σαλὼμ ὁ ἄρχων·
1Ch 9:18	καὶ ἕως ταύτης ἐν τῇ πύλῃ τοῦ βασιλέως κατ᾽ ἀνατολάς· αὗται αἱ πύλαι τῶν παρεμβολῶν υἱῶν Λευεί.
1Ch 9:19	καὶ Σαλωμὼν υἱὸς Κωρὴβ υἱοῦ Ἀβιασὰφ υἱοῦ Κόρε καὶ οἱ ἀδελφοὶ αὐτοῦ εἰς οἶκον πατρὸς αὐτοῦ, οἱ Κορεῖται, ἐπὶ τῶν ἔργων τῆς λειτουργίας φυλάσσοντες τὰς φυλακὰς τῆς σκηνῆς· καὶ πατέρες αὐτῶν ἐπὶ τῆς παρεμβολῆς φυλάσσοντες τὴν εἴσοδον.
1Ch 9:20	καὶ Φεινεὲς υἱὸς Ἐλεαζὰρ ἡγούμενος ἦν ἐπ᾽ αὐτῶν ἔμπροσθεν, καὶ οὗτοι μετ᾽ αὐτοῦ.
1Ch 9:21	Ζαχαρίας υἱὸς Μασαλαμὶ πυλωρὸς τῆς θύρας τῆς σκηνῆς τοῦ μαρτυρίου.
1Ch 9:22	πάντες οἱ ἐκλεκτοὶ ταῖς πύλαις ἐν ταῖς πύλαις διακόσιοι καὶ δέκα δύο· οὗτοι ἐν ταῖς αὐλαῖς αὐτῶν, ὁ καταλοχισμὸς αὐτῶν· τούτους ἔστησεν Δαυεὶδ καὶ Σαμουὴλ ὁ βλέπων τῇ πίστει αὐτῶν.
1Ch 9:23	καὶ οὗτοι καὶ οἱ υἱοὶ αὐτῶν ἐπὶ τῶν πυλῶν ἐν οἴκῳ Κυρίου, ἐν οἴκῳ τῆς σκηνῆς, τοῦ φυλάσσειν.
1Ch 9:24	κατὰ τοὺς τέσσαρας ἀνέμους ἦσαν αἱ πύλαι, κατ᾽ ἀνατολάς, θάλασσαν, βορρᾶν, νότον.
1Ch 9:25	καὶ ἀδελφοὶ αὐτῶν ἐν ταῖς αὐλαῖς αὐτῶν τοῦ εἰσπορεύεσθαι κατὰ ἑπτὰ ἡμέρας ἀπὸ καιροῦ εἰς καιρὸν μετὰ τούτων·
1Ch 9:26	ὅτι ἐν πίστει εἰσὶν τέσσαρες δυνατοὶ τῶν πυλῶν. οἱ Λευεῖται ἦσαν ἐπὶ τῶν παστοφορίων, καὶ ἐπὶ τῶν θησαυρῶν οἴκου τοῦ θεοῦ παρεμβαλοῦσιν·
1Ch 9:27	ὅτι ἐπ᾽ αὐτοὺς φυλακή· καὶ οὗτοι ἐπὶ τῶν κλειδῶν ⸂⸆⸃ τὸ πρωὶ πρωὶ ἀνοίγειν τὰς θύρας τοῦ ἱεροῦ.
1Ch 9:28	καὶ ἐξ αὐτῶν ἐπὶ τὰ σκεύη τῆς λειτουργίας, ὅτι ἐν ἀριθμῷ εἰσοίσουσιν.
1Ch 9:29	καὶ ἐξ αὐτῶν καθεσταμένοι ἐπὶ τὰ σκεύη καὶ ἐπὶ πάντα σκεύη τὰ ἅγια, καὶ ἐπὶ τῆς σεμιδάλεως, τοῦ οἴνου, τοῦ ἐλαίου, τοῦ λιβανωτοῦ καὶ τῶν ἀρωμάτων.
1Ch 9:30	καὶ ἀπὸ τῶν υἱῶν τῶν ἱερέων ἦσαν μυρεψοὶ τοῦ μύρου καὶ εἰς τὰ ἀρώματα.
1Ch 9:31	καὶ Ματταθίας ἐκ τῶν Λευειτῶν, οὗτος ὁ πρωτότοκος τῷ Σαλὼμ τῷ Κορείτῃ, ἐν τῇ πίστει ἐπὶ τὰ ἔργα τῆς θυσίας τοῦ τηγάνου τοῦ μεγάλου ἱερέως.
1Ch 9:32	καὶ Βααναίας ὁ Κααθείτης ἐκ τῶν ἀδελφῶν αὐτῶν ἐπὶ τῶν ἄρτων τῆς προθέσεως, τοῦ ἑτοιμάσαι σάββατον κατὰ σάββατον.
1Ch 9:33	καὶ οὗτοι ψαλτῳδοί, ἄρχοντες τῶν πατριῶν τῶν Λευειτῶν, διατεταγμέναι ἐφημερίαι· ὅτι ἡμέρα καὶ νὺξ ἐπ᾽ αὐτοῖς ἐν τοῖς ἔργοις.
1Ch 9:34	οὗτοι ἄρχοντες τῶν πατριῶν, κατὰ γενέσεις αὐτῶν ἄρχοντες· οὗτοι κατοίκησαν ἐν Ἰερουσαλήμ.
1Ch 9:35	Καὶ ἐν Γαβαὼν κατῴκησεν πατὴρ Γαβαὼν Εἰιήλ, καὶ ὄνομα γυναικὸς αὐτοῦ Μοωχά·
1Ch 9:36	καὶ υἱὸς αὐτοῦ ὁ πρωτότοκος Σαβαδών, καὶ Ἰσεὶρ καὶ Κεὶς καὶ Βάαλ καὶ Νὴρ καὶ Ναδὰβ
1Ch 9:37	καὶ Ἰεδοὺρ καὶ ἀδελφὸς καὶ Ζαχαριὰ καὶ Μακελλώθ.
1Ch 9:38	καὶ Μακελλὼθ ἐγέννησεν τὸν Σαμαά· καὶ οὗτοι ἐν μέσῳ τῶν ἀδελφῶν αὐτῶν κατῴκησαν ἐν Ἰερουσαλὴμ ἐν μέσῳ τῶν ἀδελφῶν αὐτῶν.
1Ch 9:39	καὶ Νὴρ ἐγέννησεν τὸν Κείς, καὶ Κεὶς ἐγέννησεν τὸν Σαούλ, καὶ Σαοὺλ ἐγέννησεν τὸν Ἰωναθὰν καὶ τὸν Μελχεισοῦε καὶ τὸν Ἀμειναδὰβ καὶ τὸν Ἰεβάαλ.
