Lev 1:1	ΚΑΙ ἀνεκάλεσεν Μωυσῆν καὶ ἐλάλησεν Κύριος αὐτῷ ἐκ τῆς σκηνῆς τοῦ μαρτυρίου λέγων
Lev 8:27	καὶ ἐπέθηκεν ἅπαντα ἐπὶ τὰς χεῖρας Ἀαρὼν καὶ ἐπὶ τὰς χεῖρας τῶν υἱῶν αὐτοῦ, καὶ ἀνήνεγκεν αὐτὰ ἀφαίρεμα ἔναντι Κυρίου.
Lev 8:28	καὶ ἔλαβεν Μωσῆς ἀπὸ τῶν χειρῶν αὐτῶν, καὶ ἀνήνεγκεν αὐτὰ Μωσῆς ἐπὶ τὸ θυσιαστήριον, ἐπὶ τὸ ὁλοκαύτωμα τῆς τελειώσεως, ὅ ἐστιν ὀσμὴ εὐωδίας· κάρπωμά ἐστιν τῷ κυρίῳ.
Lev 8:29	καὶ λαβὼν Μωσῆς τὸ στηθύνιον, ἀφεῖλεν αὐτὸ ἐπίθεμα ἔναντι Κυρίου ἀπὸ τοῦ κριοῦ τῆς τελειώσεως· καὶ ἐγένετο Μωσῇ ἐν μερίδι, καθὰ ἐνετείλατο Κύριος τῷ Μωσῇ.
Lev 8:30	καὶ ἔλαβεν Μωσῆς ἀπὸ τοῦ ἐλαίου τῆς χρίσεως καὶ ἀπὸ τοῦ αἵματος τοῦ ἐπὶ τοῦ θυσιαστηρίου, καὶ προσέρανεν ἐπὶ Ἀαρὼν καὶ τὰς στολὰς αὐτοῦ καὶ τοὺς υἱοὺς αὐτοῦ καὶ τὰς στολὰς τῶν υἱῶν αὐτοῦ μετ᾽ αὐτοῦ.
Lev 8:31	καὶ εἶπεν Μωυσῆς πρὸς Ἀαρὼν καὶ τοὺς υἱοὺς αὐτοῦ Ἑψήσατε τὰ κρέα ἐν τῇ αὐλῇ τῆς σκηνῆς τοῦ μαρτυρίου ἐν τόπῳ ἁγίῳ, καὶ ἐκεῖ φάγεσθε αὐτὰ καὶ τοὺς ἄρτους ἐν τῷ κανῷ τῆς τελειώσεως, ὃν τρόπον συντέτακταί μοι λέγων Ἀαρὼν καὶ οἱ υἱοὶ αὐτοῦ φάγονται ταῦτα·
Lev 8:32	καὶ τὸ καταλειφθὲν τῶν κρεῶν καὶ τῶν ἄρτων ἐν πυρὶ κατακαυθήσεται.
Lev 8:33	καὶ ἀπὸ τῆς θύρας τῆς σκηνῆς τοῦ μαρτυρίου οὐκ ἐξελεύσεσθε ἑπτὰ ἡμέρας, ἕως ἡμέρα πληρωθῇ τελειώσεως ὑμῶν· ἑπτὰ γὰρ ἡμέρας τελειώσει τὰς χεῖρας ὑμῶν,
Lev 8:34	καθάπερ ἐποίησεν ἐν τῇ ἡμέρᾳ ταύτῃ ᾗ ἐνετείλατο Κύριος τοῦ ποιῆσαι ὥστε ἐξιλάσασθαι περὶ ὑμῶν.
Lev 8:35	καὶ ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου καθήσεσθε ἑπτὰ ἡμέρας, ἡμέραν καὶ νύκτα· φυλάξεσθε τὰ φυλάγματα Κυρίου, ἵνα μὴ ἀποθάνητε· οὕτως γὰρ ἐνετείλατό μοι Κύριος ὁ θεός.
Lev 8:36	καὶ ἐποίησεν Ἀαρὼν καὶ οἱ υἱοὶ αὐτοῦ πάντας τοὺς λόγους οὓς συνέταξεν Κύριος τῷ Μωσῇ.
Lev 9:1	Καὶ ἐγενήθη τῇ ἡμέρᾳ τῇ ὀγδόῃ ἐκάλεσεν Μωσῆς Ἀαρὼν καὶ τοὺς υἱοὺς αὐτοῦ καὶ τὴν γερουσίαν Ἰσραήλ.
Lev 9:2	καὶ εἶπεν Μωυσῆς πρὸς Ἀαρών Λάβε σεαυτῷ μοσχάριον ἁπαλὸν ἐκ βοῶν περὶ ἁμαρτίας καὶ κριὸν εἰς ὁλοκαύτωμα, ἄμωμα, καὶ προσένεγκε αὐτὰ ἔναντι Κυρίου·
Lev 9:3	καὶ τῇ γερουσίᾳ Ἰσραὴλ λάλησον λέγων Λάβετε χίμαρον ἐξ αἰγῶν ἕνα περὶ ἁμαρτίας, καὶ μοσχάριον καὶ ἀμνὸν ἐνιαύσιον εἰς ὁλοκάρπωσιν, ἄμωμα,
Lev 9:4	καὶ μόσχον καὶ κριὸν εἰς θυσίαν σωτηρίου ἔναντι Κυρίου, καὶ σεμίδαλιν πεφυραμένην ἐν ἐλαίῳ· ὅτι σήμερον Κύριος ὀφθήσεται ἐν ὑμῖν.
Lev 9:5	καὶ ἔλαβον καθὸ ἐνετείλατο Μωυσῆς ἀπέναντι τῆς σκηνῆς τοῦ μαρτυρίου· καὶ προσῆλθεν πᾶσα συναγωγή, καὶ ἔστησαν ἔναντι Κυρίου.
Lev 9:6	καὶ εἶπεν Μωσῆς Τοῦτο τὸ ῥῆμα ὃ εἶπεν Κύριος ποιήσατε, καὶ ὀφθήσεται ἐν ὑμῖν δόξα Κυρίου.
Lev 9:7	καὶ εἶπεν Μωυσῆς τῷ Ἀαρών Πρόσελθε πρὸς τὸ θυσιαστήριον, καὶ ποίησον τὸ περὶ τῆς ἁμαρτίας σου καὶ τὸ ὁλοκαύτωμά σου, καὶ ἐξίλασαι περὶ σεαυτοῦ καὶ τοῦ οἴκου σου· καὶ ποίησον τὰ δῶρα τοῦ λαοῦ, καὶ ἐξίλασαι περὶ αὐτῶν, καθάπερ ἐνετείλατο Κύριος τῷ Μωυσῇ.
Lev 9:8	Καὶ προσῆλθεν Ἀαρὼν πρὸς τὸ θυσιαστήριον, καὶ ἔσφαξεν τὸ μοσχάριον τὸ περὶ τῆς ἁμαρτίας·
Lev 9:9	καὶ προσήνεγκαν οἱ υἱοὶ Ἀαρὼν τὸ αἷμα πρὸς αὐτόν, καὶ ἔβαψεν τὸν δάκτυλον εἰς τὸ αἷμα καὶ ἐπέθηκεν ἐπὶ τὰ κέρατα τοῦ θυσιαστηρίου, καὶ τὸ αἷμα ἐξέχεεν ἐπὶ τὴν βάσιν τοῦ θυσιαστηρίου·
Lev 9:10	καὶ τὸ στέαρ καὶ τοὺς νεφροὺς καὶ τὸν λοβὸν τοῦ ἥπατος τοῦ περὶ τῆς ἁμαρτίας ἀνήνεγκεν ἐπὶ τὸ θυσιαστήριον, ὃν τρόπον ἐνετείλατο Κύριος τῷ Μωσῇ·
Lev 9:11	καὶ τὰ κρέα καὶ τὴν βύρσαν κατέκαυσεν αὐτὰ πυρὶ ἔξω τῆς παρεμβολῆς.
Lev 9:12	καὶ ἔσφαξεν τὸ ὁλοκαύτωμα· καὶ προσήνεγκαν οἱ υἱοὶ Ἀαρὼν καὶ τὸ αἷμα πρὸς αὐτόν, καὶ προσέχεεν ἐπὶ τὸ θυσιαστήριον κύκλῳ·
Lev 9:13	καὶ τὸ ὁλοκαύτωμα, προσήνεγκαν αὐτὸ κατὰ μέλη, αὐτὰ καὶ τὴν κεφαλήν, καὶ ἐπέθηκεν ἐπὶ τὸ θυσιαστήριον·
Lev 9:14	καὶ ἔπλυνεν τὴν κοιλίαν καὶ τοὺς πόδας ὕδατι καὶ ἐπέθηκεν ἐπὶ τὸ ὁλοκαύτωμα ἐπὶ τὸ θυσιαστήριον.
Lev 9:15	Καὶ προσήνεγκαν τὸ δῶρον τοῦ λαοῦ· καὶ ἔλαβεν τὸν χίμαρον τὸν περὶ τῆς ἁμαρτίας τοῦ λαοῦ, καὶ ἔσφαξεν αὐτὸ καθὰ καὶ τὸ πρῶτον.
Lev 9:16	καὶ προσήνεγκεν τὸ ὁλοκαύτωμα, καὶ ἐποίησεν αὐτὸ ὡς καθήκει.
Lev 9:17	καὶ προσήνεγκεν τὴν θυσίαν, καὶ ἔπλησεν τὰς χεῖρας ἀπ᾽ αὐτῆς, καὶ ἐπέθηκεν ἐπὶ τὸ θυσιαστήριον χωρὶς τοῦ ὁλοκαυτώματος τοῦ πρωινοῦ.
Lev 9:18	καὶ ἔσφαξεν τὸν μόσχον καὶ τὸν κριὸν τῆς θυσίας τοῦ σωτηρίου τῆς τοῦ λαοῦ· καὶ προσήνεγκαν οἱ υἱοὶ Ἀαρὼν τὸ αἷμα πρὸς αὐτόν, καὶ προσέχεεν πρὸς τὸ θυσιαστήριον κύκλῳ· ⸆
Lev 9:19	καὶ τὸ στέαρ τὸ ἀπὸ τοῦ μόσχου καὶ τοῦ κριοῦ, τὴν ὀσφὺν καὶ τὸ στέαρ τὸ κατακαλύπτον ἐπὶ τῆς κοιλίας καὶ τοὺς δύο νεφροὺς καὶ τὸ στέαρ τὸ ἐπ᾽ αὐτῶν καὶ τὸν λοβὸν τὸν ἐπὶ τοῦ ἥπατος·
Lev 9:20	καὶ ἐπέθηκεν τὰ στέατα ἐπὶ τὰ στηθύνια, καὶ ἀνήνεγκαν τὰ στέατα ἐπὶ τὸ θυσιαστήριον·
Lev 9:21	καὶ τὸ στηθύνιον καὶ τὸν βραχίονα τὸν δεξιὸν ἀφεῖλεν Ἀαρὼν ἀφαίρεμα ἔναντι Κυρίου, ὃν τρόπον συνέταξεν Κύριος τῷ Μωυσῇ.
Lev 9:22	Καὶ ἐξάρας Ἀαρὼν τὰς χεῖρας ἐπὶ τὸν λαὸν εὐλόγησεν αὐτούς, καὶ κατέβη ποιήσας τὸ περὶ τῆς ἁμαρτίας καὶ τὰ ὁλοκαυτώματα καὶ τὰ τοῦ σωτηρίου.
Lev 9:23	καὶ εἰσῆλθεν Μωσῆς καὶ Ἀαρὼν εἰς τὴν σκηνὴν τοῦ μαρτυρίου, καὶ ἐξελθόντες εὐλόγησαν πάντα τὸν λαόν· καὶ ὤφθη ἡ δόξα Κυρίου παντὶ τῷ λαῷ.
Lev 9:24	καὶ ἐξῆλθεν πῦρ παρὰ Κυρίου, καὶ κατέφαγεν τὰ ἐπὶ τοῦ θυσιαστηρίου, τά τε ὁλοκαυτώματα καὶ τὰ στέατα· καὶ εἶδεν πᾶς ὁ λαὸς καὶ ἐξέστη, καὶ ἔπεσαν ἐπὶ πρόσωπον.
Lev 10:1	Καὶ λαβόντες οἱ δύο υἱοὶ Ἀαρὼν Ναδὰβ καὶ Ἀβιοὺδ ἕκαστος τὸ πυρεῖον αὐτοῦ ἐπέθηκαν ἐπ᾽ αὐτὸ πῦρ καὶ ἐπέβαλον ἐπ᾽ αὐτὸ θυμίαμα, καὶ προσήνεγκαν ἔναντι Κυρίου πῦρ ἀλλότριον ὃ οὐ προσέταξεν κύριος αὐτοῖς.
Lev 10:2	καὶ ἐξῆλθεν πῦρ παρὰ Κυρίου καὶ κατέφαγεν αὐτούς, καὶ ἀπέθανον ἔναντι Κυρίου.
Lev 10:3	καὶ εἶπεν Μωυσῆς πρὸς Ἀαρών Τοῦτό ἐστιν ὃ εἶπεν Κύριος λέγων Ἐν τοῖς ἐγγίζουσίν μοι ἁγιασθήσομαι, καὶ ἐν πάσῃ συναγωγῇ δοξασθήσομαι· καὶ κατενύχθη Ἀαρών.
Lev 10:4	καὶ ἐκάλεσεν Μωυσῆς τὸν Μισαδαὶ καὶ τὸν Ἐλισαφάν, υἱοὺς Ἀζιήλ, υἱοὺς τοῦ ἀδελφοῦ τοῦ πατρὸς Ἀαρών, καὶ εἶπεν αὐτοῖς Προσέλθατε καὶ ἄρατε τοὺς ἀδελφοὺς ὑμῶν ἐκ προσώπου τῶν ἁγίων ἔξω τῆς παρεμβολῆς.
Lev 10:5	καὶ προσῆλθον καὶ ἦραν ἐν τοῖς χιτῶσιν αὐτῶν ἔξω τῆς παρεμβολῆς, ὃν τρόπον εἶπεν Μωυσῆς.
Lev 10:6	καὶ εἶπεν Μωσῆς πρὸς Ἀαρὼν καὶ Ἐλεαζὰρ καὶ Ἰθαμὰρ τοὺς υἱοὺς αὐτοῦ τοὺς καταλελιμμένους Τὴν κεφαλὴν ὑμῶν οὐκ ἀποκιδαρώσετε καὶ τὰ ἱμάτια ὑμῶν οὐ διαρρήξετε, ἵνα μὴ ἀποθάνητε καὶ ἐπὶ πᾶσαν τὴν συναγωγὴν ἔσται θυμός· οἱ ἀδελφοὶ ὑμῶν πᾶς ὁ οἶκος Ἰσραὴλ κλαύσονται τὸν ἐνπυρισμὸν ὃν ἐνεπυρίσθησαν ὑπὸ Κυρίου.
Lev 10:7	καὶ ἀπὸ τῆς θύρας τῆς σκηνῆς τοῦ μαρτυρίου οὐκ ἐξελεύσεσθε, ἵνα μὴ ἀποθάνητε· τὸ γὰρ ἔλαιον τῆς χρίσεως τὸ παρὰ Κυρίου ἐφ᾽ ὑμῖν. καὶ ἐποίησαν κατὰ τὸ ῥῆμα Μωσῆ.
Lev 10:8	Καὶ ἐλάλησεν Κύριος τῷ Ἀαρὼν λέγων
Lev 10:9	Οἶνον καὶ σίκερα οὐ πίεσθε, σὺ καὶ οἱ υἱοί σου μετὰ σοῦ, ἡνίκα ἂν εἰσπορεύησθε εἰς τὴν σκηνὴν τοῦ μαρτυρίου, ἢ προσπορευομένων ὑμῶν πρὸς τὸ θυσιαστήριον, καὶ οὐ μὴ ἀποθάνητε· νόμιμον αἰώνιον εἰς τὰς γενεὰς ὑμῶν·
Lev 10:10	διαστεῖλαι ἀνὰ μέσον τῶν ἁγίων καὶ τῶν βεβήλων, καὶ ἀνὰ μέσον τῶν ἀκαθάρτων καὶ τῶν καθαρῶν.
Lev 10:11	καὶ συμβιβάσεις τοὺς υἱοὺς Ἰσραὴλ πάντα τὰ νόμιμα ἃ ἐλάλησεν Κύριος πρὸς αὐτοὺς διὰ χειρὸς Μωσῆ.
Lev 10:12	Καὶ εἶπεν Μωυσῆς πρὸς Ἀαρὼν καὶ πρὸς Ἐλεαζὰρ καὶ Ἰθαμὰρ τοὺς υἱοὺς Ἀαρὼν τοὺς καταλειφθέντας Λάβετε τὴν θυσίαν τὴν καταλειφθεῖσαν ἀπὸ τῶν καρπωμάτων Κυρίου, καὶ φάγεσθε ἄζυμα παρὰ τὸ θυσιαστήριον· ἅγια ἁγίων ἐστίν.
Lev 10:13	καὶ φάγεσθε αὐτὴν ἐν τόπῳ ἁγίῳ· νόμιμον αἰώνιον γάρ σοί ἐστιν καὶ νόμιμον τοῖς υἱοῖς σου τοῦτο ἀπὸ τῶν καρπωμάτων Κυρίου· οὕτω γὰρ ἐντέταλταί μοι.
Lev 10:14	καὶ τὸ στηθύνιον τοῦ ⸂⸆⸃ ἀφορίσματος καὶ τὸν βραχίονα τοῦ ἀφαιρέματος φάγεσθε ἐν τόπῳ ἁγίῳ, σὺ καὶ οἱ υἱοί σου καὶ ὁ οἶκός σου μετὰ σοῦ· νόμιμον γὰρ σοὶ καὶ νόμιμον τοῖς υἱοῖς σου ἐδόθη ἀπὸ τῶν θυσιῶν τοῦ σωτηρίου τῶν υἱῶν Ἰσραήλ.
Lev 10:15	τὸν βραχίονα τοῦ ἀφαιρέματος καὶ τὸ στηθύνιον τοῦ ἀφορίσματος ἐπὶ τῶν καρπωμάτων τῶν στεάτων προσοίσουσιν, ἀφόρισμα ἀφορίσαι ἔναντι Κυρίου· καὶ ἔσται σοὶ καὶ τοῖς υἱοῖς σου καὶ ταῖς θυγατράσιν σου μετὰ σοῦ νόμιμον αἰώνιον, ὃν τρόπον συνέταξεν Κύριος τῷ Μωυσῇ.
Lev 10:16	Καὶ τὸν χίμαρον τὸν περὶ τῆς ἁμαρτίας ζητῶν ἐξεζήτησεν Μωσῆς, καὶ ὅδε ἐνπεπύριστο· καὶ ἐθυμώθη Μωσῆς ἐπὶ Ἐλεαζὰρ καὶ Ἰθαμὰρ τοὺς υἱοὺς Ἀαρὼν τοὺς καταλελιμμένους λέγων
Lev 10:17	Διὰ τί οὐκ ἐφάγετε τὸ περὶ τῆς ἁμαρτίας ἐν τόπῳ ἁγίῳ; ὅτι γὰρ ἅγια ἁγίων ἐστίν, τοῦτο ἔδωκεν ὑμῖν φαγεῖν, ἵνα ἀφέλητε τὴν ἁμαρτίαν τῆς συναγωγῆς καὶ ἐξιλάσησθε περὶ αὐτῶν ἔναντι Κυρίου.
Lev 10:18	οὐ γὰρ εἰσήχθη τοῦ αἵματος αὐτοῦ εἰς τὸ ἅγιον· κατὰ πρόσωπον ἔσω φάγεσθε αὐτὸ ἐν τόπῳ ἁγίῳ, ὃν τρόπον μοι συνέταξεν Κύριος.
Lev 10:19	καὶ ἐλάλησεν Ἀαρὼν πρὸς Μωυσῆν λέγων Εἰ σήμερον προσαγιόχασιν τὰ περὶ τῆς ἁμαρτίας αὐτῶν καὶ τὰ ὁλοκαυτώματα αὐτῶν ἔναντι Κυρίου, καὶ συμβέβηκέν μοι ταῦτα, καὶ φάγομαι τὰ περὶ τῆς ἁμαρτίας σήμερον, μὴ ἀρεστὸν ἔσται Κυρίῳ;
Lev 10:20	καὶ ἤκουσεν Μωυσῆς, καὶ ἤρεσεν αὐτῷ.
Lev 11:1	Καὶ ἐλάλησεν Κύριος πρὸς Μωυσῆν καὶ Ἀαρὼν λέγων
Lev 11:2	Λαλήσατε τοῖς υἱοῖς Ἰσραὴλ λέγοντες Ταῦτα τὰ κτήνη ἃ φάγεσθε ἀπὸ τῶν κτηνῶν τῶν ἐπὶ τῆς γῆς·
Lev 11:3	πᾶν κτῆνος διχηλοῦν ὁπλὴν καὶ ὀνυχιστῆρας ὀνυχίζον δύο χηλῶν καὶ ἀνάγον μηρυκισμόν, ἐν τοῖς κτήνεσιν, ταῦτα φάγεσθε.
Lev 11:4	πλὴν ἀπὸ τούτων οὐ φάγεσθε, ἀπὸ τῶν ἀναγόντων μηρυκισμὸν καὶ ἀπὸ τῶν διχηλούντων τὰς ὁπλὰς καὶ ὀνυχιζόντων ὀνυχιστῆρας· τὸν κάμηλον, ὅτι ἀνάγει μηρυκισμὸν τοῦτο ὁπλὴν δὲ οὐ διχηλεῖ, ἀκάθαρτον τοῦτο ὑμῖν·
Lev 11:5	καὶ τὸν δασύποδα, ὅτι ἀνάγει μηρυκισμὸν τοῦτο καὶ ὁπλὴν οὐ διχηλεῖ, ἀκάθαρτον τοῦτο ὑμῖν·
Lev 11:6	καὶ τὸν χοιρογρύλλιον, ὅτι ἀνάγει μηρυκισμὸν τοῦτο καὶ ὁπλὴν οὐ διχηλεῖ, ἀκάθαρτον τοῦτο ὑμῖν.
Lev 11:7	καὶ τὸν ὗν, ὅτι διχηλεῖ ὁπλὴν τοῦτο καὶ ὀνυχίζει ὄνυχας ὁπλῆς, καὶ τοῦτο οὐκ ἀνάγει μηρυκισμόν, ἀκάθαρτον τοῦτο ὑμῖν.
Lev 11:8	ἀπὸ τῶν κρεῶν αὐτῶν οὐ φάγεσθε, καὶ τῶν θνησιμαίων αὐτῶν οὐχ ἅψεσθε· ἀκάθαρτα ταῦτα ὑμῖν.
Lev 11:9	Καὶ ταῦτα ἃ φάγεσθε ἀπὸ πάντων τῶν ἐν τοῖς ὕδασιν· πάντα ὅσα ἐστὶν αὐτοῖς πτερύγια καὶ λεπίδες ἐν τοῖς ὕδασιν καὶ ἐν ταῖς θαλάσσαις καὶ ἐν τοῖς χειμάρροις, ταῦτα φάγεσθε.
Lev 11:10	καὶ πάντα ὅσα οὐκ ἔστιν αὐτοῖς πτερύγια οὐδὲ λεπίδες ἐν τῷ ὕδατι ἢ ἐν ταῖς θαλάσσαις καὶ ἐν τοῖς χειμάρροις, ἀπὸ πάντων ὧν ἐρεύγεται τὰ ὕδατα καὶ ἀπὸ πάσης ψυχῆς ζώσης τῆς ἐν τῷ ὕδατι, βδέλυγμά ἐστιν.
Lev 11:11	καὶ βδελύγματα ἔσονται ὑμῶν· ἀπὸ τῶν κρεῶν αὐτῶν οὐκ ἔδεσθε, καὶ τὰ θνησιμαῖα αὐτῶν βδελύξεσθε.
Lev 11:12	καὶ πάντα ὅσα οὐκ ἔστιν αὐτοῖς πτερύγια καὶ λεπίδες τῶν ἐν τῷ ὕδατι, βδέλυγμα τοῦτό ἐστιν ὑμῖν.
Lev 11:13	Καὶ ταῦτα ἃ βδελύξεσθε ἀπὸ τῶν πετεινῶν, καὶ οὐ βρωθήσεται, βδέλυγμά ἐστιν· τὸν ἀετὸν καὶ τὸν γρύπα καὶ τὸν ἁλιάετον,
Lev 11:14	καὶ τὸν γύπα καὶ ἴκτινα καὶ τὰ ὅμοια αὐτῷ,
Lev 11:15	καὶ στρουθὸν καὶ γλαῦκα καὶ λάρον καὶ τὰ ὅμοια αὐτῷ,
Lev 11:16	καὶ ἱέρακα καὶ τὰ ὅμοια αὐτῷ,
Lev 11:17	καὶ νυκτικόρακα καὶ καταράκτην καὶ εἶβιν
Lev 11:18	καὶ πορφυρίωνα καὶ πελεκᾶνα καὶ κύκνον
Lev 11:19	καὶ γλαῦκα καὶ ἀρωδιὸν καὶ χαραδριὸν καὶ τὰ ὅμοια αὐτῷ, καὶ ἔποπα καὶ νυκτερίδα.
Lev 11:20	Καὶ πάντα τὰ ἑρπετὰ τῶν πετεινῶν ἃ πορεύεται ἐπὶ τέσσερα, βδελύγματά ἐστιν ὑμῖν.
Lev 11:21	ἀλλὰ ταῦτα φάγεσθε ἀπὸ τῶν ἑρπετῶν τῶν πετεινῶν ἃ πορεύεται ἐπὶ τέσσερα· ἔχει σκέλη ἀνώτερον τῶν ποδῶν αὐτοῦ πηδᾷν ἐν αὐτοῖς ἐπὶ τῆς γῆς.
Lev 11:22	καὶ ταῦτα φάγεσθε ἀπ᾽ αὐτῶν· τὸν βροῦχον καὶ τὰ ὅμοια αὐτῷ, καὶ τὸν ἀττάκην καὶ τὰ ὅμοια αὐτῷ, καὶ τὴν ἀκρίδα καὶ τὰ ὅμοια αὐτῇ, καὶ τὸν ὀφιομάχην καὶ τὰ ὅμοια αὐτῷ.
Lev 11:23	πᾶν ἑρπετὸν ἀπὸ τῶν πετεινῶν οἷς ἐστὶν τέσσαρες πόδες, βδελύγματά ἐστιν ὑμῖν.
Lev 11:24	Καὶ ἐν τούτοις μιανθήσεσθε· πᾶς ὁ ἁπτόμενος τῶν θνησιμαίων αὐτῶν ἀκάθαρτος ἕως ἑσπέρας,
Lev 11:25	καὶ πᾶς ὁ αἴρων τῶν θνησιμαίων αὐτῶν πλυνεῖ τὰ ἱμάτια καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας.
Lev 11:26	καὶ ἐν πᾶσιν τοῖς κτήνεσιν ὅ ἐστιν διχηλοῦν ὁπλὴν καὶ ὀνυχιστῆρας ὀνυχίζει καὶ μηρυκισμὸν οὐ μαρυκᾶται, ἀκάθαρτα ἔσονται ὑμῖν· πᾶς ὁ ἁπτόμενος τῶν θνησιμαίων αὐτῶν ἀκάθαρτος ἔσται ἕως ἑσπέρας.
Lev 11:27	καὶ πᾶς ὃς πορεύεται ἐπὶ χειρῶν ἐν πᾶσι τοῖς θηρίοις ἃ πορεύεται ἐπὶ τέσσερα, ἀκάθαρτα ὑμῖν ἔσται· πᾶς ὁ ἁπτόμενος τῶν θνησιμαίων αὐτῶν ἀκάθαρτος ἔσται ἕως ἑσπέρας,
Lev 11:28	καὶ ὁ αἴρων τῶν θνησιμαίων αὐτῶν πλυνεῖ τὰ ἱμάτια καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας· ἀκάθαρτα ταῦτα ὑμῖν ἐστιν.
Lev 11:29	Καὶ ταῦτα ὑμῖν ἀκάθαρτα ἀπὸ τῶν ἑρπετῶν τῶν ἐπὶ τῆς γῆς· ἡ γαλῆ καὶ ὁ μῦς καὶ ὁ κροκόδειλος ὁ χερσαῖος,
Lev 11:30	μυγαλῆ καὶ χαμηλέων καὶ καλαβώτης καὶ σαῦρα καὶ ἀσπάλαξ.
Lev 11:31	ταῦτα ἀκάθαρτα ὑμῖν ἀπὸ πάντων τῶν ἑρπετῶν τῶν ἐπὶ τῆς γῆς· πᾶς ὁ ἁπτόμενος αὐτῶν τεθνηκότων ἀκάθαρτος ἔσται ἕως ἑσπέρας.
Lev 11:32	καὶ πᾶν ἐφ᾽ ὃ ἂν ἐπιπέσῃ ἀπ᾽ αὐτῶν τεθνηκότων αὐτῶν ἀκάθαρτον ἔσται, ἀπὸ παντὸς σκεύους ξυλίνου ἢ ἱματίου ἢ δέρματος ἢ σάκκου· πᾶν σκεῦος ὃ ἐὰν ποιηθῇ ἔργον ἐν αὐτῷ εἰς ὕδωρ βαφήσεται, καὶ ἀκάθαρτον ἔσται ἕως ἑσπέρας, καὶ καθαρὸν ἔσται.
Lev 11:33	καὶ πᾶν σκεῦος ὀστράκινον εἰς ὃ ἐὰν πέσῃ ἀπὸ τούτων ἔνδον, ὅσα ἐὰν ἔνδον ἦν ἀκάθαρτα ἔσται, καὶ αὐτὸ συντριβήσεται.
Lev 11:34	καὶ πᾶν βρῶμα ὃ ἔσθεται, εἰς ὃ ἐὰν ἐπέλθῃ ἐπ᾽ αὐτὸ ὕδωρ, ἀκάθαρτον ἔσται· καὶ πᾶν ποτὸν ὃ πίνεται ἐν παντὶ ἀγγίῳ ἀκάθαρτον ἔσται.
Lev 11:35	καὶ πᾶν ὃ ἐὰν πέσῃ ἀπὸ τῶν θνησιμαίων αὐτῶν ἐπ᾽ αὐτό, ἀκάθαρτον ἔσται· κλίβανοι καὶ κυθρόποδες καθαιρεθήσονται· ἀκάθαρτα ταῦτά ἐστιν, καὶ ἀκάθαρτα ταῦτα ὑμῖν ἔσονται.
Lev 11:36	πλὴν πηγῶν ὑδάτων καὶ λάκκου καὶ συναγωγῆς ὕδατος· ἔσται καθαρόν· ὁ δὲ ἁπτόμενος τῶν θνησιμαίων αὐτῶν ἀκάθαρτος ἔσται.
Lev 11:37	ἐὰν δὲ ἐπιπέσῃ τῶν θνησιμαίων αὐτῶν ἐπὶ πᾶν σπέρμα σπόριμον ὃ σπαρήσεται, καθαρὸν ἔσται·
Lev 11:38	ἐὰν δὲ ἐπιχυθῇ ὕδωρ ἐπὶ πᾶν σπέρμα, καὶ ἐπιπέσῃ τῶν θνησιμαίων αὐτῶν ἐπ᾽ αὐτό, ἀκάθαρτόν ἐστιν ὑμῖν.
Lev 11:39	ἐὰν δὲ ἀποθάνῃ τῶν κτηνῶν ὅ ἐστιν ὑμῖν τοῦτο φαγεῖν, ὁ ἁπτόμενος τῶν θνησιμαίων αὐτῶν ἀκάθαρτος ἔσται ἕως ἑσπέρας·
Lev 11:40	καὶ ὁ ἐσθίων ἀπὸ τῶν θνησιμαίων τούτων πλυνεῖ τὰ ἱμάτια, καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας· καὶ ὁ αἴρων ἀπὸ θνησιμαίων αὐτῶν πλυνεῖ τὰ ἱμάτια καὶ λούσεται ὕδατι, καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας.
Lev 11:41	καὶ πᾶν ἑρπετὸν ὃ ἕρπει ἐπὶ τῆς γῆς, βδέλυγμα τοῦτο ἔσται ὑμῖν, οὐ βρωθήσεται.
Lev 11:42	καὶ πᾶς ὁ πορευόμενος ἐπὶ κοιλίας, καὶ πᾶς ὁ πορευόμενος ἐπὶ τέσσερα διὰ παντός, ὃ πολυπληθεῖ ποσὶν ἐν πᾶσιν τοῖς ἑρπετοῖς τοῖς ἕρπουσιν ἐπὶ τῆς γῆς, οὐ φάγεσθε αὐτό, ὅτι βδέλυγμα ὑμῖν ἐστίν.
Lev 11:43	καὶ οὐ μὴ βδελύξητε τὰς ψυχὰς ὑμῶν ἐν πᾶσι τοῖς ἑρπετοῖς τοῖς ἕρπουσιν ἐπὶ τῆς γῆς, καὶ οὐ μιανθήσεσθε ἐν τούτοις, καὶ οὐκ ἀκάθαρτοι ἔσεσθε ἐν αὐτοῖς.
