# NIV84 1 Chronicles — converted from PDF (AGES Digital Library transcription of the New International Version, 1984 edition); source PDF pages 926-1002
1:1	Adam, Seth, Enosh,
12:22	Day after day men came to help David, until he had a great army, like the army of God. [Or a great and mighty army]
12:23	These are the numbers of the men armed for battle who came to David at Hebron to turn Saul’s kingdom over to him, as the LORD had said:
12:24	men of Judah, carrying shield and spear — 6,800 armed for battle;
12:25	men of Simeon, warriors ready for battle — 7,100;
12:26	men of Levi — 4,600,
12:27	including Jehoiada, leader of the family of Aaron with 3,700 men,
12:28	and Zadok, a brave young warrior, with 22 officers from his family;
12:29	men of Benjamin, Saul’s kinsmen — 3,000, most of whom had remained loyal to Saul’s house until then;
12:30	men of Ephraim, brave warriors, famous in their own clans — 20,800;
12:31	men of half the tribe of Manasseh, designated by name to come and make David king — 18,000;
12:32	men of Issachar, who understood the times and knew what Israel should do — 200 chiefs, with all their relatives under their command;
12:33	men of Zebulun, experienced soldiers prepared for battle with every type of weapon, to help David with undivided loyalty — 50,000;
12:34	men of Naphtali — 1,000 officers, together with 37,000 men carrying shields and spears;
12:35	men of Dan, ready for battle — 28,600;
12:36	men of Asher, experienced soldiers prepared for battle — 40,000;
12:37	and from east of the Jordan, men of Reuben, Gad, and the half-tribe of Manasseh, armed with every type of weapon — 120,000.
12:38	All these were fighting men who volunteered to serve in the ranks. They came to Hebron fully determined to make David king over all Israel. All the rest of the Israelites were also of one mind to make David king.
12:39	The men spent three days there with David, eating and drinking, for their families had supplied provisions for them.
12:40	Also, their neighbours from as far away as Issachar, Zebulun and Naphtali came bringing food on donkeys, camels, mules and oxen. There were plentiful supplies of flour, fig cakes, raisin cakes, wine, oil, cattle and sheep, for there was joy in Israel.
13:1	David conferred with each of his officers, the commanders of thousands and commanders of hundreds.
13:2	He then said to the whole assembly of Israel, “If it seems good to you and if it is the will of the LORD our God, let us send word far and wide to the rest of our brothers throughout the territories of Israel, and also to the priests and Levites who are with them in their towns and pasture-lands, to come and join us.
13:3	Let us bring the ark of our God back to us, for we did not enquire of [Or we neglected] it [Or him] during the reign of Saul.”
13:4	The whole assembly agreed to do this, because it seemed right to all the people.
13:5	So David assembled all the Israelites, from the Shihor River in Egypt to Lebo [Or to the entrance to] Hamath, to bring the ark of God from Kiriath Jearim.
13:6	David and all the Israelites with him went to Baalah of Judah (Kiriath Jearim) to bring up from there the ark of God the LORD, who is enthroned between the cherubim — the ark that is called by the Name.
13:7	They moved the ark of God from Abinadab’s house on a new cart, with Uzzah and Ahio guiding it.
13:8	David and all the Israelites were celebrating with all their might before God, with songs and with harps, lyres, tambourines, cymbals and trumpets.
13:9	When they came to the threshing-floor of Kidon, Uzzah reached out his hand to steady the ark, because the oxen stumbled.
13:10	The LORD’s anger burned against Uzzah, and he struck him down because he had put his hand on the ark. So he died there before God.
13:11	Then David was angry because the LORD’s wrath had broken out against Uzzah, and to this day that place is called Perez Uzzah. [Perez Uzzah means outbreak against Uzzah.]
13:12	David was afraid of God that day and asked, “How can I ever bring the ark of God to me?”
13:13	He did not take the ark to be with him in the City of David. Instead, he took it aside to the house of Obed-Edom the Gittite.
13:14	The ark of God remained with the family of Obed-Edom in his house for three months, and the LORD blessed his household and everything he had.
14:1	Now Hiram king of Tyre sent messengers to David, along with cedar logs, stonemasons and carpenters to build a palace for him.
14:2	And David knew that the LORD had established him as king over Israel and that his kingdom had been highly exalted for the sake of his people Israel.
14:3	In Jerusalem David took more wives and became the father of more sons and daughters.
14:4	These are the names of the children born to him there: Shammua, Shobab, Nathan, Solomon,
14:5	Ibhar, Elishua, Elpelet,
14:6	Nogah, Nepheg, Japhia,
14:7	Elishama, Beeliada [A variant of Eliada] and Eliphelet.
14:8	When the Philistines heard that David had been anointed king over all Israel, they went up in full force to search for him, but David heard about it and went out to meet them.
14:9	Now the Philistines had come and raided the Valley of Rephaim;
14:10	so David enquired of God: “Shall I go and attack the Philistines? Will you hand them over to me?” The LORD answered him, “Go, I will hand them over to you.”
14:11	So David and his men went up to Baal Perazim, and there he defeated them. He said, “As waters break out, God has broken out against my enemies by my hand.” So that place was called Baal Perazim. [Baal Perazim means the lord who breaks out.]
14:12	The Philistines had abandoned their gods there, and David gave orders to burn them in the fire.
14:13	Once more the Philistines raided the valley;
14:14	so David enquired of God again, and God answered him, “Do not go straight up, but circle round them and attack them in front of the balsam trees.
14:15	As soon as you hear the sound of marching in the tops of the balsam trees, move out to battle, because that will mean God has gone out in front of you to strike the Philistine army.”
14:16	So David did as God commanded him, and they struck down the Philistine army, all the way from Gibeon to Gezer.
14:17	So David’s fame spread throughout every land, and the LORD made all the nations fear him.
15:1	After David had constructed buildings for himself in the City of David, he prepared a place for the ark of God and pitched a tent for it.
15:2	Then David said, “No-one but the Levites may carry the ark of God, because the LORD chose them to carry the ark of the LORD and to minister before him for ever.”
15:3	David assembled all Israel in Jerusalem to bring up the ark of the LORD to the place he had prepared for it.
15:4	He called together the descendants of Aaron and the Levites:
15:5	From the descendants of Kohath, Uriel the leader and 120 relatives;
15:6	from the descendants of Merari, Asaiah the leader and 220 relatives;
15:7	from the descendants of Gershon, [Hebrew Gershom, a variant of Gershon] Joel the leader and 130 relatives;
15:8	from the descendants of Elizaphan, Shemaiah the leader and 200 relatives;
15:9	from the descendants of Hebron, Eliel the leader and 80 relatives;
15:10	from the descendants of Uzziel, Amminadab the leader and 112 relatives.
15:11	Then David summoned Zadok and Abiathar the priests, and Uriel, Asaiah, Joel, Shemaiah, Eliel and Amminadab the Levites.
15:12	He said to them, “You are the heads of the Levitical families; you and your fellow Levites are to consecrate yourselves and bring up the ark of the LORD, the God of Israel, to the place I have prepared for it.
15:13	It was because you, the Levites, did not bring it up the first time that the LORD our God broke out in anger against us. We did not enquire of him about how to do it in the prescribed way.”
15:14	So the priests and Levites consecrated themselves in order to bring up the ark of the LORD, the God of Israel.
15:15	And the Levites carried the ark of God with the poles on their shoulders, as Moses had commanded in accordance with the word of the LORD.
15:16	David told the leaders of the Levites to appoint their brothers as singers to sing joyful songs, accompanied by musical instruments: lyres, harps and cymbals.
15:17	So the Levites appointed Heman son of Joel; from his brothers, Asaph son of Berekiah; and from their brothers the Merarites, Ethan son of Kushaiah;
15:18	and with them their brothers next in rank: Zechariah, [Three Hebrew manuscripts and most Septuagint manuscripts (see also verse 20 and 1 Chron. 16:5); most Hebrew manuscripts Zechariah son and or Zechariah, Ben and] Jaaziel, Shemiramoth, Jehiel, Unni, Eliab, Benaiah, Maaseiah, Mattithiah, Eliphelehu, Mikneiah, Obed-Edom and Jeiel, [Hebrew; Septuagint (see also verse 21) Jeiel and Azaziah] the gatekeepers.
15:19	The musicians Heman, Asaph and Ethan were to sound the bronze cymbals;
15:20	Zechariah, Aziel, Shemiramoth, Jehiel, Unni, Eliab, Maaseiah and Benaiah were to play the lyres according to alamoth, [Probably a musical term]
15:21	and Mattithiah, Eliphelehu, Mikneiah, Obed-Edom, Jeiel and Azaziah were to play the harps, directing according to sheminith. [Probably a musical term]
15:22	Kenaniah the head Levite was in charge of the singing; that was his responsibility because he was skilful at it.
15:23	Berekiah and Elkanah were to be doorkeepers for the ark.
15:24	Shebaniah, Joshaphat, Nethanel, Amasai, Zechariah, Benaiah and Eliezer the priests were to blow trumpets before the ark of God. Obed-Edom and Jehiah were also to be doorkeepers for the ark.
15:25	So David and the elders of Israel and the commanders of units of a thousand went to bring up the ark of the covenant of the LORD from the house of Obed-Edom, with rejoicing.
15:26	Because God had helped the Levites who were carrying the ark of the covenant of the LORD, seven bulls and seven rams were sacrificed.
15:27	Now David was clothed in a robe of fine linen, as were all the Levites who were carrying the ark, and as were the singers, and Kenaniah, who was in charge of the singing of the choirs. David also wore a linen ephod.
15:28	So all Israel brought up the ark of the covenant of the LORD with shouts, with the sounding of rams’ horns and trumpets, and of cymbals, and the playing of lyres and harps.
15:29	As the ark of the covenant of the LORD was entering the City of David, Michal daughter of Saul watched from a window. And when she saw King David dancing and celebrating, she despised him in her heart.
16:1	They brought the ark of God and set it inside the tent that David had pitched for it, and they presented burnt offerings and fellowship offerings [Traditionally peace offerings; also in verse 2] before God.
16:2	After David had finished sacrificing the burnt offerings and fellowship offerings, he blessed the people in the name of the LORD.
16:3	Then he gave a loaf of bread, a cake of dates and a cake of raisins to each Israelite man and woman.
16:4	He appointed some of the Levites to minister before the ark of the LORD, to make petition, to give thanks, and to praise the LORD, the God of Israel:
16:5	Asaph was the chief, Zechariah second, then Jeiel, Shemiramoth, Jehiel, Mattithiah, Eliab, Benaiah, Obed-Edom and Jeiel. They were to play the lyres and harps, Asaph was to sound the cymbals,
16:6	and Benaiah and Jahaziel the priests were to blow the trumpets regularly before the ark of the covenant of God.
16:7	That day David first committed to Asaph and his associates this psalm of thanks to the LORD:
16:8	Give thanks to the LORD, call on his name; make known among the nations what he has done.
16:9	Sing to him, sing praise to him; tell of all his wonderful acts.
16:10	Glory in his holy name; let the hearts of those who seek the LORD rejoice.
16:11	Look to the LORD and his strength; seek his face always.
16:12	Remember the wonders he has done, his miracles, and the judgments he pronounced,
16:13	descendants of Israel his servant, O sons of Jacob, his chosen ones.
16:14	He is the LORD our God; his judgments are in all the earth.
16:15	He remembers [Some Septuagint manuscripts (see also Psalm 105:8); Hebrew Remember] his covenant for ever, the word he commanded, for a thousand generations,
16:16	the covenant he made with Abraham, the oath he swore to Isaac.
16:17	He confirmed it to Jacob as a decree, to Israel as an everlasting covenant:
16:18	“To you I will give the land of Canaan as the portion you will inherit.”
16:19	When they were but few in number, few indeed, and strangers in it,
16:20	they [One Hebrew manuscript, Septuagint and Vulgate (see also Psalm 105:12); most Hebrew manuscripts inherit, 16:19 though you are but few in number, few indeed, and strangers in it.” 16:20 They] wandered from nation to nation, from one kingdom to another.
16:21	He allowed no man to oppress them; for their sake he rebuked kings:
16:22	“Do not touch my anointed ones; do my prophets no harm.”
16:23	Sing to the LORD, all the earth; proclaim his salvation day after day.
16:24	Declare his glory among the nations, his marvellous deeds among all peoples.
16:25	For great is the LORD and most worthy of praise; he is to be feared above all gods.
16:26	For all the gods of the nations are idols, but the LORD made the heavens.
16:27	Splendour and majesty are before him; strength and joy in his dwelling-place.
16:28	Ascribe to the LORD, O families of nations, ascribe to the LORD glory and strength,
16:29	ascribe to the LORD the glory due to his name. Bring an offering and come before him; worship the LORD in the splendour of his [Or LORD with the splendour of] holiness.
16:30	Tremble before him, all the earth! The world is firmly established; it cannot be moved.
16:31	Let the heavens rejoice, let the earth be glad; let them say among the nations, “The LORD reigns!”
16:32	Let the sea resound, and all that is in it; let the fields be jubilant, and everything in them!
16:33	Then the trees of the forest will sing, they will sing for joy before the LORD, for he comes to judge the earth.
16:34	Give thanks to the LORD, for he is good; his love endures for ever.
16:35	Cry out, “Save us, O God our Saviour; gather us and deliver us from the nations, that we may give thanks to your holy name, that we may glory in your praise.”
16:36	Praise be to the LORD, the God of Israel, from everlasting to everlasting. Then all the people said “Amen” and “Praise the LORD.”
16:37	David left Asaph and his associates before the ark of the covenant of the LORD to minister there regularly, according to each day’s requirements.
16:38	He also left Obed-Edom and his sixty-eight associates to minister with them. Obed-Edom son of Jeduthun, and also Hosah, were gatekeepers.
16:39	David left Zadok the priest and his fellow priests before the tabernacle of the LORD at the high place in Gibeon
16:40	to present burnt offerings to the LORD on the altar of burnt offering regularly, morning and evening, in accordance with everything written in the Law of the LORD, which he had given Israel.
16:41	With them were Heman and Jeduthun and the rest of those chosen and designated by name to give thanks to the LORD, “for his love endures for ever.”
16:42	Heman and Jeduthun were responsible for the sounding of the trumpets and cymbals and for the playing of the other instruments for sacred song. The sons of Jeduthun were stationed at the gate.
16:43	Then all the people left, each for his own home, and David returned home to bless his family.
17:1	After David was settled in his palace, he said to Nathan the prophet, “Here I am, living in a palace of cedar, while the ark of the covenant of the LORD is under a tent.”
17:2	Nathan replied to David, “Whatever you have in mind, do it, for God is with you.”
17:3	That night the word of God came to Nathan, saying:
17:4	“Go and tell my servant David, `This is what the LORD says: You are not the one to build me a house to dwell in.
17:5	I have not dwelt in a house from the day I brought Israel up out of Egypt to this day. I have moved from one tent site to another, from one dwelling-place to another.
17:6	Wherever I have moved with all the Israelites, did I ever say to any of their leaders [Traditionally judges; also in verse 10] whom I commanded to shepherd my people, “Why have you not built me a house of cedar?”’
17:7	“Now then, tell my servant David, `This is what the LORD Almighty says: I took you from the pasture and from following the flock, to be ruler over my people Israel.
17:8	I have been with you wherever you have gone, and I have cut off all your enemies from before you. Now I will make your name like the names of the greatest men of the earth.
17:9	And I will provide a place for my people Israel and will plant them so that they can have a home of their own and no longer be disturbed. Wicked people will not oppress them any more, as they did at the beginning
17:10	and have done ever since the time I appointed leaders over my people Israel. I will also subdue all your enemies. “`I declare to you that the LORD will build a house for you:
17:11	When your days are over and you go to be with your fathers, I will raise up your offspring to succeed you, one of your own sons, and I will establish his kingdom.
17:12	He is the one who will build a house for me, and I will establish his throne for ever.
17:13	I will be his father, and he will be my son. I will never take my love away from him, as I took it away from your predecessor.
17:14	I will set him over my house and my kingdom for ever; his throne will be established for ever.’“
17:15	Nathan reported to David all the words of this entire revelation.
17:16	Then King David went in and sat before the LORD, and he said: “Who am I, O LORD God, and what is my family, that you have brought me this far?
17:17	And as if this were not enough in your sight, O God, you have spoken about the future of the house of your servant. You have looked on me as though I were the most exalted of men, O LORD God.
17:18	“What more can David say to you for honouring your servant? For you know your servant,
17:19	LORD. For the sake of your servant and according to your will, you have done this great thing and made known all these great promises.
17:20	“There is no-one like you, O LORD, and there is no God but you, as we have heard with our own ears.
17:21	And who is like your people Israel — the one nation on earth whose God went out to redeem a people for himself, and to make a name for yourself, and to perform great and awesome wonders by driving out nations from before your people, whom you redeemed from Egypt?
17:22	You made your people Israel your very own for ever, and you, O LORD, have become their God.
17:23	“And now, LORD, let the promise you have made concerning your servant and his house be established for ever. Do as you promised,
17:24	so that it will be established and that your name will be great for ever. Then men will say, `The LORD Almighty, the God over Israel, is Israel’s God!’ And the house of your servant David will be established before you.
17:25	“You, my God, have revealed to your servant that you will build a house for him. So your servant has found courage to pray to you.
17:26	LORD, you are God! You have promised these good things to your servant.
17:27	Now you have been pleased to bless the house of your servant, that it may continue for ever in your sight; for you, O LORD, have blessed it, and it will be blessed for ever.”
18:1	In the course of time, David defeated the Philistines and subdued them, and he took Gath and its surrounding villages from the control of the Philistines.
18:2	David also defeated the Moabites, and they became subject to him and brought tribute.
18:3	Moreover, David fought Hadadezer king of Zobah, as far as Hamath, when he went to establish his control along the Euphrates River.
18:4	David captured a thousand of his chariots, seven thousand charioteers and twenty thousand foot soldiers. He hamstrung all but a hundred of the chariot horses.
18:5	When the Arameans of Damascus came to help Hadadezer king of Zobah, David struck down twenty-two thousand of them.
18:6	He put garrisons in the Aramean kingdom of Damascus, and the Arameans became subject to him and brought tribute. The LORD gave David victory everywhere he went.
18:7	David took the gold shields carried by the officers of Hadadezer and brought them to Jerusalem.
18:8	From Tebah [Hebrew Tibhath, a variant of Tebah] and Cun, towns that belonged to Hadadezer, David took a great quantity of bronze, which Solomon used to make the bronze Sea, the pillars and various bronze articles.
18:9	When Tou king of Hamath heard that David had defeated the entire army of Hadadezer king of Zobah,
18:10	he sent his son Hadoram to King David to greet him and congratulate him on his victory in battle over Hadadezer, who had been at war with Tou. Hadoram brought all kinds of articles of gold and silver and bronze.
18:11	King David dedicated these articles to the LORD, as he had done with the silver and gold he had taken from all these nations: Edom and Moab, the Ammonites and the Philistines, and Amalek.
18:12	Abishai son of Zeruiah struck down eighteen thousand Edomites in the Valley of Salt.
18:13	He put garrisons in Edom, and all the Edomites became subject to David. The LORD gave David victory everywhere he went.
18:14	David reigned over all Israel, doing what was just and right for all his people.
18:15	Joab son of Zeruiah was over the army; Jehoshaphat son of Ahilud was recorder;
18:16	Zadok son of Ahitub and Ahimelech [Some Hebrew manuscripts, Vulgate and Syriac (see also 2 Sam. 8:17); most Hebrew manuscripts Abimelech] son of Abiathar were priests; Shavsha was secretary;
18:17	Benaiah son of Jehoiada was over the Kerethites and Pelethites; and David’s sons were chief officials at the king’s side.
19:1	In the course of time, Nahash king of the Ammonites died, and his son succeeded him as king.
19:2	David thought, “I will show kindness to Hanun son of Nahash, because his father showed kindness to me.” So David sent a delegation to express his sympathy to Hanun concerning his father. When David’s men came to Hanun in the land of the Ammonites to express sympathy to him,
19:3	the Ammonite nobles said to Hanun, “Do you think David is honouring your father by sending men to you to express sympathy? Haven’t his men come to you to explore and spy out the country and overthrow it?”
19:4	So Hanun seized David’s men, shaved them, cut off their garments in the middle at the buttocks, and sent them away.
19:5	When someone came and told David about the men, he sent messengers to meet them, for they were greatly humiliated. The king said, “Stay at Jericho till your beards have grown, and then come back.”
19:6	When the Ammonites realised that they had become an offence to David’s nostrils, Hanun and the Ammonites sent a thousand talents [That is, about 34 tons (about 34 metric tons)] of silver to hire chariots and charioteers from Aram Naharaim, [That is, North-west Mesopotamia] Aram Maacah and Zobah.
19:7	They hired thirty-two thousand chariots and charioteers, as well as the king of Maacah with his troops, who came and camped near Medeba, while the Ammonites were mustered from their towns and moved out for battle.
19:8	On hearing this, David sent Joab out with the entire army of fighting men.
19:9	The Ammonites came out and drew up in battle formation at the entrance to their city, while the kings who had come were by themselves in the open country.
19:10	Joab saw that there were battle lines in front of him and behind him; so he selected some of the best troops in Israel and deployed them against the Arameans.
19:11	He put the rest of the men under the command of Abishai his brother, and they were deployed against the Ammonites.
19:12	Joab said, “If the Arameans are too strong for me, then you are to rescue me; but if the Ammonites are too strong for you, then I will rescue you.
19:13	Be strong and let us fight bravely for our people and the cities of our God. The LORD will do what is good in his sight.”
19:14	Then Joab and the troops with him advanced to fight the Arameans, and they fled before him.
19:15	When the Ammonites saw that the Arameans were fleeing, they too fled before his brother Abishai and went inside the city. So Joab went back to Jerusalem.
19:16	After the Arameans saw that they had been routed by Israel, they sent messengers and had Arameans brought from beyond the River, [That is, the Euphrates] with Shophach the commander of Hadadezer’s army leading them.
19:17	When David was told of this, he gathered all Israel and crossed the Jordan; he advanced against them and formed his battle lines opposite them. David formed his lines to meet the Arameans in battle, and they fought against him.
19:18	But they fled before Israel, and David killed seven thousand of their charioteers and forty thousand of their foot soldiers. He also killed Shophach the commander of their army.
19:19	When the vassals of Hadadezer saw that they had been defeated by Israel, they made peace with David and became subject to him. So the Arameans were not willing to help the Ammonites any more.
20:1	In the spring, at the time when kings go off to war, Joab led out the armed forces. He laid waste the land of the Ammonites and went to Rabbah and besieged it, but David remained in Jerusalem. Joab attacked Rabbah and left it in ruins.
20:2	David took the crown from the head of their king — [Or of Milcom, that is, Molech] its weight was found to be a talent [That is, about 75 pounds (about 34 kilograms)] of gold, and it was set with precious stones — and it was placed on David’s head. He took a great quantity of plunder from the city
20:3	and brought out the people who were there, consigning them to labour with saws and with iron picks and axes. David did this to all the Ammonite towns. Then David and his entire army returned to Jerusalem.
20:4	In the course of time, war broke out with the Philistines, at Gezer. At that time Sibbecai the Hushathite killed Sippai, one of the descendants of the Rephaites, and the Philistines were subjugated.
20:5	In another battle with the Philistines, Elhanan son of Jair killed Lahmi the brother of Goliath the Gittite, who had a spear with a shaft like a weaver’s rod.
20:6	In still another battle, which took place at Gath, there was a huge man with six fingers on each hand and six toes on each foot — twenty-four in all. He also was descended from Rapha.
20:7	When he taunted Israel, Jonathan son of Shimea, David’s brother, killed him.
20:8	These were descendants of Rapha in Gath, and they fell at the hands of David and his men.
21:1	Satan rose up against Israel and incited David to take a census of Israel.
21:2	So David said to Joab and the commanders of the troops, “Go and count the Israelites from Beersheba to Dan. Then report back to me so that I may know how many there are.”
21:3	But Joab replied, “May the LORD multiply his troops a hundred times over. My lord the king, are they not all my lord’s subjects? Why does my lord want to do this? Why should he bring guilt on Israel?”
21:4	The king’s word, however, overruled Joab; so Joab left and went throughout Israel and then came back to Jerusalem.
21:5	Joab reported the number of the fighting men to David: In all Israel there were one million one hundred thousand men who could handle a sword, including four hundred and seventy thousand in Judah.
21:6	But Joab did not include Levi and Benjamin in the numbering, because the king’s command was repulsive to him.
21:7	This command was also evil in the sight of God; so he punished Israel.
21:8	Then David said to God, “I have sinned greatly by doing this. Now, I beg you, take away the guilt of your servant. I have done a very foolish thing.”
21:9	The LORD said to Gad, David’s seer,
21:10	“Go and tell David, `This is what the LORD says: I am giving you three options. Choose one of them for me to carry out against you.’“
21:11	So Gad went to David and said to him, “This is what the LORD says: `Take your choice:
21:12	three years of famine, three months of being swept away [Hebrew; Septuagint and Vulgate (see also 2 Sam. 24:13) of fleeing] before your enemies, with their swords overtaking you, or three days of the sword of the LORD — days of plague in the land, with the angel of the LORD ravaging every part of Israel.’ Now then, decide how I should answer the one who sent me.”
21:13	David said to Gad, “I am in deep distress. Let me fall into the hands of the LORD, for his mercy is very great; but do not let me fall into the hands of men.”
21:14	So the LORD sent a plague on Israel, and seventy thousand men of Israel fell dead.
21:15	And God sent an angel to destroy Jerusalem. But as the angel was doing so, the LORD saw it and was grieved because of the calamity and said to the angel who was destroying the people, “Enough! Withdraw your hand.” The angel of the LORD was then standing at the threshing-floor of Araunah [Hebrew Ornan, a variant of Araunah; also in verses 18-28] the Jebusite.
21:16	David looked up and saw the angel of the LORD standing between heaven and earth, with a drawn sword in his hand extended over Jerusalem. Then David and the elders, clothed in sackcloth, fell face down.
21:17	David said to God, “Was it not I who ordered the fighting men to be counted? I am the one who has sinned and done wrong. These are but sheep. What have they done? O LORD my God, let your hand fall upon me and my family, but do not let this plague remain on your people.”
21:18	Then the angel of the LORD ordered Gad to tell David to go up and build an altar to the LORD on the threshing-floor of Araunah the Jebusite.
21:19	So David went up in obedience to the word that Gad had spoken in the name of the LORD.
21:20	While Araunah was threshing wheat, he turned and saw the angel; his four sons who were with him hid themselves.
21:21	Then David approached, and when Araunah looked and saw him, he left the threshing-floor and bowed down before David with his face to the ground.
21:22	David said to him, “Let me have the site of your threshing-floor so that I can build an altar to the LORD, that the plague on the people may be stopped. Sell it to me at the full price.”
21:23	Araunah said to David, “Take it! Let my lord the king do whatever pleases him. Look, I will give the oxen for the burnt offerings, the threshing-sledges for the wood, and the wheat for the grain offering. I will give all this.”
21:24	But King David replied to Araunah, “No, I insist on paying the full price. I will not take for the LORD what is yours, or sacrifice a burnt offering that costs me nothing.”
21:25	So David paid Araunah six hundred shekels [That is, about 15 pounds (about 7 kilograms)] of gold for the site.
21:26	David built an altar to the LORD there and sacrificed burnt offerings and fellowship offerings. [Traditionally peace offerings] He called on the LORD, and the LORD answered him with fire from heaven on the altar of burnt offering.
21:27	Then the LORD spoke to the angel, and he put his sword back into its sheath.
21:28	At that time, when David saw that the LORD had answered him on the threshing-floor of Araunah the Jebusite, he offered sacrifices there.
21:29	The tabernacle of the LORD, which Moses had made in the desert, and the altar of burnt offering were at that time on the high place at Gibeon.
21:30	But David could not go before it to enquire of God, because he was afraid of the sword of the angel of the LORD.
22:1	Then David said, “The house of the LORD God is to be here, and also the altar of burnt offering for Israel.”
22:2	So David gave orders to assemble the aliens living in Israel, and from among them he appointed stonecutters to prepare dressed stone for building the house of God.
22:3	He provided a large amount of iron to make nails for the doors of the gateways and for the fittings, and more bronze than could be weighed.
22:4	He also provided more cedar logs than could be counted, for the Sidonians and Tyrians had brought large numbers of them to David.
22:5	David said, “My son Solomon is young and inexperienced, and the house to be built for the LORD should be of great magnificence and fame and splendour in the sight of all the nations. Therefore I will make preparations for it.” So David made extensive preparations before his death.
22:6	Then he called for his son Solomon and charged him to build a house for the LORD, the God of Israel.
22:7	David said to Solomon: “My son, I had it in my heart to build a house for the Name of the LORD my God.
22:8	But this word of the LORD came to me: `You have shed much blood and have fought many wars. You are not to build a house for my Name, because you have shed much blood on the earth in my sight.
22:9	But you will have a son who will be a man of peace and rest, and I will give him rest from all his enemies on every side. His name will be Solomon, [Solomon sounds like and may be derived from the Hebrew for peace.] and I will grant Israel peace and quiet during his reign.
22:10	He is the one who will build a house for my Name. He will be my son, and I will be his father. And I will establish the throne of his kingdom over Israel for ever.’
22:11	“Now, my son, the LORD be with you, and may you have success and build the house of the LORD your God, as he said you would.
22:12	May the LORD give you discretion and understanding when he puts you in command over Israel, so that you may keep the law of the LORD your God.
22:13	Then you will have success if you are careful to observe the decrees and laws that the LORD gave to Moses for Israel. Be strong and courageous. Do not be afraid or discouraged.
22:14	“I have taken great pains to provide for the temple of the LORD a hundred thousand talents [That is, about 3,395 tons (about 3,450 metric tons)] of gold, a million talents [That is, about 33,950 tons (about 34,500 metric tons)] of silver, quantities of bronze and iron too great to be weighed, and wood and stone. And you may add to them.
22:15	You have many workmen: stonecutters, masons and carpenters, as well as men skilled in every kind of work
22:16	in gold and silver, bronze and iron — craftsmen beyond number. Now begin the work, and the LORD be with you.”
22:17	Then David ordered all the leaders of Israel to help his son Solomon.
22:18	He said to them, “Is not the LORD your God with you? And has he not granted you rest on every side? For he has handed the inhabitants of the land over to me, and the land is subject to the LORD and to his people.
22:19	Now devote your heart and soul to seeking the LORD your God. Begin to build the sanctuary of the LORD God, so that you may bring the ark of the covenant of the LORD and the sacred articles belonging to God into the temple that will be built for the Name of the LORD.”
23:1	When David was old and full of years, he made his son Solomon king over Israel.
23:2	He also gathered together all the leaders of Israel, as well as the priests and Levites.
23:3	The Levites thirty years old or more were counted, and the total number of men was thirty-eight thousand.
23:4	David said, “Of these, twenty-four thousand are to supervise the work of the temple of the LORD and six thousand are to be officials and judges.
23:5	Four thousand are to be gatekeepers and four thousand are to praise the LORD with the musical instruments I have provided for that purpose.”
23:6	David divided the Levites into groups corresponding to the sons of Levi: Gershon, Kohath and Merari.
23:7	Belonging to the Gershonites: Ladan and Shimei.
23:8	The sons of Ladan: Jehiel the first, Zetham and Joel — three in all.
23:9	The sons of Shimei: Shelomoth, Haziel and Haran — three in all. These were the heads of the families of Ladan.
23:10	And the sons of Shimei: Jahath, Ziza, [One Hebrew manuscript, Septuagint and Vulgate (see also verse 11); most Hebrew manuscripts Zina] Jeush and Beriah. These were the sons of Shimei — four in all.
23:11	Jahath was the first and Ziza the second, but Jeush and Beriah did not have many sons; so they were counted as one family with one assignment.
23:12	The sons of Kohath: Amram, Izhar, Hebron and Uzziel — four in all.
23:13	The sons of Amram: Aaron and Moses. Aaron was set apart, he and his descendants for ever, to consecrate the most holy things, to offer sacrifices before the LORD, to minister before him and to pronounce blessings in his name for ever.
23:14	The sons of Moses the man of God were counted as part of the tribe of Levi.
23:15	The sons of Moses: Gershom and Eliezer.
23:16	The descendants of Gershom: Shubael was the first.
23:17	The descendants of Eliezer: Rehabiah was the first. Eliezer had no other sons, but the sons of Rehabiah were very numerous.
23:18	The sons of Izhar: Shelomith was the first.
23:19	The sons of Hebron: Jeriah the first, Amariah the second, Jahaziel the third and Jekameam the fourth.
23:20	The sons of Uzziel: Micah the first and Isshiah the second.
23:21	The sons of Merari: Mahli and Mushi. The sons of Mahli: Eleazar and Kish.
23:22	Eleazar died without having sons: he had only daughters. Their cousins, the sons of Kish, married them.
23:23	The sons of Mushi: Mahli, Eder and Jerimoth — three in all.
23:24	These were the descendants of Levi by their families — the heads of families as they were registered under their names and counted individually, that is, the workers twenty years old or more who served in the temple of the LORD.
23:25	For David had said, “Since the LORD, the God of Israel, has granted rest to his people and has come to dwell in Jerusalem for ever,
23:26	the Levites no longer need to carry the tabernacle or any of the articles used in its service.”
23:27	According to the last instructions of David, the Levites were counted from those twenty years old or more.
23:28	The duty of the Levites was to help Aaron’s descendants in the service of the temple of the LORD: to be in charge of the courtyards, the side rooms, the purification of all sacred things and the performance of other duties at the house of God.
23:29	They were in charge of the bread set out on the table, the flour for the grain offerings, the unleavened wafers, the baking and the mixing, and all measurements of quantity and size.
23:30	They were also to stand every morning to thank and praise the LORD. They were to do the same in the evening
